Well,Time,Observed
699-97-41,5/16/2014,116.117
699-97-41,6/15/2014,116.458
699-97-41,7/16/2014,116.446
699-97-41,8/16/2014,116.2156
699-97-41,9/15/2014,116.0099
699-97-41,10/16/2014,115.7738
699-97-41,11/15/2014,115.634
699-97-41,12/16/2014,115.6636
699-97-41,1/16/2015,115.7767
699-97-41,2/14/2015,115.9487
699-97-41,3/16/2015,116.0212
699-97-41,4/15/2015,115.9752
699-97-41,5/16/2015,115.7858
699-97-41,6/15/2015,115.6895
699-97-41,7/16/2015,115.3652
699-97-41,8/16/2015,115.1308
699-97-41,9/15/2015,114.9926
699-97-41,10/16/2015,114.8373
699-97-41,11/15/2015,114.762
699-97-41,12/16/2015,114.7704
699-97-41,1/16/2016,114.7703
699-97-41,2/15/2016,114.7499
699-97-41,3/16/2016,114.8331
699-97-41,4/15/2016,114.9613
699-97-41,5/16/2016,115.2157
699-97-41,6/15/2016,115.1676
699-97-41,7/16/2016,115.1043
699-97-41,8/16/2016,114.9993
699-97-41,9/15/2016,114.9211
699-97-41,10/16/2016,114.8039
699-97-41,11/15/2016,114.8329
699-97-41,12/16/2016,114.9449
699-97-41,1/16/2017,115.0654
699-97-41,2/14/2017,115.0864
699-97-41,3/16/2017,115.0525
699-97-41,4/15/2017,115.5315
699-97-41,5/16/2017,115.9593
699-97-41,6/15/2017,116.3912
699-97-41,7/16/2017,116.0183
699-97-41,8/16/2017,115.8138
699-97-41,9/15/2017,115.6208
699-97-41,10/16/2017,115.2922
699-97-41,11/15/2017,114.9842
699-97-41,12/16/2017,114.9073
699-97-41,1/16/2018,114.9531
699-97-41,2/14/2018,115.1028
699-97-41,3/16/2018,115.1782
699-97-41,4/15/2018,115.1007
699-97-41,5/16/2018,115.9042
699-97-41,6/15/2018,116.443
699-97-41,7/16/2018,115.9497
699-97-41,8/16/2018,115.7692
699-97-41,9/15/2018,115.4636
699-97-41,10/16/2018,115.2203
699-97-41,11/15/2018,115.1064
699-97-41,12/16/2018,115.0483
699-97-41,1/16/2019,114.972
699-97-41,2/14/2019,114.949
699-97-41,3/16/2019,114.9401
