Head,Time,Layer,Row,Column,NAME
115.86077023918799,31.0,1,211,580,199-H3-10
115.86076636448708,31.0,2,211,580,199-H3-10
115.86073786015379,31.0,3,211,580,199-H3-10
115.86068113879315,31.0,4,211,580,199-H3-10
115.38136214518563,31.0,5,211,580,199-H3-10
114.8511981454316,31.0,6,211,580,199-H3-10
115.77493689540336,59.0,1,211,580,199-H3-10
115.77493302087001,59.0,2,211,580,199-H3-10
115.77488358532415,59.0,3,211,580,199-H3-10
115.77481615346001,59.0,4,211,580,199-H3-10
115.30084212354873,59.0,5,211,580,199-H3-10
114.77491005964166,59.0,6,211,580,199-H3-10
115.84695056517474,90.0,1,211,580,199-H3-10
115.84694669037117,90.0,2,211,580,199-H3-10
115.84694027022555,90.0,3,211,580,199-H3-10
115.84689915883884,90.0,4,211,580,199-H3-10
115.42491520127233,90.0,5,211,580,199-H3-10
114.96037228219774,90.0,6,211,580,199-H3-10
116.06598683481799,120.0,1,211,580,199-H3-10
116.06598295981533,120.0,2,211,580,199-H3-10
116.06600874797199,120.0,3,211,580,199-H3-10
116.06598500411185,120.0,4,211,580,199-H3-10
115.64936814964449,120.0,5,211,580,199-H3-10
115.19322685193454,120.0,6,211,580,199-H3-10
116.4497838571875,151.0,1,211,580,199-H3-10
116.45016683573807,151.0,2,211,580,199-H3-10
116.45021860300676,151.0,3,211,580,199-H3-10
116.45020933573709,151.0,4,211,580,199-H3-10
116.04651184582649,151.0,5,211,580,199-H3-10
115.60855747340705,151.0,6,211,580,199-H3-10
116.67791774898663,181.0,1,211,580,199-H3-10
116.67812323589368,181.0,2,211,580,199-H3-10
116.67813614130647,181.0,3,211,580,199-H3-10
116.6781063056272,181.0,4,211,580,199-H3-10
116.26533882105447,181.0,5,211,580,199-H3-10
115.81371063412011,181.0,6,211,580,199-H3-10
116.72580450825053,212.0,1,211,580,199-H3-10
116.72577918672503,212.0,2,211,580,199-H3-10
116.72575458621723,212.0,3,211,580,199-H3-10
116.72570532785836,212.0,4,211,580,199-H3-10
116.30998467194424,212.0,5,211,580,199-H3-10
115.85148859108273,212.0,6,211,580,199-H3-10
116.56841851339058,243.0,1,211,580,199-H3-10
116.56815131535502,243.0,2,211,580,199-H3-10
116.56808672507312,243.0,3,211,580,199-H3-10
116.56801684913972,243.0,4,211,580,199-H3-10
116.15073527564422,243.0,5,211,580,199-H3-10
115.6865518775567,243.0,6,211,580,199-H3-10
116.23894262705167,273.0,1,211,580,199-H3-10
116.23843483477958,273.0,2,211,580,199-H3-10
116.23833066491828,273.0,3,211,580,199-H3-10
116.23824194405775,273.0,4,211,580,199-H3-10
115.83149315042886,273.0,5,211,580,199-H3-10
115.37571828150817,273.0,6,211,580,199-H3-10
116.01163398867733,304.0,1,211,580,199-H3-10
116.01143413426442,304.0,2,211,580,199-H3-10
116.0113576546462,304.0,3,211,580,199-H3-10
116.01128474907541,304.0,4,211,580,199-H3-10
115.62993953896259,304.0,5,211,580,199-H3-10
115.20507653539812,304.0,6,211,580,199-H3-10
115.92271276622303,334.0,1,211,580,199-H3-10
115.92270889207457,334.0,2,211,580,199-H3-10
115.9226705130181,334.0,3,211,580,199-H3-10
115.92262444055305,334.0,4,211,580,199-H3-10
115.62998866566654,334.0,5,211,580,199-H3-10
115.30735869576789,334.0,6,211,580,199-H3-10
115.94934206818346,365.0,1,211,580,199-H3-10
115.94933819362811,365.0,2,211,580,199-H3-10
115.94932547851282,365.0,3,211,580,199-H3-10
115.94928925899998,365.0,4,211,580,199-H3-10
115.62155422960318,365.0,5,211,580,199-H3-10
115.2582766442105,365.0,6,211,580,199-H3-10
115.88360266565333,396.0,1,211,580,199-H3-10
115.88359879255066,396.0,2,211,580,199-H3-10
115.88356412678834,396.0,3,211,580,199-H3-10
115.88352198927092,396.0,4,211,580,199-H3-10
115.59680485795185,396.0,5,211,580,199-H3-10
115.27700313195012,396.0,6,211,580,199-H3-10
115.94557874033175,424.0,1,211,580,199-H3-10
115.94557486729097,424.0,2,211,580,199-H3-10
115.94556902788474,424.0,3,211,580,199-H3-10
115.94554272246393,424.0,4,211,580,199-H3-10
115.66848106350668,424.0,5,211,580,199-H3-10
115.36128763317701,424.0,6,211,580,199-H3-10
115.93338992995126,455.0,1,211,580,199-H3-10
115.93338605714715,455.0,2,211,580,199-H3-10
115.93336167341164,455.0,3,211,580,199-H3-10
115.93332616032386,455.0,4,211,580,199-H3-10
115.65585447815116,455.0,5,211,580,199-H3-10
115.34618946531255,455.0,6,211,580,199-H3-10
115.84352365367037,485.0,1,211,580,199-H3-10
115.84351978087105,485.0,2,211,580,199-H3-10
115.84347817418906,485.0,3,211,580,199-H3-10
115.84343336079125,485.0,4,211,580,199-H3-10
115.56162082625086,485.0,5,211,580,199-H3-10
115.24567329309801,485.0,6,211,580,199-H3-10
115.8092479857003,516.0,1,211,580,199-H3-10
115.809244112471,516.0,2,211,580,199-H3-10
115.80922018829116,516.0,3,211,580,199-H3-10
115.80918587882434,516.0,4,211,580,199-H3-10
115.54931396881943,516.0,5,211,580,199-H3-10
115.25949446905932,516.0,6,211,580,199-H3-10
115.80356486593425,546.0,1,211,580,199-H3-10
115.80356099246316,546.0,2,211,580,199-H3-10
115.80354316525664,546.0,3,211,580,199-H3-10
115.80350947207468,546.0,4,211,580,199-H3-10
115.51795952219118,546.0,5,211,580,199-H3-10
115.19946625747805,546.0,6,211,580,199-H3-10
115.50715545925823,577.0,1,211,580,199-H3-10
115.5071515878464,577.0,2,211,580,199-H3-10
115.50705103841052,577.0,3,211,580,199-H3-10
115.50697996441392,577.0,4,211,580,199-H3-10
115.24801972489654,577.0,5,211,580,199-H3-10
114.95279346825626,577.0,6,211,580,199-H3-10
115.27340612653401,608.0,1,211,580,199-H3-10
115.27340225386887,608.0,2,211,580,199-H3-10
115.27332431087983,608.0,3,211,580,199-H3-10
115.27326603671696,608.0,4,211,580,199-H3-10
115.04549354651448,608.0,5,211,580,199-H3-10
