Well,Time,Observed,Simulated
699-100-43B,2019-08-16,115.6431,115.3409
699-100-43B,2019-09-15,115.0267,114.9366
699-100-43B,2019-10-16,114.905,114.5741
699-100-43B,2019-11-15,115.4412,114.9406
699-100-43B,2019-12-16,115.3245,115.2736
699-100-43B,2020-01-16,115.5229,115.3718
699-100-43B,2020-02-14,115.8259,115.6337
699-100-43B,2020-03-16,115.2106,115.4591
699-100-43B,2020-04-15,115.1972,115.1394
699-100-43B,2020-05-16,116.3444,115.9839
699-100-43B,2020-10-16,115.195,114.8806
699-97-41,2014-01-31,115.6465,115.6613
699-97-41,2014-02-14,115.543,115.6182
699-97-41,2014-03-16,115.511,115.6305
699-97-41,2014-04-15,115.7293,115.7919
699-97-41,2014-05-16,116.117,116.1031
699-97-41,2014-06-15,116.458,116.3972
699-97-41,2014-07-16,116.446,116.5096
699-97-41,2014-08-16,116.2156,116.4231
699-97-41,2014-09-15,116.0099,116.1716
699-97-41,2014-10-16,115.7738,115.8916
699-97-41,2014-11-15,115.634,115.7319
699-97-41,2014-12-16,115.6636,115.7266
699-97-41,2015-01-16,115.7767,115.7454
699-97-41,2015-02-14,115.9487,115.7571
699-97-41,2015-03-16,116.0212,115.7891
699-97-41,2015-04-15,115.9752,115.7396
699-97-41,2015-05-16,115.7858,115.6986
699-97-41,2015-06-15,115.6895,115.6921
699-97-41,2015-07-16,115.3652,115.5102
699-97-41,2015-08-16,115.1308,115.2654
699-97-41,2015-09-15,114.9926,115.0896
699-97-41,2015-10-16,114.8373,114.9249
699-97-41,2015-11-15,114.762,114.8628
699-97-41,2015-12-16,114.7704,114.8824
699-97-41,2016-01-16,114.7703,114.9227
699-97-41,2016-02-15,114.7499,114.9677
699-97-41,2016-03-16,114.8331,115.0425
699-97-41,2016-04-15,114.9613,115.2248
699-97-41,2016-05-16,115.2157,115.381
699-97-41,2016-06-15,115.1676,115.396
699-97-41,2016-07-16,115.1043,115.3282
699-97-41,2016-08-16,114.9993,115.2034
699-97-41,2016-09-15,114.9211,115.0532
699-97-41,2016-10-16,114.8039,114.9119
699-97-41,2016-11-15,114.8329,114.8753
699-97-41,2016-12-16,114.9449,114.9863
699-97-41,2017-01-16,115.0654,115.105
699-97-41,2017-02-14,115.0864,115.145
699-97-41,2017-03-16,115.0525,115.1844
699-97-41,2017-04-15,115.5315,115.3638
699-97-41,2017-05-16,115.9593,115.7111
699-97-41,2017-06-15,116.3912,115.9484
699-97-41,2017-07-16,116.0183,115.888
699-97-41,2017-08-16,115.8138,115.738
699-97-41,2017-09-15,115.6208,115.5479
699-97-41,2017-10-16,115.2922,115.2624
699-97-41,2017-11-15,114.9842,114.9472
699-97-41,2017-12-16,114.9073,114.7483
699-97-41,2018-01-16,114.9531,114.8166
699-97-41,2018-02-14,115.1028,114.9981
699-97-41,2018-03-16,115.1782,115.1061
699-97-41,2018-04-15,115.1007,115.1459
699-97-41,2018-05-16,115.9042,115.6543
699-97-41,2018-06-15,116.443,116.0982
699-97-41,2018-07-16,115.9497,115.853
699-97-41,2018-08-16,115.7692,115.5415
699-97-41,2018-09-15,115.4636,115.2784
699-97-41,2018-10-16,115.2203,114.9885
699-97-41,2018-11-15,115.1064,114.882
699-97-41,2018-12-16,115.0483,114.8442
699-97-41,2019-01-16,114.972,114.8164
699-97-41,2019-02-14,114.949,114.8425
699-97-41,2019-03-16,114.9401,114.8614
699-97-41,2019-04-15,114.8259,114.8342
699-97-41,2019-05-16,114.982,114.973
699-97-41,2019-06-15,115.1056,115.141
699-97-41,2019-07-16,114.9859,115.1039
699-97-41,2019-08-16,114.8487,114.9684
699-97-41,2019-09-15,114.7051,114.7908
699-97-41,2019-10-16,114.5477,114.6101
699-97-41,2019-11-15,114.479,114.5647
699-97-41,2019-12-16,114.5034,114.618
699-97-41,2020-01-16,114.5074,114.7
699-97-41,2020-02-14,114.6456,114.8189
699-97-41,2020-03-16,114.789,114.9169
699-97-41,2020-04-15,114.8196,114.9832
699-97-41,2020-05-16,115.0237,115.2558
699-97-41,2020-06-15,115.687,115.651
699-97-41,2020-07-16,115.8513,115.7989
699-97-41,2020-08-16,115.4771,115.6028
699-97-41,2020-09-15,115.2268,115.3139
699-97-41,2020-10-16,114.977,115.0635
699-97-41,2020-11-15,114.8967,114.9545
699-97-41,2020-12-16,114.8316,114.926
699-98-43,2014-01-31,115.6471,115.5544
699-98-43,2014-02-14,115.6107,115.5209
699-98-43,2014-03-16,115.52,115.5428
699-98-43,2014-04-15,115.7507,115.6835
699-98-43,2014-05-16,116.1784,115.9412
699-98-43,2014-06-15,116.6211,116.1821
699-98-43,2014-07-16,116.6505,116.2684
699-98-43,2014-08-16,116.1786,116.1922
699-98-43,2014-09-15,116.0308,115.9966
699-98-43,2014-10-16,115.715,115.786
699-98-43,2014-11-15,115.679,115.6712
699-98-43,2015-02-14,115.9367,115.8642
699-98-43,2015-03-16,116.0595,115.9573
699-98-43,2015-04-15,116.022,115.9604
699-98-43,2015-05-16,115.8555,115.9326
699-98-43,2015-06-15,115.835,115.9156
699-98-43,2015-07-16,115.7193,115.8537
699-98-43,2015-08-16,115.6101,115.7728
699-98-43,2015-09-15,115.524,115.6688
699-98-43,2015-10-16,115.3741,115.5393
699-98-43,2015-11-15,115.2787,115.4821
699-98-43,2015-12-16,115.2932,115.4865
