"NAME","XCOORDS","YCOORDS","EVENT","VAL","TYPE"
"RIV_CP_30",588483.895,138335.155,2,108.912403154263,"RIV_CP"
"RIV_CP_31",590500.885,136621.33,2,108.509983692394,"RIV_CP"
"RIV_CP_32",591298.77,135385.53,2,108.28740393491,"RIV_CP"
"RIV_CP_33",592526.29,134248.62,2,108.026608718742,"RIV_CP"
"RIV_CP_34",594136.51,132188.4,2,107.615316811887,"RIV_CP"
"RIV_CP_35",594665.435,130484.305,2,107.338936394073,"RIV_CP"
"RIV_CP_36",594648.18,129383.64,2,107.17257582907,"RIV_CP"
"RIV_CP_37",594889.435,127880.99,2,106.943245845819,"RIV_CP"
"RIV_CP_38",595046.59,126215.585,2,106.689188834052,"RIV_CP"
"RIV_CP_39",595165,123933.88,2,106.345188359621,"RIV_CP"
"RIV_CP_40",595098.76,121005.25,2,105.902250596155,"RIV_CP"
"RIV_CP_41",594655.965,118429.83,2,105.508809831428,"RIV_CP"
"RIV_CP_42",595016.1,113778.59,2,104.798251185966,"RIV_CP"
"RIV_CP_43",594338.835,105531.415,2,103.531242367912,"RIV_CP"
"RIV_CP_01",550114.325,143742.035,3,122.755032496746,"RIV_CP"
"RIV_CP_02",554633.79,144304.29,3,121.573903379388,"RIV_CP"
"RIV_CP_03",558566.085,145454.23,3,120.413617188879,"RIV_CP"
"RIV_CP_04",560043.375,146167.09,3,119.951591791011,"RIV_CP"
"RIV_CP_05",561331.08,146355.965,3,119.581553481512,"RIV_CP"
"RIV_CP_06",563178.115,145883.48,3,119.040085053136,"RIV_CP"
"RIV_CP_07",564867.72,145463.455,3,118.553673485421,"RIV_CP"
"RIV_CP_08",566845.175,146186.655,3,118.114115538282,"RIV_CP"
"RIV_CP_09",569628.205,148212.56,3,117.479021845866,"RIV_CP"
"RIV_CP_10",571679.61,150577.26,3,116.840864788029,"RIV_CP"
"RIV_CP_11",572994.975,152135.33,3,116.269953922158,"RIV_CP"
"RIV_CP_12",573696.805,152878.56,3,115.975069147529,"RIV_CP"
"RIV_CP_13",574010.03,153615.74,3,115.74228108329,"RIV_CP"
"RIV_CP_14",574235.45,154240.65,3,115.550447136973,"RIV_CP"
"RIV_CP_15",574479.345,154496.52,3,115.44698783256,"RIV_CP"
"RIV_CP_16",575201.67,154589.815,3,115.220671608073,"RIV_CP"
