161,0,,,,,,,,,,,,,
NAME,XW,YW,NNODES,LOSSTYPE,PUMPLOC,Qlimit,PPFLAG,PUMPCAP,ScrnCorrFac,Ztop,Zbot,Rw,Group,ISTRTSP
199-H1-32_E_HX,576767.07,153766.0,-1,THIEM,0,1,0,0,0,120.59899999999999,114.50299999999999,0.0762,7,0
199-H1-33_E_HX,576833.29,153716.23,-1,THIEM,0,1,0,0,0,119.0766,114.5046,0.0762,7,0
199-H1-34_E_HX,576883.13,153667.06,-1,THIEM,0,1,0,0,0,118.46951999999999,113.89752,0.0762,7,0
199-H1-35_E_HX,576958.26,153628.14,-1,THIEM,0,1,0,0,0,117.7986,113.2266,0.0762,7,0
199-H1-36_E_HX,576885.62,153486.51,-1,THIEM,0,1,0,0,0,118.4456,113.8736,0.0762,7,0
199-H1-37_E_HX,577106.92,153641.63,-1,THIEM,0,1,0,0,0,118.277648,113.696504,0.0762,7,0
199-H1-38_E_HX,577161.0,153555.01,-1,THIEM,0,1,0,0,0,118.156704,113.58165600000001,0.0762,7,0
199-H1-39_E_HX,577223.54,153533.4,-1,THIEM,0,1,0,0,0,118.5566,113.9846,0.0762,7,0
199-H1-4_E_HX,575826.78,153366.87,-1,THIEM,0,1,0,0,0,118.365144,115.317144,0.0762,7,0
199-H1-40_E_HX,577279.34,153500.19,-1,THIEM,0,1,0,0,0,118.9406,114.3686,0.0762,7,0
199-H1-42_E_HX,577127.18,153391.65,-1,THIEM,0,1,0,0,0,116.043976,112.992928,0.0762,7,0
199-H1-43_E_HX,577213.74,153384.28,-1,THIEM,0,1,0,0,0,115.5944,112.5464,0.0762,7,0
199-H1-45_E_HX,577240.96,153062.41,-1,THIEM,0,1,0,0,0,116.050472,111.472376,0.0762,7,0
199-H1-46_E_HX,576986.9,153456.95,-1,THIEM,0,1,0,0,0,119.582224,111.94698400000001,0.127,7,0
199-H1-47_E_HX,577185.49,153309.63,-1,THIEM,0,1,0,0,0,118.93516000000001,112.83916,0.0762,7,0
199-H1-48_E_HX,577185.11,153237.89,-1,THIEM,0,1,0,0,0,119.171328,113.075328,0.0762,7,0
199-H1-49_E_HX,577249.67,153144.38,-1,THIEM,0,1,0,0,0,119.12538400000001,111.505384,0.0762,7,0
199-H1-5_E_DX,574850.72,153090.3,-1,THIEM,0,1,0,0,0,119.091816,111.46571999999999,0.0762,1,0
199-H1-5_I_DX,574850.72,153090.3,-1,THIEM,0,1,0,0,0,119.091816,111.46571999999999,0.0762,1,0
199-H1-6_E_HX,576037.81,153745.74,-1,THIEM,0,1,0,0,0,117.552872,114.50487199999999,0.0762,7,0
199-H1-6_I_HX,576037.81,153745.74,-1,THIEM,0,1,0,0,0,117.552872,114.50487199999999,0.0762,7,0
199-H3-21_E_HX,578127.91,152630.66,-1,THIEM,0,1,0,0,0,116.50363999999999,111.93163999999999,0.0762,7,0
199-H3-22_E_HX,577897.07,152847.99,-1,THIEM,0,1,0,0,0,105.259,96.115,0.0762,7,0
199-H3-25_E_HX,577410.36,152978.49,-1,THIEM,0,1,0,0,0,117.5192,111.4202,0.0762,7,0
199-H3-25_I_HX,577410.36,152978.49,-1,THIEM,0,1,0,0,0,117.5192,111.4202,0.0762,7,0
199-H3-26_E_HX,577440.83,152846.5,-1,THIEM,0,1,0,0,0,116.6472,112.0691,0.0762,7,0
199-H3-26_I_HX,577440.83,152846.5,-1,THIEM,0,1,0,0,0,116.6472,112.0691,0.0762,7,0
199-H3-27_I_HX,577567.05,152811.14,-1,THIEM,0,1,0,0,0,117.45025600000001,111.357304,0.0762,7,0
199-H3-28_E_HX,577655.35,152822.58,-1,THIEM,0,1,0,0,0,101.328424,95.232424,0.0762,7,0
199-H3-29_E_HX,577921.46,152884.22,-1,THIEM,0,1,0,0,0,110.1716,100.41799999999999,0.0762,7,0
199-H3-2C_E_HX,577632.065,152750.302,-1,THIEM,0,1,0,0,0,97.54,94.492,0.0762,7,0
199-H3-4_E_HX,577544.287,152293.21,-1,THIEM,0,1,0,0,0,120.0602,112.4402,0.0762,7,0
199-H3-9_E_HX,578039.12,152913.6,-1,THIEM,0,1,0,0,0,102.54692800000001,99.498928,0.0762,7,0
199-H4-12C_E_HX,578011.772,152919.812,-1,THIEM,0,1,0,0,0,104.3944,101.3464,0.0762,7,0
199-H4-14_I_HX,577803.747,152752.359,-1,THIEM,0,1,0,0,0,117.0283561,112.4563561,0.0762,7,0
199-H4-15A_E_HX,577904.313,153053.42,-1,THIEM,0,1,0,0,0,116.61508290000002,112.04308290000002,0.0762,7,0
199-H4-17_I_HX,577779.175,153037.635,-1,THIEM,0,1,0,0,0,117.68997560000001,114.64197560000001,0.0762,7,0
199-H4-18_I_HX,578018.292,152756.478,-1,THIEM,0,1,0,0,0,116.90899999999999,113.861,0.0762,7,0
199-H4-4_E_HX,578060.8589999999,152853.956,-1,THIEM,0,1,0,0,0,116.77728290000002,113.72928290000002,0.0762,7,0
199-H4-63_E_HX,578185.825,152665.531,-1,THIEM,0,1,0,0,0,116.52261599999999,110.43576000000002,0.0762,7,0
199-H4-64_E_HX,577946.11,153010.582,-1,THIEM,0,1,0,0,0,118.64436,112.54836,0.0762,7,0
199-H4-69_E_HX,578014.05,152686.66,-1,THIEM,0,1,0,0,0,115.4404,112.389352,0.0762,7,0
199-H4-70_E_HX,578003.82,152646.45,-1,THIEM,0,1,0,0,0,115.88799999999999,112.84,0.0762,7,0
199-H4-71_I_HX,578010.64,152581.53,-1,THIEM,0,1,0,0,0,116.05580800000001,111.47466399999999,0.0762,7,0
199-H4-72_I_HX,578036.28,152500.14,-1,THIEM,0,1,0,0,0,116.205096,111.62700000000001,0.0762,7,0
199-H4-73_I_HX,577940.58,152369.98,-1,THIEM,0,1,0,0,0,116.1294,110.027304,0.0762,7,0
