FID,site,base_center_elev,avg_WT
1,100-D-56-2,113.875,118.2830025210084
2,100-D-100,113.375,118.7351256302521
3,100-H-RB,110.375,115.17718067226892
4,100-H-SEB,110.375,115.23732794117649
5,100-H-46,110.375,115.32699411764705
