row,column,head97,head98,head99,head100,head101,head102,head103,head104,head105,head106,head107,head108,head109,head110,head111,head112,head113,head114,head115,head116,head117,head118,head119,head120,head121,head122,head123,head124,head125,head126,head127,head128,head129,head130,head131,head132,head133,head134,head135,head136,head137,head138,head139,head140,head141,head142,head143,head144,head145,head146,head147,head148,head149,head150,head151,head152,head153,head154,head155,head156,head157,head158,head159,head160,head161,head162,head163,head164,head165,head166,head167,head168,head169,head170,head171,head172,head173,head174,head175,head176,head177,head178,head179,head180,geometry,X,Y,WL_1_2014,WL_2_2014,WL_3_2014,WL_4_2014,WL_5_2014,WL_6_2014,WL_7_2014,WL_8_2014,WL_9_2014,WL_10_2014,WL_11_2014,WL_12_2014,WL_1_2015,WL_2_2015,WL_3_2015,WL_4_2015,WL_5_2015,WL_6_2015,WL_7_2015,WL_8_2015,WL_9_2015,WL_10_2015,WL_11_2015,WL_12_2015,WL_1_2016,WL_2_2016,WL_3_2016,WL_4_2016,WL_5_2016,WL_6_2016,WL_7_2016,WL_8_2016,WL_9_2016,WL_10_2016,WL_11_2016,WL_12_2016,WL_1_2017,WL_2_2017,WL_3_2017,WL_4_2017,WL_5_2017,WL_6_2017,WL_7_2017,WL_8_2017,WL_9_2017,WL_10_2017,WL_11_2017,WL_12_2017,WL_1_2018,WL_2_2018,WL_3_2018,WL_4_2018,WL_5_2018,WL_6_2018,WL_7_2018,WL_8_2018,WL_9_2018,WL_10_2018,WL_11_2018,WL_12_2018,WL_1_2019,WL_2_2019,WL_3_2019,WL_4_2019,WL_5_2019,WL_6_2019,WL_7_2019,WL_8_2019,WL_9_2019,WL_10_2019,WL_11_2019,WL_12_2019,WL_1_2020,WL_2_2020,WL_3_2020,WL_4_2020,WL_5_2020,WL_6_2020,WL_7_2020,WL_8_2020,WL_9_2020,WL_10_2020,WL_11_2020,WL_12_2020,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,diff11,diff12,diff13
433,1,118.21,118.543,118.536,118.481,118.781,119.04,118.603,118.417,118.651,118.613,118.144,117.936,118.094,118.391,118.65,118.491,118.656,118.606,118.346,118.324,118.455,118.541,118.081,118.126,118.144,118.193,118.55,118.474,118.756,118.816,118.783,118.715,118.562,118.527,118.417,118.523,118.844,118.897,118.812,119.191,119.298,119.752,119.675,119.394,119.185,119.128,118.667,118.653,118.745,118.9,118.937,118.994,119.238,119.662,119.513,119.327,119.048,118.786,118.653,118.579,118.593,118.605,118.586,118.439,118.492,118.773,118.733,118.678,118.614,118.375,118.323,118.438,117.965,118.273,117.949,117.608,119.165,119.676,118.994,118.32,117.604,117.457,117.94,117.948,"POLYGON ((571750 150510, 571760 150510, 571760 150500, 571750 150500, 571750 150510))",571755.0,150505.0,117.7567138671875,117.55000305175781,118.08710479736328,118.4735107421875,119.49554443359375,119.06916809082031,118.75434112548828,117.94671630859375,117.72756958007812,117.4769515991211,117.6241683959961,117.64752960205078,118.17050170898438,118.6710433959961,118.69710540771484,118.13973236083984,118.37012481689453,118.09095764160156,117.85099792480469,117.93755340576172,117.31182861328125,117.46013641357422,117.55262756347656,117.68718719482422,117.81761932373047,117.85167694091797,118.16129302978516,118.73303985595703,118.8596420288086,118.42988586425781,118.11028289794922,117.79518127441406,117.42779541015625,117.55130004882812,117.84095764160156,118.1292495727539,118.32156372070312,118.17755126953125,118.64398193359375,119.4960708618164,120.3102798461914,119.79898071289062,118.43818664550781,117.76970672607422,117.73241424560547,117.03650665283203,117.30085754394531,117.77140045166016,118.22752380371094,118.66172790527344,118.49311828613281,118.54241943359375,120.80856323242188,119.29440307617188,118.405517578125,118.1955795288086,117.19998931884766,117.4438247680664,117.63418579101562,117.57875061035156,117.69322204589844,117.67269897460938,117.76262664794922,117.36911010742188,118.25003051757812,118.15414428710938,117.71312713623047,117.68202209472656,117.37958526611328,117.1650161743164,117.58240509033203,117.56829833984375,117.96466827392578,118.27284240722656,117.94886016845703,117.60794067382812,119.16507720947266,119.6756591796875,118.99403381347656,118.31983184814453,117.6038818359375,117.45738983154297,117.94036865234375,117.94841003417969,-0.2453317260742125,-0.27015759277344387,-0.5871398315429701,-0.8730593261718695,0.38407720947265034,0.6356591796874937,0.39103381347656807,-0.09716815185547034,-1.0471181640624962,-1.1556101684570308,-0.20363134765625546,0.012410034179680451
433,2,118.21,118.543,118.536,118.481,118.781,119.04,118.603,118.417,118.651,118.613,118.144,117.936,118.094,118.391,118.65,118.491,118.656,118.606,118.346,118.324,118.455,118.541,118.081,118.126,118.144,118.193,118.55,118.474,118.756,118.816,118.783,118.715,118.562,118.527,118.417,118.523,118.844,118.897,118.812,119.191,119.298,119.752,119.675,119.394,119.185,119.128,118.667,118.653,118.745,118.9,118.937,118.994,119.238,119.662,119.513,119.327,119.048,118.786,118.653,118.579,118.593,118.605,118.586,118.439,118.492,118.773,118.733,118.678,118.614,118.375,118.323,118.438,117.965,118.273,117.949,117.608,119.165,119.676,118.994,118.32,117.604,117.457,117.94,117.948,"POLYGON ((571760 150510, 571770 150510, 571770 150500, 571760 150500, 571760 150510))",571765.0,150505.0,117.7567138671875,117.55000305175781,118.08710479736328,118.4735107421875,119.49554443359375,119.06916809082031,118.75434112548828,117.94671630859375,117.72756958007812,117.4769515991211,117.6241683959961,117.64752960205078,118.17050170898438,118.6710433959961,118.69710540771484,118.13973236083984,118.37012481689453,118.09095764160156,117.85099792480469,117.93755340576172,117.31182861328125,117.46013641357422,117.55262756347656,117.68718719482422,117.81761932373047,117.85167694091797,118.16129302978516,118.73303985595703,118.8596420288086,118.42988586425781,118.11028289794922,117.79518127441406,117.42779541015625,117.55130004882812,117.84095764160156,118.1292495727539,118.32156372070312,118.17755126953125,118.64398193359375,119.4960708618164,120.3102798461914,119.79898071289062,118.43818664550781,117.76970672607422,117.73241424560547,117.03650665283203,117.30085754394531,117.77140045166016,118.22752380371094,118.66172790527344,118.49311828613281,118.54241943359375,120.80856323242188,119.29440307617188,118.405517578125,118.1955795288086,117.19998931884766,117.4438247680664,117.63418579101562,117.57875061035156,117.69322204589844,117.67269897460938,117.76262664794922,117.36911010742188,118.25003051757812,118.15414428710938,117.71312713623047,117.68202209472656,117.37958526611328,117.1650161743164,117.58240509033203,117.56829833984375,117.96466827392578,118.27284240722656,117.94886016845703,117.60794067382812,119.16507720947266,119.6756591796875,118.99403381347656,118.31983184814453,117.6038818359375,117.45738983154297,117.94036865234375,117.94841003417969,-0.2453317260742125,-0.27015759277344387,-0.5871398315429701,-0.8730593261718695,0.38407720947265034,0.6356591796874937,0.39103381347656807,-0.09716815185547034,-1.0471181640624962,-1.1556101684570308,-0.20363134765625546,0.012410034179680451
433,3,118.227,118.555,118.546,118.492,118.809,119.046,118.609,118.416,118.688,118.663,118.179,117.938,118.09,118.384,118.676,118.49,118.696,118.635,118.349,118.327,118.481,118.558,118.089,118.13,118.149,118.196,118.553,118.477,118.754,118.819,118.778,118.71,118.588,118.537,118.412,118.53,118.835,118.888,118.813,119.182,119.257,119.743,119.674,119.4,119.199,119.213,118.677,118.664,118.749,118.902,118.925,118.996,119.213,119.659,119.515,119.33,119.064,118.818,118.663,118.586,118.601,118.613,118.594,118.45,118.499,118.774,118.738,118.684,118.624,118.389,118.33,118.444,117.971,118.279,118.026,117.623,119.145,119.671,119.01,118.341,117.67,117.507,117.948,117.961,"POLYGON ((571770 150510, 571780 150510, 571780 150500, 571770 150500, 571770 150510))",571775.0,150505.0,117.77613067626953,117.61955261230469,118.09122467041016,118.48400115966797,119.56133270263672,119.08574676513672,118.78803253173828,117.96967315673828,117.88780975341797,117.57642364501953,117.64342498779297,117.66197204589844,118.17481994628906,118.67922973632812,118.74331665039062,118.16098022460938,118.41909790039062,118.1109390258789,117.87156677246094,117.95553588867188,117.35022735595703,117.53326416015625,117.57052612304688,117.70162200927734,117.82742309570312,117.86416625976562,118.17838287353516,118.7277603149414,118.9179916381836,118.44621276855469,118.13013458251953,117.82219696044922,117.51036834716797,117.61123657226562,117.85347747802734,118.1375732421875,118.33222961425781,118.19085693359375,118.63752746582031,119.49252319335938,120.36930084228516,119.81488037109375,118.47329711914062,117.80693054199219,117.83744049072266,117.08029174804688,117.3267593383789,117.78749084472656,118.23505401611328,118.66717529296875,118.573974609375,118.54984283447266,120.86470794677734,119.32133483886719,118.44174194335938,118.29705047607422,117.24628448486328,117.53903198242188,117.65245819091797,117.6016616821289,117.71234893798828,117.69364166259766,117.85833740234375,117.38967895507812,118.20940399169922,118.17082977294922,117.73876953125,117.70625305175781,117.51100158691406,117.2431640625,117.5923080444336,117.58724212646484,117.97061157226562,118.27943420410156,118.0258560180664,117.6231689453125,119.14512634277344,119.67094421386719,119.01008605957031,118.34076690673828,117.67028045654297,117.5071792602539,117.94841003417969,117.96125030517578,-0.25638842773437887,-0.2755657958984443,-0.5201439819336002,-0.8688310546875044,0.33612634277344,0.624944213867181,0.40108605957031784,-0.07523309326171557,-1.0177195434570336,-1.1558207397460905,-0.23058996582031455,0.023250305175778863
433,4,118.227,118.555,118.546,118.492,118.809,119.046,118.609,118.416,118.688,118.663,118.179,117.938,118.09,118.384,118.676,118.49,118.696,118.635,118.349,118.327,118.481,118.558,118.089,118.13,118.149,118.196,118.553,118.477,118.754,118.819,118.778,118.71,118.588,118.537,118.412,118.53,118.835,118.888,118.813,119.182,119.257,119.743,119.674,119.4,119.199,119.213,118.677,118.664,118.749,118.902,118.925,118.996,119.213,119.659,119.515,119.33,119.064,118.818,118.663,118.586,118.601,118.613,118.594,118.45,118.499,118.774,118.738,118.684,118.624,118.389,118.33,118.444,117.971,118.279,118.026,117.623,119.145,119.671,119.01,118.341,117.67,117.507,117.948,117.961,"POLYGON ((571780 150510, 571790 150510, 571790 150500, 571780 150500, 571780 150510))",571785.0,150505.0,117.77613067626953,117.61955261230469,118.09122467041016,118.48400115966797,119.56133270263672,119.08574676513672,118.78803253173828,117.96967315673828,117.88780975341797,117.57642364501953,117.64342498779297,117.66197204589844,118.17481994628906,118.67922973632812,118.74331665039062,118.16098022460938,118.41909790039062,118.1109390258789,117.87156677246094,117.95553588867188,117.35022735595703,117.53326416015625,117.57052612304688,117.70162200927734,117.82742309570312,117.86416625976562,118.17838287353516,118.7277603149414,118.9179916381836,118.44621276855469,118.13013458251953,117.82219696044922,117.51036834716797,117.61123657226562,117.85347747802734,118.1375732421875,118.33222961425781,118.19085693359375,118.63752746582031,119.49252319335938,120.36930084228516,119.81488037109375,118.47329711914062,117.80693054199219,117.83744049072266,117.08029174804688,117.3267593383789,117.78749084472656,118.23505401611328,118.66717529296875,118.573974609375,118.54984283447266,120.86470794677734,119.32133483886719,118.44174194335938,118.29705047607422,117.24628448486328,117.53903198242188,117.65245819091797,117.6016616821289,117.71234893798828,117.69364166259766,117.85833740234375,117.38967895507812,118.20940399169922,118.17082977294922,117.73876953125,117.70625305175781,117.51100158691406,117.2431640625,117.5923080444336,117.58724212646484,117.97061157226562,118.27943420410156,118.0258560180664,117.6231689453125,119.14512634277344,119.67094421386719,119.01008605957031,118.34076690673828,117.67028045654297,117.5071792602539,117.94841003417969,117.96125030517578,-0.25638842773437887,-0.2755657958984443,-0.5201439819336002,-0.8688310546875044,0.33612634277344,0.624944213867181,0.40108605957031784,-0.07523309326171557,-1.0177195434570336,-1.1558207397460905,-0.23058996582031455,0.023250305175778863
433,5,118.243,118.566,118.555,118.503,118.836,119.054,118.621,118.418,118.734,118.717,118.22,117.942,118.09,118.382,118.709,118.492,118.736,118.67,118.355,118.333,118.515,118.574,118.098,118.136,118.156,118.2,118.557,118.483,118.756,118.825,118.775,118.708,118.617,118.548,118.41,118.541,118.829,118.882,118.815,119.175,119.215,119.737,119.673,119.405,119.212,119.273,118.684,118.674,118.753,118.904,118.913,118.997,119.191,119.657,119.517,119.333,119.078,118.849,118.672,118.592,118.608,118.62,118.602,118.458,118.506,118.776,118.743,118.69,118.633,118.401,118.335,118.449,117.976,118.286,118.075,117.638,119.125,119.667,119.026,118.362,117.72,117.545,117.957,117.974,"POLYGON ((571790 150510, 571800 150510, 571800 150500, 571790 150500, 571790 150510))",571795.0,150505.0,117.79595947265625,117.66865539550781,118.09635162353516,118.49539947509766,119.59585571289062,119.1039047241211,118.82256317138672,117.99311828613281,117.9952163696289,117.64137268066406,117.66265869140625,117.67725372314453,118.17967987060547,118.68762969970703,118.77108001708984,118.18223571777344,118.44666290283203,118.1300277709961,117.89203643798828,117.97344207763672,117.38717651367188,117.58051300048828,117.58836364746094,117.71595001220703,117.83745574951172,117.8767318725586,118.19110870361328,118.72319030761719,118.95152282714844,118.46196746826172,118.15027618408203,117.8487548828125,117.56761932373047,117.65056610107422,117.86597442626953,118.14606475830078,118.34294891357422,118.2041015625,118.6338119506836,119.48978424072266,120.39347076416016,119.8299789428711,118.50749969482422,117.84339904785156,117.90631866455078,117.12279510498047,117.35227966308594,117.8035659790039,118.24280548095703,118.67304992675781,118.62369537353516,118.5575942993164,120.8796615600586,119.3475112915039,118.47661590576172,118.36490631103516,117.29190063476562,117.60075378417969,117.67082214355469,117.62459564208984,117.73110961914062,117.71410369873047,117.91618347167969,117.40966796875,118.18848419189453,118.18819427490234,117.76410675048828,117.73040008544922,117.59455108642578,117.29534912109375,117.6025619506836,117.60630798339844,117.97587585449219,118.28580474853516,118.0753173828125,117.63787078857422,119.12539672851562,119.66651916503906,119.0259780883789,118.3615951538086,117.720458984375,117.54480743408203,117.95665740966797,117.97409057617188,-0.2671241455078075,-0.28019525146484625,-0.4796826171875068,-0.8651292114257814,0.2893967285156265,0.6125191650390605,0.40497808837891114,-0.056404846191412616,-1.0135410156249947,-1.1721925659179675,-0.2633425903320301,0.032090576171881935
433,6,118.243,118.566,118.555,118.503,118.836,119.054,118.621,118.418,118.734,118.717,118.22,117.942,118.09,118.382,118.709,118.492,118.736,118.67,118.355,118.333,118.515,118.574,118.098,118.136,118.156,118.2,118.557,118.483,118.756,118.825,118.775,118.708,118.617,118.548,118.41,118.541,118.829,118.882,118.815,119.175,119.215,119.737,119.673,119.405,119.212,119.273,118.684,118.674,118.753,118.904,118.913,118.997,119.191,119.657,119.517,119.333,119.078,118.849,118.672,118.592,118.608,118.62,118.602,118.458,118.506,118.776,118.743,118.69,118.633,118.401,118.335,118.449,117.976,118.286,118.075,117.638,119.125,119.667,119.026,118.362,117.72,117.545,117.957,117.974,"POLYGON ((571800 150510, 571810 150510, 571810 150500, 571800 150500, 571800 150510))",571805.0,150505.0,117.79595947265625,117.66865539550781,118.09635162353516,118.49539947509766,119.59585571289062,119.1039047241211,118.82256317138672,117.99311828613281,117.9952163696289,117.64137268066406,117.66265869140625,117.67725372314453,118.17967987060547,118.68762969970703,118.77108001708984,118.18223571777344,118.44666290283203,118.1300277709961,117.89203643798828,117.97344207763672,117.38717651367188,117.58051300048828,117.58836364746094,117.71595001220703,117.83745574951172,117.8767318725586,118.19110870361328,118.72319030761719,118.95152282714844,118.46196746826172,118.15027618408203,117.8487548828125,117.56761932373047,117.65056610107422,117.86597442626953,118.14606475830078,118.34294891357422,118.2041015625,118.6338119506836,119.48978424072266,120.39347076416016,119.8299789428711,118.50749969482422,117.84339904785156,117.90631866455078,117.12279510498047,117.35227966308594,117.8035659790039,118.24280548095703,118.67304992675781,118.62369537353516,118.5575942993164,120.8796615600586,119.3475112915039,118.47661590576172,118.36490631103516,117.29190063476562,117.60075378417969,117.67082214355469,117.62459564208984,117.73110961914062,117.71410369873047,117.91618347167969,117.40966796875,118.18848419189453,118.18819427490234,117.76410675048828,117.73040008544922,117.59455108642578,117.29534912109375,117.6025619506836,117.60630798339844,117.97587585449219,118.28580474853516,118.0753173828125,117.63787078857422,119.12539672851562,119.66651916503906,119.0259780883789,118.3615951538086,117.720458984375,117.54480743408203,117.95665740966797,117.97409057617188,-0.2671241455078075,-0.28019525146484625,-0.4796826171875068,-0.8651292114257814,0.2893967285156265,0.6125191650390605,0.40497808837891114,-0.056404846191412616,-1.0135410156249947,-1.1721925659179675,-0.2633425903320301,0.032090576171881935
433,7,118.259,118.575,118.563,118.514,118.86,119.064,118.636,118.424,118.788,118.768,118.264,117.949,118.093,118.385,118.748,118.498,118.771,118.709,118.363,118.341,118.553,118.59,118.108,118.144,118.164,118.206,118.565,118.492,118.76,118.833,118.774,118.708,118.648,118.559,118.41,118.555,118.824,118.876,118.817,119.169,119.172,119.732,119.672,119.408,119.224,119.296,118.689,118.682,118.757,118.906,118.899,118.998,119.171,119.657,119.518,119.334,119.092,118.88,118.68,118.598,118.615,118.627,118.609,118.466,118.512,118.778,118.747,118.695,118.642,118.412,118.34,118.453,117.981,118.292,118.09,117.652,119.106,119.662,119.042,118.382,117.75,117.567,117.965,117.987,"POLYGON ((571810 150510, 571820 150510, 571820 150500, 571810 150500, 571810 150510))",571815.0,150505.0,117.81592559814453,117.69137573242188,118.10210418701172,118.50736999511719,119.58984375,119.12294006347656,118.8574447631836,118.01677703857422,118.03522491455078,117.66220092773438,117.68167114257812,117.69316864013672,118.18495178222656,118.69605255126953,118.7751235961914,118.20330810546875,118.44679260253906,118.1480941772461,117.91226959228516,117.99110412597656,117.42253875732422,117.594482421875,117.60596466064453,117.73004913330078,117.84757995605469,117.88919830322266,118.1980972290039,118.71923828125,118.95307159423828,118.47708129882812,118.17040252685547,117.8746566772461,117.59270477294922,117.66365814208984,117.87830352783203,118.15459442138672,118.3536148071289,118.2171859741211,118.63329315185547,119.48766326904297,120.3724365234375,119.84420013427734,118.54049682617188,117.87882232666016,117.9290771484375,117.16380310058594,117.37724304199219,117.81951141357422,118.25068664550781,118.67920684814453,118.63340759277344,118.56551361083984,120.8411865234375,119.37264251708984,118.50997161865234,118.39071655273438,117.33643341064453,117.61942291259766,117.68907165527344,117.64727783203125,117.74940490722656,117.7339859008789,117.92564392089844,117.42900848388672,118.1919937133789,118.20587158203125,117.7889175415039,117.75421142578125,117.61682891845703,117.31427764892578,117.61300659179688,117.62525939941406,117.98059844970703,118.29194641113281,118.08989715576172,117.65209197998047,119.10606384277344,119.662353515625,119.04154968261719,118.3820571899414,117.74969482421875,117.56684112548828,117.965087890625,117.98685455322266,-0.2784015502929691,-0.28305358886719034,-0.47310284423828364,-0.861908020019527,0.24606384277343807,0.598353515625007,0.4055496826171918,-0.041942810058600344,-1.0383051757812467,-1.2011588745117194,-0.2989121093749958,0.03785455322265818
433,8,118.259,118.575,118.563,118.514,118.86,119.064,118.636,118.424,118.788,118.768,118.264,117.949,118.093,118.385,118.748,118.498,118.771,118.709,118.363,118.341,118.553,118.59,118.108,118.144,118.164,118.206,118.565,118.492,118.76,118.833,118.774,118.708,118.648,118.559,118.41,118.555,118.824,118.876,118.817,119.169,119.172,119.732,119.672,119.408,119.224,119.296,118.689,118.682,118.757,118.906,118.899,118.998,119.171,119.657,119.518,119.334,119.092,118.88,118.68,118.598,118.615,118.627,118.609,118.466,118.512,118.778,118.747,118.695,118.642,118.412,118.34,118.453,117.981,118.292,118.09,117.652,119.106,119.662,119.042,118.382,117.75,117.567,117.965,117.987,"POLYGON ((571820 150510, 571830 150510, 571830 150500, 571820 150500, 571820 150510))",571825.0,150505.0,117.81592559814453,117.69137573242188,118.10210418701172,118.50736999511719,119.58984375,119.12294006347656,118.8574447631836,118.01677703857422,118.03522491455078,117.66220092773438,117.68167114257812,117.69316864013672,118.18495178222656,118.69605255126953,118.7751235961914,118.20330810546875,118.44679260253906,118.1480941772461,117.91226959228516,117.99110412597656,117.42253875732422,117.594482421875,117.60596466064453,117.73004913330078,117.84757995605469,117.88919830322266,118.1980972290039,118.71923828125,118.95307159423828,118.47708129882812,118.17040252685547,117.8746566772461,117.59270477294922,117.66365814208984,117.87830352783203,118.15459442138672,118.3536148071289,118.2171859741211,118.63329315185547,119.48766326904297,120.3724365234375,119.84420013427734,118.54049682617188,117.87882232666016,117.9290771484375,117.16380310058594,117.37724304199219,117.81951141357422,118.25068664550781,118.67920684814453,118.63340759277344,118.56551361083984,120.8411865234375,119.37264251708984,118.50997161865234,118.39071655273438,117.33643341064453,117.61942291259766,117.68907165527344,117.64727783203125,117.74940490722656,117.7339859008789,117.92564392089844,117.42900848388672,118.1919937133789,118.20587158203125,117.7889175415039,117.75421142578125,117.61682891845703,117.31427764892578,117.61300659179688,117.62525939941406,117.98059844970703,118.29194641113281,118.08989715576172,117.65209197998047,119.10606384277344,119.662353515625,119.04154968261719,118.3820571899414,117.74969482421875,117.56684112548828,117.965087890625,117.98685455322266,-0.2784015502929691,-0.28305358886719034,-0.47310284423828364,-0.861908020019527,0.24606384277343807,0.598353515625007,0.4055496826171918,-0.041942810058600344,-1.0383051757812467,-1.2011588745117194,-0.2989121093749958,0.03785455322265818
433,9,118.275,118.584,118.571,118.525,118.881,119.075,118.654,118.431,118.844,118.811,118.31,117.957,118.097,118.39,118.791,118.505,118.8,118.75,118.372,118.35,118.594,118.605,118.119,118.153,118.173,118.213,118.577,118.503,118.766,118.842,118.776,118.709,118.681,118.57,118.411,118.571,118.821,118.872,118.819,119.165,119.129,119.728,119.672,119.41,119.235,119.281,118.692,118.69,118.76,118.908,118.885,118.999,119.154,119.657,119.519,119.335,119.104,118.909,118.687,118.605,118.621,118.633,118.616,118.472,118.518,118.78,118.751,118.699,118.65,118.423,118.344,118.457,117.985,118.298,118.097,117.666,119.087,119.658,119.057,118.402,117.775,117.586,117.974,118.0,"POLYGON ((571830 150510, 571840 150510, 571840 150500, 571830 150500, 571830 150510))",571835.0,150505.0,117.83589172363281,117.70938110351562,118.10826110839844,118.51970672607422,119.5771713256836,119.14242553710938,118.89234161376953,118.04045867919922,118.0621109008789,117.67499542236328,117.70039367675781,117.70954132080078,118.19049835205078,118.70439910888672,118.77503967285156,118.22410583496094,118.44236755371094,118.16512298583984,117.93221282958984,118.00843811035156,117.456298828125,117.6026840209961,117.6232681274414,117.7438735961914,117.85775756835938,117.9014892578125,118.20402526855469,118.7158432006836,118.9493408203125,118.49156188964844,118.19036102294922,117.89984893798828,117.61164855957031,117.67204284667969,117.89043426513672,118.16311645507812,118.36420440673828,118.2300796508789,118.63369750976562,119.4861068725586,120.34492492675781,119.8575439453125,118.57219696044922,117.91307830810547,117.94324493408203,117.20321655273438,117.40156555175781,117.83528137207031,118.2586898803711,118.68558502197266,118.63612365722656,118.57351684570312,120.79570770263672,119.3966064453125,118.54177856445312,118.4078598022461,117.37969207763672,117.6305160522461,117.70711517333984,117.66958618164062,117.7672119140625,117.7532730102539,117.92660522460938,117.4477310180664,118.2003402709961,118.22367095947266,117.8131332397461,117.77758026123047,117.62821960449219,117.32720947265625,117.62358856201172,117.64398193359375,117.98492431640625,118.29788970947266,118.09745788574219,117.66587829589844,119.08727264404297,119.65849304199219,119.05674743652344,118.40202331542969,117.77483367919922,117.58578491210938,117.9737319946289,117.99952697753906,-0.2900756835937557,-0.28611029052734693,-0.47354211425781045,-0.8591217041015682,0.20627264404296852,0.5834930419921847,0.40274743652344114,-0.028976684570309885,-1.0691663208007753,-1.225215087890632,-0.336268005371096,0.042526977539068866
433,10,118.275,118.584,118.571,118.525,118.881,119.075,118.654,118.431,118.844,118.811,118.31,117.957,118.097,118.39,118.791,118.505,118.8,118.75,118.372,118.35,118.594,118.605,118.119,118.153,118.173,118.213,118.577,118.503,118.766,118.842,118.776,118.709,118.681,118.57,118.411,118.571,118.821,118.872,118.819,119.165,119.129,119.728,119.672,119.41,119.235,119.281,118.692,118.69,118.76,118.908,118.885,118.999,119.154,119.657,119.519,119.335,119.104,118.909,118.687,118.605,118.621,118.633,118.616,118.472,118.518,118.78,118.751,118.699,118.65,118.423,118.344,118.457,117.985,118.298,118.097,117.666,119.087,119.658,119.057,118.402,117.775,117.586,117.974,118.0,"POLYGON ((571840 150510, 571850 150510, 571850 150500, 571840 150500, 571840 150510))",571845.0,150505.0,117.83589172363281,117.70938110351562,118.10826110839844,118.51970672607422,119.5771713256836,119.14242553710938,118.89234161376953,118.04045867919922,118.0621109008789,117.67499542236328,117.70039367675781,117.70954132080078,118.19049835205078,118.70439910888672,118.77503967285156,118.22410583496094,118.44236755371094,118.16512298583984,117.93221282958984,118.00843811035156,117.456298828125,117.6026840209961,117.6232681274414,117.7438735961914,117.85775756835938,117.9014892578125,118.20402526855469,118.7158432006836,118.9493408203125,118.49156188964844,118.19036102294922,117.89984893798828,117.61164855957031,117.67204284667969,117.89043426513672,118.16311645507812,118.36420440673828,118.2300796508789,118.63369750976562,119.4861068725586,120.34492492675781,119.8575439453125,118.57219696044922,117.91307830810547,117.94324493408203,117.20321655273438,117.40156555175781,117.83528137207031,118.2586898803711,118.68558502197266,118.63612365722656,118.57351684570312,120.79570770263672,119.3966064453125,118.54177856445312,118.4078598022461,117.37969207763672,117.6305160522461,117.70711517333984,117.66958618164062,117.7672119140625,117.7532730102539,117.92660522460938,117.4477310180664,118.2003402709961,118.22367095947266,117.8131332397461,117.77758026123047,117.62821960449219,117.32720947265625,117.62358856201172,117.64398193359375,117.98492431640625,118.29788970947266,118.09745788574219,117.66587829589844,119.08727264404297,119.65849304199219,119.05674743652344,118.40202331542969,117.77483367919922,117.58578491210938,117.9737319946289,117.99952697753906,-0.2900756835937557,-0.28611029052734693,-0.47354211425781045,-0.8591217041015682,0.20627264404296852,0.5834930419921847,0.40274743652344114,-0.028976684570309885,-1.0691663208007753,-1.225215087890632,-0.336268005371096,0.042526977539068866
