wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,scnLenL7,scnLenL8,scnLenL9,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6,fracLenL7,fracL8,fracL9
199-D5-20_E_DX,6.339840,[2.0722418310549955],[1.8199996948240056],[1.8199996948239914],[0.6275987792970028],[],[],[],[],[],[0.32686027],[0.28707344],[0.28707344],[0.09899284],[],[],[],[],[],
199-D5-32_E_DX,7.638288,[2.3360852534179912],[1.9900054931640057],[1.9899978637700002],[1.3221993896479916],[],[],[],[],[],[0.30583885],[0.2605303],[0.2605293],[0.17310154],[],[],[],[],[],
199-D5-34_E_DX,7.630000,[2.7500003051759876],[1.6699981689449999],[1.6699981689449999],[1.5400033569340081],[],[],[],[],[],[0.36041944],[0.21887263],[0.21887263],[0.2018353],[],[],[],[],[],
199-D5-39_E_DX,6.111240,[2.0769018637700043],[1.6300048828120026],[1.6199951171879974],[0.784338136230005],[],[],[],[],[],[0.3398495],[0.26672245],[0.26508452],[0.12834353],[],[],[],[],[],
199-D5-42_I_DX,6.105144,[0.3827916948240073],[2.1999969482419885],[2.2100067138680117],[1.312348643065988],[],[],[],[],[],[0.06269986],[0.36035136],[0.36199092],[0.21495785],[],[],[],[],[],
199-D5-44_I_DX,4.572000,[0.8569621362299955],[1.529998779297003],[1.529998779297003],[0.6550403051760014],[],[],[],[],[],[0.18743704],[0.3346454],[0.3346454],[0.14327216],[],[],[],[],[],
199-D5-92_E_DX,6.400800,[1.5921236621090031],[1.7399978637700002],[1.7399978637689912],[1.3286806103520092],[],[],[],[],[],[0.24873823],[0.27184069],[0.27184069],[0.2075804],[],[],[],[],[],
199-D6-1_I_DX,6.096000,[1.5660033569340044],[1.6199951171869884],[1.6200027465820028],[1.289998779297008],[],[],[],[],[],[0.25689031],[0.26574723],[0.26574848],[0.21161397],[],[],[],[],[],
199-D6-2_I_DX,7.629144,[1.9484030517579924],[2.3999938964840055],[2.3899993896489917],[0.8907476621090069],[],[],[],[],[],[0.25538947],[0.31458233],[0.31327229],[0.11675591],[],[],[],[],[],
199-D7-3_E_DX,10.671048,[3.853053253417997],[2.4400024414060084],[2.4300003051759944],[1.9479919999999993],[],[],[],[],[],[0.36107543],[0.22865631],[0.22771899],[0.18254927],[],[],[],[],[],
199-D7-4_I_DX,6.096000,[0.5459987792970082],[2.26000213623],[2.269996643067003],[1.0200024414059925],[],[],[],[],[],[0.08956673],[0.37073526],[0.37237478],[0.16732324],[],[],[],[],[],
199-D7-5_I_DX,6.099048,[2.8278341362299955],[1.189994812012003],[1.1900024414059942],[0.8912166103520036],[],[],[],[],[],[0.46365173],[0.19511157],[0.19511282],[0.14612389],[],[],[],[],[],
199-D7-6_E_DX,6.120384,[2.253986441405999],[1.110000610352003],[1.1100006103510083],[1.1099929809569886],[0.5364033569340023],[],[],[],[],[0.36827533],[0.18136127],[0.18136127],[0.18136002],[0.08764211],[],[],[],[],
199-D8-53_E_DX,6.248400,[1.3069972534180039],[1.8199996948240056],[1.8300018310550001],[1.2914012207029941],[],[],[],[],[],[0.20917311],[0.29127452],[0.29287527],[0.2066771],[],[],[],[],[],
199-D8-55_E_DX,6.248400,[0.49611633789099585],[1.2900009155270027],[1.2900009155270027],[1.2900009155279974],[1.882280915527005],[],[],[],[],[0.07939894],[0.206453],[0.206453],[0.206453],[0.30124206],[],[],[],[],
199-D8-55_I_DX,6.248400,[0.49611633789099585],[1.2900009155270027],[1.2900009155270027],[1.2900009155279974],[1.882280915527005],[],[],[],[],[0.07939894],[0.206453],[0.206453],[0.206453],[0.30124206],[],[],[],[],
199-D8-6_E_DX,6.187440,[1.4660012207029922],[1.8399963378910087],[1.840003967285],[1.0414384741209943],[],[],[],[],[],[0.23693179],[0.29737603],[0.29737726],[0.16831492],[],[],[],[],[],
199-D8-68_E_DX,7.620000,[2.543598474120998],[1.9000015258790057],[1.9000015258790057],[1.2763984741209953],[],[],[],[],[],[0.33380557],[0.24934403],[0.24934403],[0.16750636],[],[],[],[],[],
199-D8-69_E_DX,6.092952,[1.398872305175999],[1.6100006103510083],[1.6200027465820028],[1.464076337891001],[],[],[],[],[],[0.2295886],[0.26423983],[0.26588142],[0.24029015],[],[],[],[],[],
199-D8-73_E_DX,5.187696,[2.0938067792969974],[1.200004577637003],[1.189994812010994],[0.7038898310549939],[],[],[],[],[],[0.40361015],[0.23131744],[0.22938792],[0.13568448],[],[],[],[],[],
199-D8-88_E_DX,6.416040,[0.9187381362300044],[1.860000610352003],[1.860000610352003],[1.777300643065999],[],[],[],[],[],[0.14319395],[0.28989854],[0.28989854],[0.27700897],[],[],[],[],[],
199-D8-89_E_DX,3.051048,[],[0.8861633569340057],[1.2099990844719883],[0.9548855585940004],[],[],[],[],[],[],[0.29044556],[0.39658474],[0.31296969],[],[],[],[],[],
199-D8-90_E_DX,7.623048,[1.2978307792970014],[2.220001220702997],[2.2099990844729973],[1.8952169155270013],[],[],[],[],[],[0.1702509],[0.29122225],[0.28991016],[0.24861668],[],[],[],[],[],
199-D8-91_E_DX,6.092952,[0.12603261035199864],[1.9400024414059942],[1.9499969482420028],[1.9499969482420028],[0.12692305175799845],[],[],[],[],[0.02068498],[0.31840107],[0.32004141],[0.32004141],[0.02083113],[],[],[],[],
199-D8-93_I_DX,1.527048,[],[],[0.8587566430659876],[0.6682913569340059],[],[],[],[],[],[],[],[0.56236388],[0.43763612],[],[],[],[],[],
199-D8-94_I_DX,4.578096,[],[1.4230483051759961],[1.779998779297003],[1.3750489155270031],[],[],[],[],[],[],[0.31083846],[0.38880766],[0.30035388],[],[],[],[],[],
199-D8-95_E_DX,6.092952,[1.5341458310549996],[1.7099990844720026],[1.7099990844729973],[1.1388079999999974],[],[],[],[],[],[0.25179024],[0.28065199],[0.28065199],[0.18690579],[],[],[],[],[],
199-D8-96_E_DX,6.096000,[1.7706655258790107],[1.7600021362299998],[1.7599945068359943],[0.8053378310549988],[],[],[],[],[],[0.2904635],[0.28871426],[0.28871301],[0.13210922],[],[],[],[],[],
199-D8-97_E_DX,9.156192,[3.6338246103520078],[2.0500030517570025],[2.049995422363992],[1.4223689155270023],[],[],[],[],[],[0.39687073],[0.22389254],[0.2238917],[0.15534503],[],[],[],[],[],
199-D8-98_E_DX,7.629144,[2.873983999999993],[1.8000030517579972],[1.8099975585940058],[1.1451593896480006],[],[],[],[],[],[0.3767112],[0.23593775],[0.23724779],[0.15010326],[],[],[],[],[],
199-D8-99_E_DX,7.626096,[1.8982864741209937],[2.3100051879880112],[2.299995422363992],[1.1178089155270072],[],[],[],[],[],[0.24891982],[0.30290796],[0.30159539],[0.14657682],[],[],[],[],[],
199-D8-99_I_DX,7.626096,[1.8982864741209937],[2.3100051879880112],[2.299995422363992],[1.1178089155270072],[],[],[],[],[],[0.24891982],[0.30290796],[0.30159539],[0.14657682],[],[],[],[],[],
199-H1-1_E_HX,4.572000,[1.482596948242005],[1.110000610352003],[1.110000610350994],[0.8694018310550007],[],[],[],[],[],[0.32427755],[0.24278229],[0.24278229],[0.19015788],[],[],[],[],[],
199-H1-12_I_HX,4.715256,[1.2642350517579928],[1.1499938964840055],[1.1399993896489917],[1.1400070190430114],[0.02102064306599516],[],[],[],[],[0.26811589],[0.2438879],[0.24176829],[0.24176991],[0.00445801],[],[],[],[],
199-H1-2_E_HX,3.048000,[0.48808152587901077],[0.8699951171869884],[0.8800048828130116],[0.809918474120991],[],[],[],[],[],[0.16013173],[0.28543147],[0.28871551],[0.26572128],[],[],[],[],[],
