wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,scnLenL7,scnLenL8,scnLenL9,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6,fracLenL7,fracL8,fracL9
199-H4-92_E_HX,7.644384,[1.7455827792970098],[1.4599990844729973],[1.4599990844720026],[1.4600067138670028],[1.51879633789099],[],[],[],[],[0.22834839],[0.19098976],[0.19098976],[0.19099076],[0.19868132],[],[],[],[],
199-H4-93_E_HX,7.620000,[3.320896337891],[0.9300003051749997],[0.9300003051760086],[0.9300003051759944],[1.509102746582002],[],[],[],[],[0.43581317],[0.12204728],[0.12204728],[0.12204728],[0.19804498],[],[],[],[],
199-H5-16_E_HX,7.863840,[2.6547476621090027],[1.7099990844729973],[1.7099990844729973],[1.7099990844720026],[0.07909508447299629],[],[],[],[],[0.33758923],[0.2174509],[0.2174509],[0.2174509],[0.01005807],[],[],[],[],
199-H6-2_E_HX,3.048000,[0.21890183105500682],[1.049995422362997],[1.0400009155270027],[0.7391018310549953],[],[],[],[],[],[0.07181819],[0.34448669],[0.34120765],[0.24248748],[],[],[],[],[],
199-H6-2_I_HX,3.048000,[0.21890183105500682],[1.049995422362997],[1.0400009155270027],[0.7391018310549953],[],[],[],[],[],[0.07181819],[0.34448669],[0.34120765],[0.24248748],[],[],[],[],[],
199-H6-7_I_HX,6.096000,[4.074598168945002],[0.8199996948250003],[0.8199996948240056],[0.3814024414059958],[],[],[],[],[],[0.66840521],[0.13451439],[0.13451439],[0.06256602],[],[],[],[],[],
199-H6-8_I_HX,9.150100,[1.3039993896479984],[2.48999786377],[2.4900054931640057],[2.48999786377],[0.3760993896479903],[],[],[],[],[0.14251204],[0.27212794],[0.27212877],[0.27212794],[0.04110331],[],[],[],[],
699-90-45B_I_HX,18.818000,[11.843997253417996],[2.1800003051760086],[2.1800003051759944],[2.1800003051749997],[0.43400183105499934],[],[],[],[],[0.62939724],[0.11584655],[0.11584655],[0.11584655],[0.02306312],[],[],[],[],
699-90-47B_I_DX,18.904000,[12.354999084473008],[1.980003356932997],[1.9799957275390057],[1.9900054931640057],[0.5989963378909948],[],[],[],[],[0.65356533],[0.10473992],[0.10473951],[0.10526902],[0.03168622],[],[],[],[],
699-93-48C_I_DX,9.171400,[3.4516966430660005],[1.9300003051760086],[1.9300003051759944],[1.859702746582002],[],[],[],[],[],[0.37635439],[0.21043683],[0.21043683],[0.20277196],[],[],[],[],[],
699-95-45B_I_HX,6.096000,[2.557001525879002],[1.159996032715],[1.1600036621089913],[1.159996032715],[0.05900274658199578],[],[],[],[],[0.41945563],[0.19028806],[0.19028931],[0.19028806],[0.00967893],[],[],[],[],
699-97-47C_I_HX,3.054096,[0.8961806430659891],[1.470001220704006],[0.6879141362300061],[],[],[],[],[],[],[0.29343565],[0.48132122],[0.22524313],[],[],[],[],[],[],
699-97-61_E_DX,3.051048,[],[],[],[],[],[],[],[],[3.0510480000000086],[],[],[],[],[],[],[],[],[1.],
199-H4-80_I_DX,10.668000,[3.3732409155270062],[2.3099975585939916],[2.3000030517580115],[2.299995422362997],[0.3847630517580001],[],[],[],[],[0.31620181],[0.2165352],[0.21559834],[0.21559762],[0.03606703],[],[],[],[],
199-H3-33_E_HX,3.051000,[],[],[],[],[],[],[],[2.149999084472995],[0.9010009155270069],[],[],[],[],[],[],[],[0.70468669],[0.29531331],
199-H1-51_E_HX,3.039000,[0.4029975585940093],[1.0200042724609943],[1.0199966430659941],[0.5960015258790037],[],[],[],[],[],[0.13260861],[0.33563813],[0.33563562],[0.19611765],[],[],[],[],[],
199-H1-3_I_HX,3.048000,[1.7283981689450059],[0.9000015258790057],[0.41960030517599023],[],[],[],[],[],[],[0.56705977],[0.29527609],[0.13766414],[],[],[],[],[],[],
199-H3-4_I_HX,7.620000,[4.190197253417992],[1.0300064086910083],[1.0399932861329972],[1.030006408692003],[0.32979664306598977],[],[],[],[],[0.54989465],[0.13517144],[0.13648206],[0.13517144],[0.0432804],[],[],[],[],
199-H4-77_I_HX,3.044952,[0.9714206430659971],[0.6800003051760086],[0.6900024414059942],[0.6800003051760086],[0.023528305176000686],[],[],[],[],[0.31902659],[0.22332053],[0.22660536],[0.22332053],[0.00772699],[],[],[],[],
199-H1-32_I_HX,6.096000,[3.3590021362300035],[0.9499969482429975],[0.9400024414060084],[0.8469984741209942],[],[],[],[],[],[0.55101741],[0.15583939],[0.15419988],[0.13894332],[],[],[],[],[],
199-H1-33_I_HX,4.572000,[1.9265984741209934],[0.9599990844730115],[0.9599990844719883],[0.7254033569340095],[],[],[],[],[],[0.42139074],[0.20997355],[0.20997355],[0.15866215],[],[],[],[],[],
199-H1-34_I_HX,4.572000,[1.4795221362300026],[1.0699996948250003],[1.0699996948240056],[0.9524784741209942],[],[],[],[],[],[0.32360502],[0.23403318],[0.23403318],[0.20832863],[],[],[],[],[],
199-D5-151_E_DX,9.153000,[3.8320030517579937],[1.9499969482420028],[1.9499969482420028],[1.4210030517579924],[],[],[],[],[],[0.41866088],[0.21304457],[0.21304457],[0.15524998],[],[],[],[],[],
199-D5-20_I_DX,6.339840,[2.0722418310549955],[1.8199996948240056],[1.8199996948239914],[0.6275987792970028],[],[],[],[],[],[0.32686027],[0.28707344],[0.28707344],[0.09899284],[],[],[],[],[],
199-D8-68_I_DX,7.620000,[2.543598474120998],[1.9000015258790057],[1.9000015258790057],[1.2763984741209953],[],[],[],[],[],[0.33380557],[0.24934403],[0.24934403],[0.16750636],[],[],[],[],[],
199-H3-35_E_HX,7.636000,[],[],[],[],[],[],[2.109001220702993],[2.720001220702997],[2.8069975585940057],[],[],[],[],[],[],[0.27619188],[0.3562076],[0.36760052],
199-H3-38_E_HX,6.105000,[],[],[],[],[],[],[],[0.8720015258789999],[5.23299847412099],[],[],[],[],[],[],[],[0.14283399],[0.85716601],
199-H3-37_E_HX,6.105000,[],[],[],[],[0.07899938964798991],[0.37999725341799717],[0.37000274658200283],[0.37000274658200283],[4.905997863769997],[],[],[],[],[0.01294011],[0.06224361],[0.06060651],[0.06060651],[0.80360325],
199-H3-36_E_HX,7.629000,[],[],[],[],[],[],[2.3130012207030006],[2.529998779297003],[2.7860000000000014],[],[],[],[],[],[],[0.30318537],[0.33162915],[0.36518548],
199-H1-39_I_HX,4.572000,[1.6865972534180003],[0.9700012207029971],[0.9700012207030113],[0.945400305175994],[],[],[],[],[],[0.36889704],[0.21216125],[0.21216125],[0.20678047],[],[],[],[],[],
199-H3-39_E_HX,6.142000,[],[],[],[],[],[],[],[],[6.141999999999996],[],[],[],[],[],[],[],[],[1.],
199-D5-160_E_DX,9.150000,[2.8899996948239988],[2.1399993896489917],[2.1500015258790057],[1.9699993896479953],[],[],[],[],[],[0.31584696],[0.23387971],[0.23497284],[0.21530048],[],[],[],[],[],
199-D4-39_I_DX,6.102096,[2.5287910844729993],[1.5],[1.5100021362299998],[0.563302779297004],[],[],[],[],[],[0.41441352],[0.24581717],[0.24745631],[0.092313],[],[],[],[],[],
