,NAME,X,Y,Row,Col,Ztop,Zbot
83,199-H1-43_E_HX,577213.74,153384.28,145,547,115.5944,112.5464
84,199-H1-45_E_HX,577240.96,153062.41,177,550,116.050472,111.472376
85,199-H1-46_E_HX,576986.9,153456.95,138,524,119.582224,111.946984
86,199-H1-47_E_HX,577185.49,153309.63,153,544,118.93516,112.83916
87,199-H1-48_E_HX,577185.11,153237.89,160,544,119.171328,113.075328
88,199-H1-49_E_HX,577249.67,153144.38,169,550,119.125384,111.505384
89,199-H1-5_E_DX,574850.72,153090.3,174,311,119.091816,111.46572
90,199-H1-5_I_DX,574850.72,153090.3,174,311,119.091816,111.46572
91,199-H1-6_E_HX,576037.81,153745.74,109,429,117.552872,114.504872
92,199-H1-6_I_HX,576037.81,153745.74,109,429,117.552872,114.504872
93,199-H3-21_E_HX,578127.91,152630.66,220,638,116.50364,111.93164
94,199-H3-22_E_HX,577897.07,152847.99,199,615,105.259,96.115
95,199-H3-25_E_HX,577410.36,152978.49,186,567,117.5192,111.4202
96,199-H3-25_I_HX,577410.36,152978.49,186,567,117.5192,111.4202
97,199-H3-26_E_HX,577440.83,152846.5,199,570,116.6472,112.0691
98,199-H3-26_I_HX,577440.83,152846.5,199,570,116.6472,112.0691
99,199-H3-27_I_HX,577567.05,152811.14,202,582,117.450256,111.357304
100,199-H3-28_E_HX,577655.35,152822.58,201,591,101.328424,95.232424
101,199-H3-29_E_HX,577921.46,152884.22,195,618,110.1716,100.418
102,199-H3-2C_E_HX,577632.065,152750.302,208,589,97.54,94.492
103,199-H3-4_E_HX,577544.287,152293.21,254,580,120.0602,112.4402
104,199-H3-9_E_HX,578039.12,152913.6,192,629,102.546928,99.498928
105,199-H4-12C_E_HX,578011.772,152919.812,192,627,104.3944,101.3464
106,199-H4-14_I_HX,577803.747,152752.359,208,606,117.0283561,112.4563561
107,199-H4-15A_E_HX,577904.313,153053.42,178,616,116.6150829,112.0430829
108,199-H4-17_I_HX,577779.175,153037.635,180,603,117.6899756,114.6419756
109,199-H4-18_I_HX,578018.292,152756.478,208,627,116.909,113.861
110,199-H4-4_E_HX,578060.859,152853.956,198,632,116.7772829,113.7292829
111,199-H4-63_E_HX,578185.825,152665.531,217,644,116.522616,110.43576
112,199-H4-64_E_HX,577946.11,153010.582,182,620,118.64436,112.54836
113,199-H4-69_E_HX,578014.05,152686.66,215,627,115.4404,112.389352
114,199-H4-70_E_HX,578003.82,152646.45,219,626,115.888,112.84
115,199-H4-71_I_HX,578010.64,152581.53,225,627,116.055808,111.474664
116,199-H4-72_I_HX,578036.28,152500.14,233,629,116.205096,111.627
117,199-H4-73_I_HX,577940.58,152369.98,247,620,116.1294,110.027304
118,199-H4-74_E_HX,577239.07,152268.83,257,549,118.3446,113.7726
119,199-H4-74_I_HX,577239.07,152268.83,257,549,118.3446,113.7726
120,199-H4-75_E_HX,577212.36,152704.64,213,547,118.0264,113.4544
121,199-H4-76_E_HX,576787.32,152976.85,186,504,118.3774,115.3294
122,199-H4-77_E_HX,576487.79,152975.43,186,474,117.951424,114.906472
123,199-H4-78_I_HX,576168.23,152166.12,267,442,117.9606,111.8646
124,199-H4-79_I_HX,575659.13,151989.31,285,391,119.387368,113.294416
125,199-H4-80_E_DX,575238.97,152568.16,227,349,119.83324,109.16524
126,199-H4-81_E_DX,575236.93,153035.36,180,349,119.150248,113.0512
127,199-H4-82_E_DX,574906.99,152677.72,216,316,119.647232,113.575616
128,199-H4-82_I_DX,574906.99,152677.72,216,316,119.647232,113.575616
129,199-H4-86_E_HX,577704.55,152745.65,209,596,118.420808,110.794712
130,199-H4-92_E_HX,576723.3,152233.84,260,498,118.215584,110.5712
131,199-H4-93_E_HX,577025.75,152703.33,213,528,119.9809,112.3609
132,199-H5-16_E_HX,576906.8,151646.31,319,516,118.744744,110.880904
133,199-H6-2_E_HX,577886.5,152194.11,264,614,116.8889,113.8409
134,199-H6-2_I_HX,577886.5,152194.11,264,614,116.8889,113.8409
135,199-H6-7_I_HX,577704.08,151478.02,336,596,121.4046,115.3086
136,199-H6-8_I_HX,578205.59,151928.15,291,646,116.664,107.5139
137,699-90-45B_I_HX,576441.52,150967.0,387,470,129.464,110.646
138,699-90-47B_I_DX,575298.23,150951.48,388,355,129.895,110.991
139,699-93-48C_I_DX,575312.1,151729.0,311,357,120.9317,111.7603
140,699-95-45B_I_HX,576366.0,152780.0,205,462,120.657,114.561
141,699-97-47C_I_HX,575286.11,153609.32,123,354,118.126184,115.072088
142,699-97-61_E_DX,574891.51,152914.15,192,315,103.252008,100.20096
143,199-H4-80_I_DX,575238.97,152568.16,227,349,119.83324,109.16524
144,199-H3-33_E_HX,577857.16,152950.79,188,611,105.69,102.639
145,199-H1-51_E_HX,576724.88,153595.73,124,498,117.343,114.304
146,199-H1-3_I_HX,576163.04,153372.22,146,442,118.8084,115.7604
147,199-H3-4_I_HX,577544.287,152293.21,254,580,120.0602,112.4402
148,199-H4-77_I_HX,576487.79,152975.43,186,474,117.951424,114.906472
149,199-H1-32_I_HX,576767.07,153766.0,107,502,120.599,114.503
150,199-H1-33_I_HX,576833.29,153716.23,112,509,119.0766,114.5046
151,199-H1-34_I_HX,576883.13,153667.06,117,514,118.46952,113.89752
152,199-D5-151_E_DX,573312.03,151391.88,344,157,121.032,111.879
153,199-D5-20_I_DX,573239.97,152030.15,280,149,119.74224,113.4024
154,199-D8-68_I_DX,573711.67,152427.1,241,197,120.1936,112.5736
155,199-H3-35_E_HX,577910.51,153052.06,178,617,104.889,97.253
156,199-H3-38_E_HX,578010.09,152687.0,215,627,107.972,101.867
157,199-H3-37_E_HX,578182.0,152665.0,217,644,109.939,103.834
158,199-H3-36_E_HX,577949.24,153013.72,182,620,105.343,97.714
159,199-H1-39_I_HX,577223.54,153533.4,130,548,118.5566,113.9846
160,199-H3-39_E_HX,578127.76,152636.89,220,638,108.729,102.587
161,199-D5-160_E_DX,573517.16,151429.17,341,177,120.82,111.67
162,199-D4-39_I_DX,572747.453,151650.84,318,100,120.568792,114.466696
