ID,X,Y,Row,Col,Ztop,Zbot,index,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Short,Function,System,Aquifer
199-D5-130_E_DX,574039.2,151928.51,291,229,118.312608,113.734512,23,4.578096,0.5226070844729946,1.480003356932997,1.470001220703011,1.105484337890999,,,,,,0.11415381,0.32327923,0.32109445,0.24147251,,,,,,2,4.0,199-D5-130,E,DX,Unconfined
199-D5-131_E_DX,573684.39,152006.75,283,194,119.008336,111.388336,24,7.62,2.088337831055,2.129997253417997,2.129997253417997,1.2716676621090102,,,,,,0.27406008,0.2795272,0.2795272,0.16688552,,,,,,2,4.0,199-D5-131,E,DX,Unconfined
199-D5-146_E_DX,573219.79,151345.59,349,147,120.737088,110.059944,25,10.677144,3.8970916621090055,2.309997558593992,2.299995422362997,2.1700593569340043,,,,,,0.36499383,0.21634976,0.21541298,0.20324343,,,,,,1,4.0,199-D5-146,E,DX,Unconfined
199-D5-148_I_DX,573361.48,151083.48,375,162,122.620688,110.42564,26,12.195048,4.730688610352004,2.5,2.5,2.464359389647996,,,,,,0.38791882,0.20500124,0.20500124,0.2020787,,,,,,1,4.0,199-D5-148,I,DX,Unconfined
199-D5-153_E_DX,573329.77,151992.82,284,158,119.242144,111.613,27,7.629144,2.002146136229996,1.939994812012003,1.9300003051759944,1.7570027465820033,,,,,,0.26243392,0.25428735,0.25297731,0.23030143,,,,,,1,4.0,199-D5-153,E,DX,Unconfined
199-D5-154_E_DX,573632.26,151831.74,300,189,120.6871,111.537,28,9.1501,3.437100000000001,1.970001220702997,1.9799957275390057,1.763003051757991,,,,,,0.37563524,0.21529833,0.21639061,0.19267582,,,,,,1,4.0,199-D5-154,E,DX,Unconfined
199-D5-159_E_DX,573474.25,151910.82,292,173,120.8443,113.2243,29,7.62,3.204300610352007,1.529998779295994,1.529998779297003,1.3557018310550006,,,,,,0.42051189,0.20078724,0.20078724,0.17791363,,,,,,1,4.0,199-D5-159,E,DX,Unconfined
199-D5-20_E_DX,573239.97,152030.15,280,149,119.74224,113.4024,30,6.33984,2.0722418310549955,1.8199996948240056,1.8199996948239916,0.6275987792970028,,,,,,0.32686027,0.28707344,0.28707344,0.09899284,,,,,,1,4.0,199-D5-20,E,DX,Unconfined
199-D5-32_E_DX,573372.04,151903.39,293,163,119.456088,111.8178,31,7.638288,2.3360852534179912,1.9900054931640057,1.98999786377,1.3221993896479916,,,,,,0.30583885,0.2605303,0.2605293,0.17310154,,,,,,1,4.0,199-D5-32,E,DX,Unconfined
199-D5-34_E_DX,573240.42,151554.12,328,150,120.32,112.69,32,7.63,2.750000305175988,1.669998168945,1.669998168945,1.540003356934008,,,,,,0.36041944,0.21887263,0.21887263,0.2018353,,,,,,1,4.0,199-D5-34,E,DX,Unconfined
199-D5-39_E_DX,573142.858,151428.428,341,140,119.586904,113.475664,33,6.11124,2.0769018637700043,1.6300048828120026,1.6199951171879974,0.784338136230005,,,,,,0.3398495,0.26672245,0.26508452,0.12834353,,,,,,1,4.0,199-D5-39,E,DX,Unconfined
199-D5-42_I_DX,573479.771,151622.674,321,173,118.562792,112.457648,34,6.105144,0.3827916948240073,2.1999969482419885,2.210006713868012,1.312348643065988,,,,,,0.06269986,0.36035136,0.36199092,0.21495785,,,,,,3,4.0,199-D5-42,I,DX,Unconfined
199-D5-44_I_DX,572993.581,151835.736,300,125,119.09696,114.52496,35,4.572,0.8569621362299955,1.529998779297003,1.529998779297003,0.6550403051760014,,,,,,0.18743704,0.3346454,0.3346454,0.14327216,,,,,,2,4.0,199-D5-44,I,DX,Unconfined
199-D5-92_E_DX,573131.93,152009.82,283,139,119.43212,113.03132,36,6.4008,1.5921236621090031,1.7399978637700002,1.7399978637689912,1.3286806103520092,,,,,,0.24873823,0.27184069,0.27184069,0.2075804,,,,,,2,4.0,199-D5-92,E,DX,Unconfined
199-D6-1_I_DX,574129.87,151691.71,314,238,119.836,113.74,37,6.096,1.5660033569340044,1.6199951171869884,1.6200027465820028,1.289998779297008,,,,,,0.25689031,0.26574723,0.26574848,0.21161397,,,,,,3,4.0,199-D6-1,I,DX,Unconfined
199-D6-2_I_DX,574544.61,151970.2,286,280,119.3984,111.769256,38,7.629144,1.9484030517579924,2.399993896484005,2.389999389648992,0.8907476621090069,,,,,,0.25538947,0.31458233,0.31327229,0.11675591,,,,,,2,4.0,199-D6-2,I,DX,Unconfined
199-D7-3_E_DX,574151.38,152363.41,247,241,120.973056,110.302008,39,10.671048,3.853053253417997,2.4400024414060084,2.4300003051759944,1.9479919999999995,,,,,,0.36107543,0.22865631,0.22771899,0.18254927,,,,,,1,4.0,199-D7-3,E,DX,Unconfined
199-D7-4_I_DX,574377.07,152369.64,247,263,118.516,112.42,40,6.096,0.5459987792970082,2.26000213623,2.269996643067003,1.0200024414059925,,,,,,0.08956673,0.37073526,0.37237478,0.16732324,,,,,,3,4.0,199-D7-4,I,DX,Unconfined
199-D7-5_I_DX,574434.31,152678.72,216,269,121.317832,115.218784,41,6.099048,2.8278341362299955,1.189994812012003,1.1900024414059942,0.8912166103520036,,,,,,0.46365173,0.19511157,0.19511282,0.14612389,,,,,,1,4.0,199-D7-5,I,DX,Unconfined
199-D7-6_E_DX,574429.2,152980.43,185,268,120.313984,114.1936,42,6.120384,2.253986441405999,1.110000610352003,1.1100006103510085,1.1099929809569886,0.5364033569340023,,,,,0.36827533,0.18136127,0.18136127,0.18136002,0.08764211,,,,,1,4.0,199-D7-6,E,DX,Unconfined
199-D8-53_E_DX,573889.86,152452.26,238,214,119.177,112.9286,43,6.2484,1.306997253418004,1.8199996948240056,1.830001831055,1.291401220702994,,,,,,0.20917311,0.29127452,0.29287527,0.2066771,,,,,,3,4.0,199-D8-53,E,DX,Unconfined
199-D8-55_E_DX,573620.954,152364.345,247,188,118.65612,112.40772,44,6.2484,0.4961163378909958,1.2900009155270027,1.2900009155270027,1.2900009155279974,1.882280915527005,,,,,0.07939894,0.206453,0.206453,0.206453,0.30124206,,,,,5,4.0,199-D8-55,E,DX,Unconfined
