index,ID,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay
14,199-D4-99_E_DX,9.150096,2.161322441406,2.5,2.5,1.988773558594005,,,,,,0.23620762,0.27322118,0.27322118,0.21735002,,,,,,2,4.0
15,199-D5-101_E_DX,9.147048,3.5400929482420054,2.0200042724609943,2.029998779297003,1.5569519999999957,,,,,,0.38702027,0.22083674,0.22192939,0.1702136,,,,,,1,4.0
16,199-D5-103_E_DX,9.08304,1.8205624414059969,2.519996643067003,2.520004272461009,2.2224766430659884,,,,,,0.20043537,0.27743978,0.27744062,0.24468423,,,,,,3,4.0
17,199-D5-104_E_DX,9.144,2.7440018310550016,2.189994812010994,2.190002441407003,2.0200009155270067,,,,,,0.30008769,0.23950074,0.23950158,0.22090999,,,,,,1,4.0
18,199-D5-108_I_DX,6.096,0.950760610352006,1.720001220702997,1.720001220702997,1.7052369482420031,,,,,,0.15596467,0.28215243,0.28215243,0.27973047,,,,,,2,4.0
19,199-D5-111_I_DX,6.096,1.776230474120993,1.5500030517580117,1.5599975585939916,1.2097689155270075,,,,,,0.29137639,0.25426559,0.25590511,0.19845291,,,,,,1,4.0
20,199-D5-127_E_DX,6.092952,2.441925558594008,1.889999389647997,1.761027051757992,,,,,,,0.40077873,0.31019437,0.2890269,,,,,,,1,3.0
21,199-D5-128_I_DX,6.096,0.5789843051759931,1.9499969482420028,1.950004577637003,1.6170141689450048,,,,,,0.09497774,0.31988139,0.31988264,0.26525823,,,,,,3,4.0
22,199-D5-129_I_DX,7.626096,1.2305501689450011,2.4100036621100003,2.409996032715,1.5755461362300025,,,,,,0.16136044,0.31602063,0.31601963,0.20659931,,,,,,2,4.0
23,199-D5-130_E_DX,4.578096,0.5226070844729946,1.480003356932997,1.470001220703011,1.105484337890999,,,,,,0.11415381,0.32327923,0.32109445,0.24147251,,,,,,2,4.0
24,199-D5-131_E_DX,7.62,2.088337831055,2.129997253417997,2.129997253417997,1.2716676621090102,,,,,,0.27406008,0.2795272,0.2795272,0.16688552,,,,,,2,4.0
25,199-D5-146_E_DX,10.677144,3.8970916621090055,2.309997558593992,2.299995422362997,2.1700593569340043,,,,,,0.36499383,0.21634976,0.21541298,0.20324343,,,,,,1,4.0
26,199-D5-148_I_DX,12.195048,4.730688610352004,2.5,2.5,2.464359389647996,,,,,,0.38791882,0.20500124,0.20500124,0.2020787,,,,,,1,4.0
27,199-D5-153_E_DX,7.629144,2.002146136229996,1.939994812012003,1.9300003051759944,1.7570027465820033,,,,,,0.26243392,0.25428735,0.25297731,0.23030143,,,,,,1,4.0
28,199-D5-154_E_DX,9.1501,3.437100000000001,1.970001220702997,1.9799957275390057,1.763003051757991,,,,,,0.37563524,0.21529833,0.21639061,0.19267582,,,,,,1,4.0
29,199-D5-159_E_DX,7.62,3.204300610352007,1.529998779295994,1.529998779297003,1.3557018310550006,,,,,,0.42051189,0.20078724,0.20078724,0.17791363,,,,,,1,4.0
30,199-D5-20_E_DX,6.33984,2.0722418310549955,1.8199996948240056,1.8199996948239916,0.6275987792970028,,,,,,0.32686027,0.28707344,0.28707344,0.09899284,,,,,,1,4.0
31,199-D5-32_E_DX,7.638288,2.3360852534179912,1.9900054931640057,1.98999786377,1.3221993896479916,,,,,,0.30583885,0.2605303,0.2605293,0.17310154,,,,,,1,4.0
32,199-D5-34_E_DX,7.63,2.750000305175988,1.669998168945,1.669998168945,1.540003356934008,,,,,,0.36041944,0.21887263,0.21887263,0.2018353,,,,,,1,4.0
33,199-D5-39_E_DX,6.11124,2.0769018637700043,1.6300048828120026,1.6199951171879974,0.784338136230005,,,,,,0.3398495,0.26672245,0.26508452,0.12834353,,,,,,1,4.0
34,199-D5-42_I_DX,6.105144,0.3827916948240073,2.1999969482419885,2.210006713868012,1.312348643065988,,,,,,0.06269986,0.36035136,0.36199092,0.21495785,,,,,,3,4.0
35,199-D5-44_I_DX,4.572,0.8569621362299955,1.529998779297003,1.529998779297003,0.6550403051760014,,,,,,0.18743704,0.3346454,0.3346454,0.14327216,,,,,,2,4.0
36,199-D5-92_E_DX,6.4008,1.5921236621090031,1.7399978637700002,1.7399978637689912,1.3286806103520092,,,,,,0.24873823,0.27184069,0.27184069,0.2075804,,,,,,2,4.0
37,199-D6-1_I_DX,6.096,1.5660033569340044,1.6199951171869884,1.6200027465820028,1.289998779297008,,,,,,0.25689031,0.26574723,0.26574848,0.21161397,,,,,,3,4.0
38,199-D6-2_I_DX,7.629144,1.9484030517579924,2.399993896484005,2.389999389648992,0.8907476621090069,,,,,,0.25538947,0.31458233,0.31327229,0.11675591,,,,,,2,4.0
39,199-D7-3_E_DX,10.671048,3.853053253417997,2.4400024414060084,2.4300003051759944,1.9479919999999995,,,,,,0.36107543,0.22865631,0.22771899,0.18254927,,,,,,1,4.0
40,199-D7-4_I_DX,6.096,0.5459987792970082,2.26000213623,2.269996643067003,1.0200024414059925,,,,,,0.08956673,0.37073526,0.37237478,0.16732324,,,,,,3,4.0
41,199-D7-5_I_DX,6.099048,2.8278341362299955,1.189994812012003,1.1900024414059942,0.8912166103520036,,,,,,0.46365173,0.19511157,0.19511282,0.14612389,,,,,,1,4.0
42,199-D7-6_E_DX,6.120384,2.253986441405999,1.110000610352003,1.1100006103510085,1.1099929809569886,0.5364033569340023,,,,,0.36827533,0.18136127,0.18136127,0.18136002,0.08764211,,,,,1,4.0
43,199-D8-53_E_DX,6.2484,1.306997253418004,1.8199996948240056,1.830001831055,1.291401220702994,,,,,,0.20917311,0.29127452,0.29287527,0.2066771,,,,,,3,4.0
44,199-D8-55_E_DX,6.2484,0.4961163378909958,1.2900009155270027,1.2900009155270027,1.2900009155279974,1.882280915527005,,,,,0.07939894,0.206453,0.206453,0.206453,0.30124206,,,,,5,4.0
45,199-D8-55_I_DX,6.2484,0.4961163378909958,1.2900009155270027,1.2900009155270027,1.2900009155279974,1.882280915527005,,,,,0.07939894,0.206453,0.206453,0.206453,0.30124206,,,,,5,4.0
46,199-D8-6_E_DX,6.18744,1.4660012207029922,1.8399963378910087,1.840003967285,1.0414384741209943,,,,,,0.23693179,0.29737603,0.29737726,0.16831492,,,,,,3,4.0
