Lay,Row,Col,R_C,Val,SP,Group,Zone,sp,spLen,tte,Mass (ug),Mass (ug/month)
1,203,611,203_611,0.0,1,,,1,31,31,0.0,0.0
1,203,610,203_610,0.0,1,,,1,31,31,0.0,0.0
1,202,611,202_611,0.0,1,,,1,31,31,0.0,0.0
1,202,610,202_610,0.0,1,,,1,31,31,0.0,0.0
1,201,611,201_611,0.0,1,,,1,31,31,0.0,0.0
1,201,610,201_610,0.0,1,,,1,31,31,0.0,0.0
1,200,617,200_617,0.0,1,,,1,31,31,0.0,0.0
1,200,616,200_616,0.0,1,,,1,31,31,0.0,0.0
1,200,615,200_615,0.0,1,,,1,31,31,0.0,0.0
1,199,617,199_617,0.0,1,,,1,31,31,0.0,0.0
1,199,616,199_616,0.0,1,,,1,31,31,0.0,0.0
1,199,615,199_615,0.0,1,,,1,31,31,0.0,0.0
1,198,617,198_617,0.0,1,,,1,31,31,0.0,0.0
1,198,616,198_616,0.0,1,,,1,31,31,0.0,0.0
1,198,615,198_615,0.0,1,,,1,31,31,0.0,0.0
1,203,613,203_613,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,203,612,203_612,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,202,614,202_614,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,202,613,202_613,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,202,612,202_612,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,201,614,201_614,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,201,613,201_613,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,201,612,201_612,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,200,614,200_614,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,200,613,200_613,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,200,612,200_612,1933.0,1,4.0,10.0,1,31,31,59923.0,59923.0
1,219,640,219_640,950.0,1,5.0,25.0,1,31,31,29450.0,29450.0
