wname,Type,System,XW,YW,NNODES,LOSSTYPE,PUMPLOC,Qlimit,PPFLAG,PUMPCAP,ScrnCorrFac,Ztop,Zbot,Rw,Group,ISTRTSP,Notes
SF_43,,DX,573465,151455,-1,THIEM,0,1,0,0,0,142.66,117.36,0.0762,1,0,
SF_44,,DX,573475,151455,-1,THIEM,0,1,0,0,0,142.71,117.34,0.0762,1,0,
SF_45,,DX,573485,151455,-1,THIEM,0,1,0,0,0,142.75,117.32,0.0762,1,0,
SF_46,,DX,573485,151465,-1,THIEM,0,1,0,0,0,142.6,117.3,0.0762,1,0,
SF_47,,DX,573475,151465,-1,THIEM,0,1,0,0,0,142.55,117.32,0.0762,1,0,
SF_48,,DX,573495,151465,-1,THIEM,0,1,0,0,0,142.63,117.29,0.0762,1,0,
SF_49,,DX,573505,151465,-1,THIEM,0,1,0,0,0,142.62,117.31,0.0762,1,0,
SF_50,,DX,573465,151465,-1,THIEM,0,1,0,0,0,142.45,117.34,0.0762,1,0,
SF_51,,DX,573485,151475,-1,THIEM,0,1,0,0,0,142.61,117.31,0.0762,1,0,
SF_52,,DX,573475,151475,-1,THIEM,0,1,0,0,0,142.62,117.32,0.0762,1,0,
SF_53,,DX,573465,151475,-1,THIEM,0,1,0,0,0,142.57,117.33,0.0762,1,0,
SF_54,,DX,573475,151485,-1,THIEM,0,1,0,0,0,142.7,117.33,0.0762,1,0,
SF_55,,DX,573465,151485,-1,THIEM,0,1,0,0,0,142.73,117.34,0.0762,1,0,
SF_56,,DX,573485,151485,-1,THIEM,0,1,0,0,0,142.62,117.32,0.0762,1,0,
NW_12,,HX,577895,152735,-1,THIEM,0,1,0,0,0,116.56,113.35,0.0762,7,0,
NW_13,,HX,578374.82,152055.12,-1,THIEM,0,1,0,0,0,106.47,101.47,0.0762,7,0,
NW_14,,HX,577943.14,152685,-1,THIEM,0,1,0,0,0,116.22,112.24,0.0762,7,0,
NW_15,,HX,578194.86,152614.68,-1,THIEM,0,1,0,0,0,115.78,110.18,0.0762,7,0,
NW_16,,HX,578004.89,151964.80,-1,THIEM,0,1,0,0,0,106.02,96.02,0.0762,7,0,
