Row,Column,NAME,Nr,I,J,centroid_x,centroid_y,geometry
218,627,107-H-RB_9,9,218,627,578015,152655,"POLYGON ((578020 152660, 578020 152650, 578010 152650, 578010 152660, 578020 152660))"
218,628,107-H-RB_10,10,218,628,578025,152655,"POLYGON ((578030 152660, 578030 152650, 578020 152650, 578020 152660, 578030 152660))"
218,629,107-H-RB_11,11,218,629,578035,152655,"POLYGON ((578040 152660, 578040 152650, 578030 152650, 578030 152660, 578040 152660))"
218,634,107-H-RB_12,12,218,634,578085,152655,"POLYGON ((578090 152660, 578090 152650, 578080 152650, 578080 152660, 578090 152660))"
218,635,107-H-RB_13,13,218,635,578095,152655,"POLYGON ((578100 152660, 578100 152650, 578090 152650, 578090 152660, 578100 152660))"
218,636,107-H-RB_14,14,218,636,578105,152655,"POLYGON ((578110 152660, 578110 152650, 578100 152650, 578100 152660, 578110 152660))"
218,637,107-H-RB_15,15,218,637,578115,152655,"POLYGON ((578120 152660, 578120 152650, 578110 152650, 578110 152660, 578120 152660))"
218,638,107-H-RB_16,16,218,638,578125,152655,"POLYGON ((578130 152660, 578130 152650, 578120 152650, 578120 152660, 578130 152660))"
218,639,107-H-RB_17,17,218,639,578135,152655,"POLYGON ((578140 152660, 578140 152650, 578130 152650, 578130 152660, 578140 152660))"
218,640,107-H-RB_18,18,218,640,578145,152655,"POLYGON ((578150 152660, 578150 152650, 578140 152650, 578140 152660, 578150 152660))"
219,626,107-H-RB_19,19,219,626,578005,152645,"POLYGON ((578010 152650, 578010 152640, 578000 152640, 578000 152650, 578010 152650))"
219,627,107-H-RB_20,20,219,627,578015,152645,"POLYGON ((578020 152650, 578020 152640, 578010 152640, 578010 152650, 578020 152650))"
219,628,107-H-RB_21,21,219,628,578025,152645,"POLYGON ((578030 152650, 578030 152640, 578020 152640, 578020 152650, 578030 152650))"
219,629,107-H-RB_22,22,219,629,578035,152645,"POLYGON ((578040 152650, 578040 152640, 578030 152640, 578030 152650, 578040 152650))"
219,634,107-H-RB_23,23,219,634,578085,152645,"POLYGON ((578090 152650, 578090 152640, 578080 152640, 578080 152650, 578090 152650))"
219,635,107-H-RB_24,24,219,635,578095,152645,"POLYGON ((578100 152650, 578100 152640, 578090 152640, 578090 152650, 578100 152650))"
219,636,107-H-RB_25,25,219,636,578105,152645,"POLYGON ((578110 152650, 578110 152640, 578100 152640, 578100 152650, 578110 152650))"
219,637,107-H-RB_26,26,219,637,578115,152645,"POLYGON ((578120 152650, 578120 152640, 578110 152640, 578110 152650, 578120 152650))"
219,638,107-H-RB_27,27,219,638,578125,152645,"POLYGON ((578130 152650, 578130 152640, 578120 152640, 578120 152650, 578130 152650))"
