ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
199-D2-10_I_DX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0331854279999999,0.17022134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199-D2-12_I_DX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032049805,0.17022134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199-D4-101_E_DX,-59.8844817,-49.4384242,-59.69728698,-59.88609762,-59.88142895,-59.56269728,-59.97997176,-61.89123838,-70.77735822,-71.95664831,-68.38157109999999,-66.73766445,-74.19110536,-79.49671944,-81.92127891,-81.63514262,-80.25423319,-79.30181589,-74.21638213,-69.20315608,-65.64128065,-59.82803872,-55.34206329999999,-55.18041001,-56.05801458,-55.28369402,-55.74638986,-56.94997929,-63.29388685,-58.99132472,-58.7764274,-55.58654787,-47.29466018,-44.7117976,-46.0145607,-47.21163352,-50.94038448,-50.08354297,-45.65253304,-63.98541613,-48.55728572,-36.65197996,0.0,0.0,-7.278838708999999,-0.00134321,-4.561671411,-15.77563512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00232009,0.0,0.0,-1.31292672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
199-D4-14_E_DX,-65.41399143,-47.07456974,-65.09101033,-65.3273747,-65.31239586,-64.71868048,-65.20298525,-65.41667785,-65.35816271,-65.45318876,-65.19097369,-62.70644513,-65.06033011,-59.223821,-59.96761045,-59.88304113,-59.95283514,-59.5765491,-59.79128361,-55.37773977,-59.66285645,-59.61324723,-58.06326837,-59.96919788,-59.88066813,-58.89784685,-59.88164501,-58.08219542,-59.91400416,-58.36849859,-53.35401074,-59.15692216,-52.35272502,-63.0685939,-56.78846846,-51.75949836,-51.62627635,-51.38302015,-48.66547518,-51.75690149,-50.27207645,-51.16133031,-51.79307861,-45.79283743,-50.50935653,-51.66840429999999,-49.84514326,-51.82458299,-51.77818119,-41.57150781,-53.36744284,-53.43257631,-51.23137261,-42.42258515,-53.43228325,-53.17243317,-37.15127554,-61.23657757,-71.35661884,-70.628424,-70.5026507,-70.56328704,-62.94965876,-49.9526489,-75.26567336,-63.86504009,-81.19350331,-75.64274904,-22.82160599,0.0,-50.08968074,-72.95278785,-73.36051314,-79.48616971,-76.57860008,-68.95843543,-78.12219259,-73.36452649,-19.34491042,-55.13877049999999,-83.43636688,-80.83657578,-81.94756512,-64.36283779,-63.85855358544696,-79.3787331777,-78.46755665042089,-80.09489703569199,-69.58734693532953,-68.2704062460112,-84.38122462743173,-28.05124453007303,-67.43004482996321,-53.182837584164126,-69.45296888733279,-81.34337061574297,-82.21706807750168,-73.10644104489,-84.34459161016721,-78.46376309796639,-74.67176551152929,-81.872778770244,-55.47704134538322,-78.7396178586387,-74.7683179340328,-70.85716942377522,-76.56600999025439,-80.11824040836,-63.4553461754222,-74.748633792756,-77.24657818499458,-70.17131386354319,-75.96405625056387,-81.765525436364,-77.9032860744898,0.0,0.0,0.0
199-D4-34_E_DX,-52.20461386,-37.19356344,-50.99438108,-54.43068835,-54.42298727,-53.87536844,-54.44411231,-54.51310449,-49.05199675,-37.57448577,-42.23926499,-44.98583359,-53.48161569,-53.7887834,-54.51576528,-53.92505816,-52.17296282,-53.66916444,-53.59420111,-53.50713668,-49.27884592,-46.71024986,-44.20336819,-48.1894904,-52.76031192,-51.83844879,-54.40012711,-52.80129611,-54.46325798,-53.03384646,-48.44213599,-53.7723596,-50.38809723,-51.91604338,-53.20482081,-54.47546898,-54.31916818,-54.07147241,-34.16930864,0.0,0.0,-31.42988069,-54.51405574,-50.27573975,-53.16772379,-53.65916363,-51.16170886,-59.98385108,-65.12101878,-60.2917122,-61.65040836,-60.22044735,-65.24264034,-39.36813782,-45.74387132,-48.49623072,-39.97796737,-37.80550022,-40.98476025,-40.65102955,-38.33545762,-37.87099915,-35.35182188,-30.27570918,-41.5198422,-44.17422054,-34.89378727,-30.71872426,-25.50634494,-82.21458713,-23.88618946,-23.26427509,-22.08664625,-26.27701091,-24.11000895,-6.792413524,-23.01297271,-55.243264100000005,-14.19882869,-37.50572017,-43.11014179,-29.77237176,-30.0715494,-24.2083075,-32.306657925576765,-39.08302473702,-32.70205029191845,-22.839281998764,-28.65068280257806,-34.6691985453352,-39.28024120210761,-33.753173667294966,-23.8017860350424,0.0,-21.4465028230376,-18.376342560456774,-7.3440651911326436,-20.275882254606,-4.609166232221418,-18.7022054600304,0.0,0.0,0.0,0.0,0.0,0.0,-0.010725333388,-0.0173396281718709,-0.010379354891612902,-0.08611811808599999,-0.009158254316129032,-0.0044163137479999994,-1.8380005862183224,-22.784898249467197,-1.7939188554433547,0.0,0.0,0.0
199-D4-38_E_DX,-43.60916481,-42.50273866,-43.41549826,-43.5539385,-43.5471329,-47.31562836,-43.61795673,-43.40585156,-41.52041529,-38.70717866,-43.47267832,-41.81683338,-43.10983651,-43.27345519,-43.85079999,-39.75298784,-43.34331083,-43.34206124,-43.5029086,-38.50665584,-43.06408596,-43.47054945,-42.25804599,-43.61573824,-43.57886102,-42.92054496,-41.52558137,-10.26249887,-29.13324802,-42.78320854,-43.24147109,-42.06738344,-20.79300477,0.0,-39.13066643,-19.8734025,0.0,-23.63190905,-41.78384402,-43.56275064,-42.40697135,-43.59177212,-43.59864284,-41.98215066,-34.82274367,-31.94141169,-36.04757617,-13.12340592,-22.80367617,-17.38287311,-42.01023596,-49.43631898,-43.21277524,-19.65321782,-50.31249486,-48.49537595,-45.73557598,-42.48182478,-47.00141708,-48.89467565,-47.84721607,-26.39566393,-10.58889076,-19.94835362,-32.86737182,-46.66867955,-38.74110704,-44.29393718,-24.52668083,-15.73460616,-17.00254756,-15.28536347,-21.05371776,-25.53846436,-37.58069571,-29.86335185,-47.98202551,-47.44834783,-11.40544033,-34.35589272,-43.14244395,-33.65546976,-37.69574368,-49.62684721,-48.75097515550297,-49.4469414285,-48.984815915708126,-45.5161698319944,-49.37019525733085,-48.80985662525279,-44.570171005161285,-45.205509634585546,-45.7156610330112,-36.391483570685416,-39.1515046387696,-47.86054861586013,-44.86934064615484,-46.963035331806,-48.23212952097987,-47.6231300309688,-47.47919890613651,-49.0244894734056,-47.070618653579615,-48.20221255688051,-48.167472245508,-47.704736182428384,-46.9398632039568,-47.976308950416,-47.134848543850055,-47.602364343468,-46.962429142591745,-41.659087584884,-46.897344481918445,-48.3566166543152,-46.59915172138528,0.0,0.0,0.0
199-D4-39_E_DX,-45.07802669,-35.07197533,-49.89062827,-61.78183184,-57.42750523,-51.06621436,-50.42974417,-46.48766519,-51.91326333,-39.96930821,-50.07355321,-53.7495503,-53.88628823,-54.10310762,-54.51503262,-46.48496098,-53.73499394,-56.24463122,-42.97466074,-41.10869783,-13.44766903,-11.86347494,-44.30570044,-28.43038286,-16.11693257,-28.49787179,-30.98858736,-11.53628934,-35.29443018,-37.92463481,-44.81046248,-40.93395842,-8.338879689,-54.49256438,-31.95580032,-37.60059964,0.0,-42.99928335,-72.84728481,-82.64862305,-122.7780638,-107.6867128,-5.75235788,-0.0012211,0.0,-27.78576417,-21.31097504,0.0,-12.54204021,-10.14449322,-70.50680244,-59.19586304,-121.1133382,-66.48946485,-17.79203755,-43.13377007,-51.967875,-30.82691372,0.0,0.0,-1.46641899,-10.4954548,-12.05115801,-23.97009938,-54.31245213,-68.67049191,-46.64137982,-50.67955752,-36.03508431,-15.27632733,-23.11257784,-50.101733,-58.54930279999999,-63.09456122,-50.16584075,-40.51297198,-72.09813996,-95.39939809999998,-22.6623949,-61.82172869,-54.04328913,-40.42048587,-48.83771948,-48.79710976,-57.60773973954503,-58.96819841820599,-43.25870898709161,-40.42731459037039,-59.810849397833024,-68.2203126300696,-58.294364593139605,-65.99804390375225,-51.9109921390984,-38.80230243686322,-38.3004178893336,-65.0374040810191,-86.24450199556257,-90.965202682134,-77.76029519710065,-61.886435452688,-66.04566682619613,-99.012492426232,-93.8994593932134,-72.62422406655793,-55.30726359170319,-39.3188279802929,-49.57766431544079,-53.895227659901416,-51.80250549363715,-27.129370289537995,-43.83116093687845,-41.1151239115232,-38.67750595804877,-0.0,-0.0,0.0,0.0,0.0
199-D4-39_I_DX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.607334333672002,180.5417959562686,0.0,0.0,0.0
199-D4-83_E_DX,-81.76721454,-58.50407983,-81.39917483,-81.65966,-81.64412759999999,-81.20831274,-70.77486717,-80.78239693,-72.33227919,-73.60855316,-76.38367924,-69.80433643,-67.92551915,-75.71752833,-76.6142562,-71.71358301,-75.94301753,-76.58868637,-61.22851831,-40.24232738,-43.39694968,-48.34029625,-58.01948379,-37.93395994,-26.07964325,-42.82551811,-43.61012118,-14.08916984,-36.94779958,-53.80821517,-54.14418455,-52.42267777,-27.10921372,0.0,-30.83418334,-74.64401135,-75.34919659999998,-62.06950296,-63.15614677,-78.89879591,-88.37271654,-103.4654759,-93.60354261,-64.69705286,-48.999861200000005,-22.27078813,-16.15865349,0.0,-53.74085522,-72.34026665,-54.766335,-46.07575816,-47.38661715,-49.97094505,-48.40183969,-45.75522755,-16.92368485,0.0,-5.086455417,-40.26821470000001,-32.02798768,0.0,-2.23986373,-4.5226816880000005,-23.16573232,-34.03891144,-21.43079344,-14.24254407,0.0,-1.88476785,-1.882358213,-27.56034911,-32.65380143,-31.40741624,-17.19125635,0.0,-16.71905698,-0.015772542,0.0,-37.09140094,-44.85143039,-12.32419597,-0.282265406,0.0,-8.573102920357162,-49.73152327868999,-31.51440787220284,-6.689201163506399,-1.72236236172,-24.514326713184,-25.07102646554709,-3.89360129498787,-0.4926082534911999,-0.6999348498673548,-13.4353096841656,-43.35016942019535,-44.23009449488903,-57.030337971354,-42.08376601336104,-26.736994332356,-10.823713391031482,-65.1922355636552,-69.07106561201496,-54.06129733816723,-36.2473367180848,-23.431088392672255,-5.9312355439568,-0.2495929576289032,-0.021979810358709675,-30.729296896121998,-13.255413077050065,-0.000630901964,-23.183937636194326,-45.9540157950104,-32.73807275889523,0.0,0.0,0.0
199-D4-84_E_DX,-24.05812351,-16.49587818,-24.34715802,-26.32072519,-26.93760078,-45.26847767,-27.26058188,-27.26107032,-23.08785735,-22.932513,-25.18308277,-25.84801273,-26.94418205,-27.25603355,-27.43127884,-27.22113567,-27.22894257,-27.77683386,-27.17252775,-26.95187498,-24.92591541,-23.26720573,-25.66911757,-27.16727702,-27.22784358,-26.82210995,-25.94141473,-6.710396307000001,-34.87437178,-48.81854007,-44.46330375,-36.99627725,-13.87731306,0.0,-36.69904523,-44.10686466,-48.68171581,-44.11543853,-46.41987228,-54.43735031,-52.99280936,-54.44656147,-50.14495994,-35.80582686,-29.75647711,-23.90364305,-23.93489507,-28.95435687,-33.7927214,-41.50958932,-37.90221134,-37.72274627,-52.6330733,-53.61755668,-42.44165059,-31.96070507,-24.10271491,-8.51082278,-3.623142091,-26.48517056,-23.53450452,-11.15006035,-3.63374938,-2.495089911,-22.32109745,-36.53602024,-29.27843681,-15.89945466,-13.40325355,-7.10655778,-19.4884263,-24.97650151,-26.78140942,-31.89808369,-27.59368514,-24.26372102,-39.97869189,-55.40010625,-13.33331301,-30.77892449,-26.90404449,-20.52217293,-15.01697383,0.0,-30.543022364405417,-39.04652255196,-11.79375568819587,-13.0461693527704,-35.75101631884413,-40.21596243243039,-32.981682323704256,-10.110346434833806,-7.223322766228801,-18.056658429795096,-21.4838522193064,-19.939595517191226,-16.96169754375871,-36.549097127466,-37.74580621895457,-27.031247008365597,-23.391402623969025,-62.3548170707616,-60.89042441661832,-44.001626577216,-31.37475466972,-23.291150266721807,-26.788728293403995,-29.270879784866324,-24.568543578735483,-27.136535533272,-24.365962993262706,-19.727042610352,-39.04847631288077,-33.2834854716056,-27.488561384890062,0.0,0.0,0.0
