DATE,Unnamed: 0,Water Level (m),ID
2021-12-01,,117.55799999999999,199-D1-1
2022-05-01,,117.84899999999999,199-D1-1
2022-07-01,,118.3,199-D1-1
2022-08-01,,118.434,199-D1-1
2022-10-01,,117.73100000000001,199-D1-1
2022-11-01,,117.867,199-D1-1
2023-02-01,,117.859,199-D1-1
2023-04-01,,117.74799999999999,199-D1-1
2023-05-01,,117.81,199-D1-1
2023-06-01,,117.958,199-D1-1
2023-07-01,,117.816,199-D1-1
2023-08-01,,117.758,199-D1-1
2023-09-01,,117.478,199-D1-1
2014-01-01,,118.36250000000003,199-D2-11
2014-02-01,,118.29991233283786,199-D2-11
2014-03-01,,118.20977510040153,199-D2-11
2014-04-01,,118.2899584487535,199-D2-11
2014-05-01,,118.41374496644275,199-D2-11
2014-06-01,,119.04108864265908,199-D2-11
2014-07-01,,119.3634120805369,199-D2-11
2014-08-01,,119.4804731903486,199-D2-11
2014-09-01,,119.30806509695319,199-D2-11
2014-10-01,,119.2490723860588,199-D2-11
2014-11-01,,119.18919667590049,199-D2-11
2014-12-01,,119.15210405405408,199-D2-11
2015-01-01,,119.20544489247281,199-D2-11
2015-02-01,,119.34781305638009,199-D2-11
2015-03-01,,119.48514228187918,199-D2-11
2015-04-01,,119.50691666666638,199-D2-11
2015-05-01,,119.49773959731543,199-D2-11
2015-06-01,,119.46300277777759,199-D2-11
2015-07-01,,119.43782795698883,199-D2-11
2015-08-01,,119.39367382550343,199-D2-11
2015-09-01,,119.35305555555489,199-D2-11
2015-10-01,,119.28778225806455,199-D2-11
2015-11-01,,119.24011080332426,199-D2-11
2015-12-01,,119.24845026881667,199-D2-11
2016-01-01,,119.23227688172084,199-D2-11
2016-02-01,,119.25313199426085,199-D2-11
2016-03-01,,119.2790053691273,199-D2-11
2016-04-01,,119.21245138888892,199-D2-11
2016-05-01,,119.38933422818758,199-D2-11
2016-06-01,,119.48225555555625,199-D2-11
2016-07-01,,119.4739193548394,199-D2-11
2016-08-01,,119.48141129032287,199-D2-11
2016-09-01,,119.3874652777779,199-D2-11
2016-10-01,,119.20262903225833,199-D2-11
2016-11-01,,119.24159999999966,199-D2-11
2016-12-01,,119.36308333333339,199-D2-11
2017-01-01,,119.41037768817192,199-D2-11
2017-02-01,,119.47926785714286,199-D2-11
2017-03-01,,119.53077315436161,199-D2-11
2017-04-01,,119.6132555555552,199-D2-11
2017-05-01,,119.72964429530208,199-D2-11
2017-06-01,,119.90985000000038,199-D2-11
2017-07-01,,119.94538172042984,199-D2-11
2017-08-01,,119.78071946308768,199-D2-11
2017-09-01,,119.60123055555556,199-D2-11
2017-10-01,,119.46083355704715,199-D2-11
2017-11-01,,119.31801664355055,199-D2-11
2017-12-01,,119.20180241935519,199-D2-11
2018-01-01,,119.2220658602154,199-D2-11
2018-02-01,,119.18889136904765,199-D2-11
2018-03-01,,119.23767651006682,199-D2-11
2018-04-01,,119.17221250000057,199-D2-11
2018-05-01,,119.32199059139765,199-D2-11
2018-06-01,,119.64698055555552,199-D2-11
2018-07-01,,119.68681744966464,199-D2-11
2018-08-01,,119.55747043010798,199-D2-11
2018-09-01,,119.39568194444465,199-D2-11
2018-10-01,,119.20348322147608,199-D2-11
2018-11-01,,119.07078918169148,199-D2-11
2018-12-01,,119.01391935483863,199-D2-11
2019-01-01,,118.96688306451537,199-D2-11
2019-02-01,,118.90028422619073,199-D2-11
2019-03-01,,118.82853217158181,199-D2-11
2019-04-01,,118.77283611111123,199-D2-11
2019-05-01,,118.80495026881668,199-D2-11
2019-06-01,,118.94515000000017,199-D2-11
2019-07-01,,119.0200536193028,199-D2-11
2019-08-01,,118.99685080645193,199-D2-11
