NAME,DATE,STD_VALUE_RPTD,STD_ANAL_UNITS_RPTD
199-D5-106,2023-07-13,6.8,ug/L
199-D5-106,2023-08-22,7.11,ug/L
199-D5-123,2022-10-31,3.93,ug/L
199-D5-123,2023-04-20,5.78,ug/L
199-D5-123,2023-06-20,4.13,ug/L
199-D5-123,2023-08-17,5.86,ug/L
199-D5-128,2023-05-09,4.7,ug/L
199-D5-128,2023-06-20,7.07,ug/L
199-D5-128,2023-08-22,5.05,ug/L
199-D5-133,2022-11-15,2.5,ug/L
199-D5-133,2023-04-19,4.13,ug/L
199-D5-133,2023-05-09,20.2,ug/L
199-D5-133,2023-06-20,34.1,ug/L
199-D5-133,2023-07-12,34.2,ug/L
199-D5-133,2023-08-17,33.0,ug/L
199-D5-133,2023-09-13,32.2,ug/L
199-D5-142,2022-10-28,3.62,ug/L
199-D5-142,2023-04-19,2.77,ug/L
199-D5-142,2023-06-20,2.85,ug/L
199-D5-142,2023-08-23,3.14,ug/L
199-D5-145,2022-11-14,4.36,ug/L
199-D5-145,2023-04-20,6.0,ug/L
199-D5-145,2023-04-20,5.89,ug/L
199-D5-145,2023-05-02,2.57,ug/L
199-D5-145,2023-05-16,4.27,ug/L
199-D5-145,2023-05-31,2.64,ug/L
199-D5-145,2023-06-15,4.48,ug/L
199-D5-145,2023-07-13,3.95,ug/L
199-D5-145,2023-08-22,4.6,ug/L
199-D5-146,2022-03-16,11.0,ug/L
199-D5-146,2022-03-21,7.31,ug/L
199-D5-146,2022-04-19,5.0,ug/L
199-D5-146,2022-05-19,4.0,ug/L
199-D5-146,2022-06-23,5.0,ug/L
199-D5-146,2022-07-28,8.0,ug/L
199-D5-146,2022-08-16,6.0,ug/L
199-D5-146,2022-09-28,12.0,ug/L
199-D5-146,2022-10-24,12.2,ug/L
199-D5-146,2022-10-26,7.0,ug/L
199-D5-146,2022-11-09,31.0,ug/L
199-D5-146,2022-12-14,11.0,ug/L
199-D5-146,2023-02-13,53.0,ug/L
199-D5-146,2023-04-20,25.5,ug/L
199-D5-146,2023-05-02,20.4,ug/L
199-D5-146,2023-05-16,28.3,ug/L
199-D5-146,2023-05-30,34.2,ug/L
199-D5-146,2023-06-21,31.5,ug/L
199-D5-146,2023-07-24,28.0,ug/L
199-D5-146,2023-08-24,34.2,ug/L
199-D5-149,2022-11-14,23.5,ug/L
199-D5-149,2023-04-20,8.31,ug/L
199-D5-149,2023-05-02,16.7,ug/L
199-D5-149,2023-05-16,16.6,ug/L
199-D5-149,2023-05-31,20.0,ug/L
199-D5-149,2023-06-13,18.1,ug/L
199-D5-149,2023-07-11,17.7,ug/L
199-D5-149,2023-08-10,27.2,ug/L
199-D5-149,2023-09-13,29.9,ug/L
199-D5-15,2022-10-31,3.34,ug/L
199-D5-15,2022-10-31,3.33,ug/L
199-D5-15,2023-04-19,3.87,ug/L
199-D5-15,2023-05-11,3.13,ug/L
199-D5-15,2023-06-15,5.05,ug/L
199-D5-15,2023-07-12,3.95,ug/L
199-D5-15,2023-08-17,5.55,ug/L
199-D5-15,2023-09-13,3.55,ug/L
199-D5-150,2022-11-14,3.24,ug/L
199-D5-150,2023-04-20,3.49,ug/L
199-D5-150,2023-04-20,2.5,ug/L
199-D5-150,2023-05-02,2.5,ug/L
199-D5-150,2023-05-16,2.5,ug/L
199-D5-150,2023-05-31,2.5,ug/L
199-D5-150,2023-06-13,2.5,ug/L
199-D5-150,2023-07-11,2.75,ug/L
199-D5-150,2023-08-10,2.63,ug/L
199-D5-150,2023-09-13,1.67,ug/L
199-D5-151,2023-02-13,40.0,ug/L
199-D5-151,2023-03-30,35.0,ug/L
199-D5-151,2023-04-20,35.3,ug/L
199-D5-151,2023-05-02,36.4,ug/L
199-D5-151,2023-05-16,36.0,ug/L
