Group,Mass (ug),Total Mass (ug),WasteSite
1.0,19590265031.0,19590265031.0,100-D-100 Sidewall
2.0,22048935303.0,22048935303.0,100-D-56-2 Pipeline
3.0,3842480730.0,3842480730.0,100-H-46 Waste Site
4.0,859077054.0,859077054.0,183-H Solar Evaporation Basins
5.0,3406551974.0,3406551974.0,107-H Retention Basin
