OID_,row,column,node,zone,Longitudin,Transverse,Transver_1,Longitud_1
0,198,615,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
1,198,616,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
2,198,617,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
3,199,615,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
4,199,616,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
5,199,617,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
6,200,612,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
7,200,613,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
8,200,614,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
9,200,615,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
10,200,616,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
11,200,617,0,11,11.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000
12,201,610,0,22,22.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000
13,201,611,0,22,22.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000
14,201,612,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
15,201,613,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
16,201,614,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
17,202,610,0,22,22.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000
18,202,611,0,22,22.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000
19,202,612,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
20,202,613,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
21,202,614,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
22,203,610,0,22,22.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000
23,203,611,0,22,22.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000
24,203,612,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
25,203,613,0,10,10.000000000000000,10.000000000000000,10.000000000000000,0.000000000000000
26,210,595,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
27,210,596,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
28,210,597,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
29,210,598,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
30,210,599,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
31,211,595,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
32,211,596,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
33,211,597,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
34,211,598,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
35,211,599,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
36,212,595,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
37,212,596,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
38,212,597,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
39,212,598,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
40,212,599,0,8,8.000000000000000,8.000000000000000,8.000000000000000,0.000000000000000
41,213,596,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
42,213,597,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
43,213,598,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
44,213,599,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
45,213,600,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
46,214,596,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
47,214,597,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
48,214,598,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
49,214,599,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
50,214,600,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
51,215,596,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
52,215,597,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
53,215,598,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
54,215,599,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
55,215,600,0,9,9.000000000000000,9.000000000000000,9.000000000000000,0.000000000000000
56,216,626,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
57,216,627,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
58,216,628,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
59,216,629,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
60,217,626,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
61,217,627,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
62,217,628,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
63,217,629,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
64,218,626,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
65,218,627,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
66,218,628,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
67,218,629,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
68,218,634,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
69,218,635,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
70,218,636,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
71,218,637,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
72,218,638,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
73,218,639,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
74,218,640,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
75,219,626,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
76,219,627,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
77,219,628,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
78,219,629,0,13,13.000000000000000,13.000000000000000,13.000000000000000,0.000000000000000
79,219,634,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
80,219,635,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
81,219,636,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
82,219,637,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
83,219,638,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
84,219,639,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
85,219,640,0,25,25.000000000000000,25.000000000000000,25.000000000000000,0.000000000000000
86,220,626,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
87,220,627,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
88,220,628,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
89,220,629,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
90,220,634,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
91,220,635,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
92,220,636,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
93,220,637,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
94,220,638,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
95,220,639,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
96,220,640,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
97,221,626,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
98,221,627,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
99,221,628,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
100,221,629,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
101,221,634,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
102,221,635,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
103,221,636,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
104,221,637,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
105,221,638,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
106,221,639,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
107,221,640,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
108,222,626,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
109,222,627,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
110,222,628,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
111,222,629,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
112,222,634,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
113,222,635,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
114,222,636,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
115,222,637,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
116,222,638,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
117,222,639,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
118,222,640,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
119,222,641,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
120,222,642,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
121,223,626,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
122,223,627,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
123,223,628,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
124,223,629,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
125,223,634,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
126,223,635,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
127,223,636,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
128,223,637,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
129,223,638,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
130,223,639,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
131,223,640,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
132,223,641,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
133,223,642,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
134,224,626,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
135,224,627,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
136,224,628,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
137,224,629,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
138,224,634,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
139,224,635,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
140,224,636,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
141,224,637,0,12,12.000000000000000,12.000000000000000,12.000000000000000,0.000000000000000
142,224,638,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
143,224,639,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
144,224,640,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
145,224,641,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
146,224,642,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
147,225,626,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
148,225,627,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
149,225,628,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
150,225,629,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
151,225,638,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
152,225,639,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
153,225,640,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
154,225,641,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
155,225,642,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
156,226,626,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
157,226,627,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
158,226,628,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
159,226,629,0,23,23.000000000000000,23.000000000000000,23.000000000000000,0.000000000000000
160,226,638,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
161,226,639,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
162,226,640,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
163,226,641,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
164,226,642,0,24,24.000000000000000,24.000000000000000,24.000000000000000,0.000000000000000
165,335,172,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
166,335,173,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
167,335,174,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
168,336,172,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
169,336,173,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
170,336,174,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
171,337,172,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
172,337,173,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
173,337,174,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
174,337,175,0,6,6.000000000000000,6.000000000000000,6.000000000000000,0.000000000000000
175,337,176,0,6,6.000000000000000,6.000000000000000,6.000000000000000,0.000000000000000
176,338,172,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
177,338,173,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
178,338,174,0,19,19.000000000000000,19.000000000000000,19.000000000000000,0.000000000000000
179,338,175,0,6,6.000000000000000,6.000000000000000,6.000000000000000,0.000000000000000
