NAME,XCOORDS,YCOORDS,ZCOORDS
1199-32-16B,594529.32,108983.05,114.71
1199-32-17,594883.52,109047.95,114.41
1199-33-13A,593415.75,109466.68,116.86
1199-33-13B,593590.51,109461.02,116.86
1199-33-18A,595183.2,109257.37,116
1199-33-18B,595107.08,109271.8,116.42
1199-33-18C,594980.54,109274.21,115.71
1199-33-18D,595032.14,109331.63,112.28
1199-33-18E,595117.69,109360.61,115.63
1199-33-18F,595122.39,109393.88,113.19
1199-34-10,592560.75,109777.48,114.66
1199-34-13,593589.56,109694.98,121.34
1199-34-15A,594036.37,109598.06,113.6
1199-34-15B,594110.49,109598.36,112.8
1199-34-16,594511.11,109778.54,116.88
1199-34-19,595232.8,109790.33,116.86
1199-35-16,594532.13,110074.06,116.72
1199-35-18,595016.23,109862.41,114.42
1199-36-12,593330.56,110229.12,123
1199-36-18,595104.39,110181.47,114.32
1199-36-19,595348.17,110261.21,113.35
1199-37-13,593605.82,110628.87,124.86
1199-37-16,594380.24,110861.15,111.83
1199-37-19,595274.89,110500.51,114.93
1199-37-8,591867.03,110652.82,114.93
1199-38-11,592785.3,110851.06,111.45
1199-38-16,594377.97,111052.62,112.79
1199-39-10A,592448.22,111068.42,112.94
1199-39-10B,592638.34,111221.54,111.56
1199-39-15,594253.16,111347.76,121
1199-39-16A,594391.59,111170.59,113.59
1199-39-16B,594374.64,111163.24,114.11
1199-39-16C,594291.65,111252.79,118.94
1199-39-16D,594417.61,111314.52,114.18
1199-39-16E,594311.81,111168.34,122.25
1199-39-16F,594299.62,111152.85,NA
1199-39-19,595379.38,111098.19,117.68
1199-40-15,594244.97,111552.93,121.59
1199-40-16A,594413.32,111558.31,119.9
1199-40-16B,594406.42,111554.32,120.45
1199-40-16C,594429.79,111430.27,117.09
1199-41-13A,593575.35,111759.14,124.36
1199-41-13B,593603.71,111806.14,124.37
1199-41-13C,593575.35,111830.48,124.75
1199-41-15,594163.16,111757.82,122.52
1199-45-12,NA,NA,NA
11-D,566862.62,145903.91,108.89
11N28E25R02,596902.17,119595.73,NA
11N29E05D01,598586.31,127682.44,NA
11N29E14R01,604983.96,122910.8,NA
11N29E16N01,600203.15,122798.73,NA
11N29E19R01,598521.19,121197.04,NA
11N29E24R01,606549.06,121332.84,NA
11N29E26D01,603433.77,121185.5,NA
11N30E06N01,606677.95,126152.07,NA
11N30E08N01,608199.67,124573.77,NA
11N30E32D01,608286.77,119696.1,NA
12-D,567231.72,146055.16,105.81
12N28E11J01,595206.35,135039.83,NA
12N28E23H01D01,595186.43,132214.37,NA
12N29E01M01,605029.77,136251.93,NA
12N29E03R01,603266.6,135974.76,NA
12N29E15D01,601825.76,134220.53,NA
12N29E25D01,605034.66,131063.71,NA
12N29E33D01,600178.62,129438.35,NA
12N30E18D01,606579.56,134179.04,NA
12N30E30R01,608112.59,129450.36,NA
13-D,567566,146219,NA
13N28E03A01,593169.31,146896.4,NA
13N28E03N01,591597.91,145359.33,NA
13N28E14B01,594243.34,143516.87,NA
13N28E16J01,591550.82,142857.33,NA
13N28E22B01,592631.72,141762.14,NA
13N28E24D01,595098.01,141923.89,NA
13N28E26R01,594695.42,139107.22,NA
13N28E27Q01,592951.94,138925.61,NA
13N29E04A01,601038.68,146868.5,NA
13N29E10N01,601449.21,143941.58,NA
13N29E20D01,598180.08,142189.98,NA
13N29E32D01,598470.04,138735.11,NA
13N29E36D01,604725.23,139088.18,NA
13N30E28D01,609614.06,140780.21,NA
13N30E30H01,565554.18,156330.07,NA
13N30E32A01,609409.78,139108.91,NA
13-S,567566,146219,NA
14/27-9C,580728.09,154964.4,672.53
144-K-1,569481.28,146996.33,NA
144-K-10,569366.51,146992.76,NA
144-K-11,569352.13,146984.76,NA
144-K-12,569331.15,146972.19,NA
144-K-13,569340.53,146957.4,NA
144-K-14,569347.81,146943.78,NA
144-K-15,569355.06,146930.01,NA
144-K-2,569472,147013.18,NA
144-K-3,569465.06,147026.11,NA
144-K-4,569454.25,147037.55,NA
144-K-5,569442.24,147030.91,NA
144-K-6,569426.09,147022.28,NA
144-K-7,569411.81,147014.94,NA
144-K-8,569396.67,147007.19,NA
144-K-9,569380.69,147001.41,NA
14-D,567870,146429,NA
14-M,567870,146429,NA
14N25E01D02,565571.45,156322.17,206.59
14N25E03E01,562416.34,155516.03,NA
14N25E05N01,559176.15,154649.58,NA
14N25E10J01,563870.63,153900.56,196.9
14N25E17A01,560721.5,153028.67,NA
14N27E03P,582203.87,155114.99,206.6
14N27E03PA,582203.87,155114.99,206.6
14N27E03PB,582203.81,155114.83,NA
14N27E03PC,582203.81,155114.83,NA
14N27E15E,581637.2,152528.69,205.1
14N27E16C01,580812.52,153337.35,204.32
14N27E16C02,580621.79,153200.64,203.1
14N27E16C02A,580621.79,153200.64,NA
14N27E16C02B,580813.82,153295.91,202.91
14N27E16C02C,580813.82,153295.91,202.91
14N27E16C02D,580621.79,153200.64,NA
14N27E16G,580843.06,152683.69,204
14N27E26E01,583307.4,149537.37,NA
14N27E26J01,584912.94,149270.16,NA
14N27E26M01,583697.96,149045.9,NA
14N27E26R02,584924,148788.7,NA
14N27E27A01,582944.41,150004.75,NA
14N27E8J01,579949.02,154097.8,200.4
14N28E30D01,586529.33,149703.91,NA
14N28E30M01,586539.02,149280.34,NA
14N28E30N01,586549.25,148792.61,NA
14N29E21A01,601187.44,151967.12,NA
14N29E28A01,601213.85,150392.25,NA
14-S,567870,146429,NA
15-M,568082,146642,NA
15N24E26R01,555938.66,157922.34,NA
15N24E34Q01,553767.42,156266.24,NA
15N24E35J01,555906.09,156903.8,NA
15N25E25E01,565501.45,158822.6,NA
15N25E30H01,559071.34,158786.02,NA
15N25E30R01,559228.51,157953.84,NA
15N25E32N01,559202.12,156286.14,NA
