EVENT,VAL_FINAL,NAME,XCOORDS,YCOORDS,Year,Month
2018-06-01,118.71781944444443,199-D5-37,573092.236,151916.365,2018,6
2018-07-01,118.16133959731515,199-D5-37,573092.236,151916.365,2018,7
2018-08-01,117.81792473118279,199-D5-37,573092.236,151916.365,2018,8
2018-09-01,117.4164708333333,199-D5-37,573092.236,151916.365,2018,9
2018-10-01,117.18410201342296,199-D5-37,573092.236,151916.365,2018,10
2018-11-01,117.32483922261473,199-D5-37,573092.236,151916.365,2018,11
2018-12-01,117.35820599250945,199-D5-37,573092.236,151916.365,2018,12
2019-01-01,117.34475126903554,199-D5-37,573092.236,151916.365,2019,1
2019-02-01,117.37485483870977,199-D5-37,573092.236,151916.365,2019,2
2019-03-01,117.25856300268096,199-D5-37,573092.236,151916.365,2019,3
2019-04-01,117.12278742514968,199-D5-37,573092.236,151916.365,2019,4
2019-05-01,117.57880107526886,199-D5-37,573092.236,151916.365,2019,5
2019-06-01,117.66946111111095,199-D5-37,573092.236,151916.365,2019,6
2019-07-01,117.37855093833791,199-D5-37,573092.236,151916.365,2019,7
2019-08-01,117.31236962365618,199-D5-37,573092.236,151916.365,2019,8
2019-09-01,117.16623045267492,199-D5-37,573092.236,151916.365,2019,9
2019-10-01,116.8149256410258,199-D5-37,573092.236,151916.365,2019,10
2019-11-01,117.04899320882855,199-D5-37,573092.236,151916.365,2019,11
2019-12-01,117.22658227848103,199-D5-37,573092.236,151916.365,2019,12
2020-01-01,117.2811313672923,199-D5-37,573092.236,151916.365,2020,1
2020-02-01,117.39940948275871,199-D5-37,573092.236,151916.365,2020,2
2020-03-01,117.2151516778525,199-D5-37,573092.236,151916.365,2020,3
2020-04-01,117.0529958333334,199-D5-37,573092.236,151916.365,2020,4
2020-05-01,117.70022715053747,199-D5-37,573092.236,151916.365,2020,5
2020-06-01,118.23751111111126,199-D5-37,573092.236,151916.365,2020,6
2020-07-01,118.30802956989216,199-D5-37,573092.236,151916.365,2020,7
2020-08-01,118.14515591397843,199-D5-37,573092.236,151916.365,2020,8
2020-09-01,117.47086527777806,199-D5-37,573092.236,151916.365,2020,9
2020-10-01,117.19211538461548,199-D5-37,573092.236,151916.365,2020,10
2020-11-01,117.42098461538478,199-D5-37,573092.236,151916.365,2020,11
2020-12-01,117.45361827956981,199-D5-37,573092.236,151916.365,2020,12
2021-01-01,117.6849986577182,199-D5-37,573092.236,151916.365,2021,1
2021-02-01,117.68322172619048,199-D5-37,573092.236,151916.365,2021,2
2021-03-01,117.26199194630887,199-D5-37,573092.236,151916.365,2021,3
2021-04-01,117.14258888888902,199-D5-37,573092.236,151916.365,2021,4
2021-05-01,117.50750672042997,199-D5-37,573092.236,151916.365,2021,5
2021-06-01,117.75202083333348,199-D5-37,573092.236,151916.365,2021,6
2021-07-01,117.660822818792,199-D5-37,573092.236,151916.365,2021,7
2021-08-01,117.44574193548412,199-D5-37,573092.236,151916.365,2021,8
2021-09-01,117.13198333333342,199-D5-37,573092.236,151916.365,2021,9
2021-10-01,116.95882818791962,199-D5-37,573092.236,151916.365,2021,10
2021-11-01,117.15632499999997,199-D5-37,573092.236,151916.365,2021,11
2021-12-01,117.56865456989222,199-D5-37,573092.236,151916.365,2021,12
2022-01-01,117.87469623655919,199-D5-37,573092.236,151916.365,2022,1
2022-02-01,117.98631994047624,199-D5-37,573092.236,151916.365,2022,2
2022-03-01,117.86627114093967,199-D5-37,573092.236,151916.365,2022,3
2022-04-01,117.60160138888884,199-D5-37,573092.236,151916.365,2022,4
2022-05-01,117.70773118279564,199-D5-37,573092.236,151916.365,2022,5
2022-06-01,118.48624166666649,199-D5-37,573092.236,151916.365,2022,6
2022-07-01,118.66035470668498,199-D5-37,573092.236,151916.365,2022,7
2022-08-01,118.3084892473117,199-D5-37,573092.236,151916.365,2022,8
2022-09-01,117.68996805555544,199-D5-37,573092.236,151916.365,2022,9
2022-10-01,117.25394362416105,199-D5-37,573092.236,151916.365,2022,10
2022-11-01,117.43369667590022,199-D5-37,573092.236,151916.365,2022,11
2022-12-01,117.55904838709668,199-D5-37,573092.236,151916.365,2022,12
2023-01-01,117.48052553763435,199-D5-37,573092.236,151916.365,2023,1
2023-02-01,117.50806686478455,199-D5-37,573092.236,151916.365,2023,2
2023-03-01,117.33822416107397,199-D5-37,573092.236,151916.365,2023,3
2023-04-01,117.1948551596485,199-D5-37,573092.236,151916.365,2023,4
2023-05-01,117.95764755933699,199-D5-37,573092.236,151916.365,2023,5
2023-06-01,117.7984983918671,199-D5-37,573092.236,151916.365,2023,6
2023-07-01,117.55282322147606,199-D5-37,573092.236,151916.365,2023,7
2023-08-01,117.51324392209506,199-D5-37,573092.236,151916.365,2023,8
2023-09-01,117.11959070090231,199-D5-37,573092.236,151916.365,2023,9
2023-10-01,116.89283563128558,199-D5-37,573092.236,151916.365,2023,10
2023-11-01,117.09679861111103,199-D5-37,573092.236,151916.365,2023,11
2023-12-01,117.17871164874543,199-D5-37,573092.236,151916.365,2023,12
2024-01-01,117.21562083333333,199-D5-37,573092.236,151916.365,2024,1
2014-01-01,117.908,199-D5-41,573358.16,151792.191,2014,1
2014-03-01,117.7585,199-D5-41,573358.16,151792.191,2014,3
2014-04-01,118.02633333333334,199-D5-41,573358.16,151792.191,2014,4
2014-05-01,118.3245,199-D5-41,573358.16,151792.191,2014,5
2014-06-01,118.459,199-D5-41,573358.16,151792.191,2014,6
2014-07-01,118.43599999999999,199-D5-41,573358.16,151792.191,2014,7
2014-08-01,118.312,199-D5-41,573358.16,151792.191,2014,8
2014-09-01,118.071,199-D5-41,573358.16,151792.191,2014,9
2014-10-01,117.853,199-D5-41,573358.16,151792.191,2014,10
2014-11-01,117.756,199-D5-41,573358.16,151792.191,2014,11
2014-12-01,117.97,199-D5-41,573358.16,151792.191,2014,12
2015-05-01,118.023,199-D5-41,573358.16,151792.191,2015,5
2015-11-01,118.006,199-D5-41,573358.16,151792.191,2015,11
2017-11-01,117.61200000000001,199-D5-41,573358.16,151792.191,2017,11
2018-11-01,117.309,199-D5-41,573358.16,151792.191,2018,11
2019-03-01,117.25746536412072,199-D5-41,573358.16,151792.191,2019,3
2019-04-01,117.15703333333349,199-D5-41,573358.16,151792.191,2019,4
2019-05-01,117.34332258064511,199-D5-41,573358.16,151792.191,2019,5
2019-06-01,117.52203055555565,199-D5-41,573358.16,151792.191,2019,6
2019-07-01,117.3374845637584,199-D5-41,573358.16,151792.191,2019,7
2019-08-01,117.22721102150565,199-D5-41,573358.16,151792.191,2019,8
2019-09-01,117.09917777777743,199-D5-41,573358.16,151792.191,2019,9
2019-10-01,116.94771677852374,199-D5-41,573358.16,151792.191,2019,10
2019-11-01,117.06225138888848,199-D5-41,573358.16,151792.191,2019,11
2019-12-01,117.16515188171991,199-D5-41,573358.16,151792.191,2019,12
2020-01-01,117.11391397849461,199-D5-41,573358.16,151792.191,2020,1
2020-02-01,117.23290948275915,199-D5-41,573358.16,151792.191,2020,2
2020-03-01,117.18724999999957,199-D5-41,573358.16,151792.191,2020,3
2020-04-01,117.07465555555548,199-D5-41,573358.16,151792.191,2020,4
2020-05-01,117.35576612903242,199-D5-41,573358.16,151792.191,2020,5
2020-06-01,117.81397083333361,199-D5-41,573358.16,151792.191,2020,6
2020-07-01,118.15461559139789,199-D5-41,573358.16,151792.191,2020,7
2020-08-01,118.2420954301078,199-D5-41,573358.16,151792.191,2020,8
2020-09-01,117.68821944444448,199-D5-41,573358.16,151792.191,2020,9
2020-10-01,117.34778897849532,199-D5-41,573358.16,151792.191,2020,10
2020-11-01,117.37719166666677,199-D5-41,573358.16,151792.191,2020,11
2020-12-01,117.47350268817213,199-D5-41,573358.16,151792.191,2020,12
2021-01-01,117.64538037634442,199-D5-41,573358.16,151792.191,2021,1
2021-02-01,117.6221651785713,199-D5-41,573358.16,151792.191,2021,2
2021-03-01,117.4085215053767,199-D5-41,573358.16,151792.191,2021,3
2021-04-01,117.24582361111081,199-D5-41,573358.16,151792.191,2021,4
2021-05-01,117.36416801075252,199-D5-41,573358.16,151792.191,2021,5
2021-06-01,117.53277361111088,199-D5-41,573358.16,151792.191,2021,6
2021-07-01,117.55574462365588,199-D5-41,573358.16,151792.191,2021,7
2021-08-01,117.40153091397934,199-D5-41,573358.16,151792.191,2021,8
2021-09-01,117.26996948682384,199-D5-41,573358.16,151792.191,2021,9
2021-10-01,117.09964919354863,199-D5-41,573358.16,151792.191,2021,10
2021-11-01,117.17716643550614,199-D5-41,573358.16,151792.191,2021,11
2021-12-01,117.41670833333353,199-D5-41,573358.16,151792.191,2021,12
2022-01-01,117.70982595870198,199-D5-41,573358.16,151792.191,2022,1
2022-02-01,117.88114858841008,199-D5-41,573358.16,151792.191,2022,2
2022-03-01,117.86806048387099,199-D5-41,573358.16,151792.191,2022,3
2022-04-01,117.66866111111133,199-D5-41,573358.16,151792.191,2022,4
2022-05-01,117.58450403225808,199-D5-41,573358.16,151792.191,2022,5
2022-06-01,117.96232916666663,199-D5-41,573358.16,151792.191,2022,6
2022-07-01,118.31626193724425,199-D5-41,573358.16,151792.191,2022,7
2022-08-01,118.2148427419354,199-D5-41,573358.16,151792.191,2022,8
2022-09-01,117.83500000000024,199-D5-41,573358.16,151792.191,2022,9
2022-10-01,117.49987634408653,199-D5-41,573358.16,151792.191,2022,10
2022-11-01,117.50023802816892,199-D5-41,573358.16,151792.191,2022,11
2022-12-01,117.60155220883544,199-D5-41,573358.16,151792.191,2022,12
2023-01-01,117.5865419847328,199-D5-41,573358.16,151792.191,2023,1
2023-02-01,117.57001337295667,199-D5-41,573358.16,151792.191,2023,2
2023-03-01,117.46738172043028,199-D5-41,573358.16,151792.191,2023,3
2023-04-01,117.32466376274343,199-D5-41,573358.16,151792.191,2023,4
2023-05-01,117.5778877742948,199-D5-41,573358.16,151792.191,2023,5
2023-06-01,117.64410956409006,199-D5-41,573358.16,151792.191,2023,6
2023-07-01,117.44566453995637,199-D5-41,573358.16,151792.191,2023,7
2023-08-01,117.37620295500332,199-D5-41,573358.16,151792.191,2023,8
2023-09-01,117.18506854166706,199-D5-41,573358.16,151792.191,2023,9
2023-10-01,116.95949456219822,199-D5-41,573358.16,151792.191,2023,10
2023-11-01,116.99168749999964,199-D5-41,573358.16,151792.191,2023,11
2023-12-01,117.07833279569915,199-D5-41,573358.16,151792.191,2023,12
2024-01-01,117.10217089552228,199-D5-41,573358.16,151792.191,2024,1
2014-01-01,118.0445,199-D5-43,573179.976,151269.43,2014,1
2014-03-01,117.9045,199-D5-43,573179.976,151269.43,2014,3
2014-04-01,117.98633333333333,199-D5-43,573179.976,151269.43,2014,4
2014-05-01,118.1535,199-D5-43,573179.976,151269.43,2014,5
2014-06-01,118.48325,199-D5-43,573179.976,151269.43,2014,6
2014-07-01,118.7875,199-D5-43,573179.976,151269.43,2014,7
2014-08-01,118.91550000000001,199-D5-43,573179.976,151269.43,2014,8
2014-09-01,118.72925,199-D5-43,573179.976,151269.43,2014,9
2014-10-01,118.616,199-D5-43,573179.976,151269.43,2014,10
2014-11-01,118.4320571428576,199-D5-43,573179.976,151269.43,2014,11
2014-12-01,118.4145127516776,199-D5-43,573179.976,151269.43,2014,12
2015-01-01,118.44886962365574,199-D5-43,573179.976,151269.43,2015,1
2015-02-01,118.60474629080097,199-D5-43,573179.976,151269.43,2015,2
2015-03-01,118.79682416107342,199-D5-43,573179.976,151269.43,2015,3
2015-04-01,118.84241388888859,199-D5-43,573179.976,151269.43,2015,4
2015-05-01,118.80085100671201,199-D5-43,573179.976,151269.43,2015,5
2015-06-01,118.78245769764247,199-D5-43,573179.976,151269.43,2015,6
2015-07-01,118.7408561827959,199-D5-43,573179.976,151269.43,2015,7
2015-08-01,118.68812885906016,199-D5-43,573179.976,151269.43,2015,8
2015-09-01,118.63735922330153,199-D5-43,573179.976,151269.43,2015,9
2015-10-01,118.54836155913975,199-D5-43,573179.976,151269.43,2015,10
2015-11-01,118.46350833333234,199-D5-43,573179.976,151269.43,2015,11
2015-12-01,118.46785483870923,199-D5-43,573179.976,151269.43,2015,12
2016-01-01,118.46371236559031,199-D5-43,573179.976,151269.43,2016,1
2016-02-01,118.47546120689668,199-D5-43,573179.976,151269.43,2016,2
2016-03-01,118.51487265415483,199-D5-43,573179.976,151269.43,2016,3
2016-04-01,118.50150833333335,199-D5-43,573179.976,151269.43,2016,4
2016-05-01,118.68501075268802,199-D5-43,573179.976,151269.43,2016,5
2016-06-01,118.80795706371218,199-D5-43,573179.976,151269.43,2016,6
2016-07-01,118.84768145161205,199-D5-43,573179.976,151269.43,2016,7
2016-08-01,118.8680161290328,199-D5-43,573179.976,151269.43,2016,8
2016-09-01,118.7493564493759,199-D5-43,573179.976,151269.43,2016,9
2016-10-01,118.56658602150524,199-D5-43,573179.976,151269.43,2016,10
2016-11-01,118.54608749999974,199-D5-43,573179.976,151269.43,2016,11
2016-12-01,118.6432184986598,199-D5-43,573179.976,151269.43,2016,12
2017-01-01,118.73713709677473,199-D5-43,573179.976,151269.43,2017,1
2017-02-01,118.81593898809508,199-D5-43,573179.976,151269.43,2017,2
2017-03-01,118.8780053691281,199-D5-43,573179.976,151269.43,2017,3
2017-04-01,119.01292500000004,199-D5-43,573179.976,151269.43,2017,4
2017-05-01,119.25415570469772,199-D5-43,573179.976,151269.43,2017,5
2017-06-01,119.52443966712866,199-D5-43,573179.976,151269.43,2017,6
2017-07-01,119.5241812080537,199-D5-43,573179.976,151269.43,2017,7
2017-08-01,119.3163077956988,199-D5-43,573179.976,151269.43,2017,8
2017-09-01,119.09610540915412,199-D5-43,573179.976,151269.43,2017,9
2017-10-01,118.86349664429565,199-D5-43,573179.976,151269.43,2017,10
2017-11-01,118.65702773925126,199-D5-43,573179.976,151269.43,2017,11
2017-12-01,118.5211706989251,199-D5-43,573179.976,151269.43,2017,12
2018-01-01,118.5429663978493,199-D5-43,573179.976,151269.43,2018,1
2018-02-01,118.58327232142855,199-D5-43,573179.976,151269.43,2018,2
2018-03-01,118.67549261744992,199-D5-43,573179.976,151269.43,2018,3
2018-04-01,118.60977777777717,199-D5-43,573179.976,151269.43,2018,4
2018-05-01,118.76900403225794,199-D5-43,573179.976,151269.43,2018,5
2018-06-01,119.23099583333303,199-D5-43,573179.976,151269.43,2018,6
2018-07-01,119.25349127516789,199-D5-43,573179.976,151269.43,2018,7
2018-08-01,119.07128897849479,199-D5-43,573179.976,151269.43,2018,8
2018-09-01,118.85643472222219,199-D5-43,573179.976,151269.43,2018,9
2018-10-01,118.60429530201344,199-D5-43,573179.976,151269.43,2018,10
2018-11-01,118.42224133148488,199-D5-43,573179.976,151269.43,2018,11
2018-12-01,118.37998924731191,199-D5-43,573179.976,151269.43,2018,12
2019-01-01,118.3155967741939,199-D5-43,573179.976,151269.43,2019,1
2019-02-01,118.26692857142878,199-D5-43,573179.976,151269.43,2019,2
2019-03-01,118.20894235924924,199-D5-43,573179.976,151269.43,2019,3
2019-04-01,118.13226944444447,199-D5-43,573179.976,151269.43,2019,4
2019-05-01,118.1166182795702,199-D5-43,573179.976,151269.43,2019,5
2019-06-01,118.27304999999987,199-D5-43,573179.976,151269.43,2019,6
2019-07-01,118.28964777327944,199-D5-43,573179.976,151269.43,2019,7
2019-08-01,118.26384946236551,199-D5-43,573179.976,151269.43,2019,8
2019-09-01,118.20130416666663,199-D5-43,573179.976,151269.43,2019,9
2019-10-01,118.0533868808565,199-D5-43,573179.976,151269.43,2019,10
2019-11-01,117.9806555555549,199-D5-43,573179.976,151269.43,2019,11
2019-12-01,118.04839919354947,199-D5-43,573179.976,151269.43,2019,12
2020-01-01,118.05257661290297,199-D5-43,573179.976,151269.43,2020,1
2020-02-01,118.09588505747084,199-D5-43,573179.976,151269.43,2020,2
2020-03-01,118.15572617449608,199-D5-43,573179.976,151269.43,2020,3
2020-04-01,118.1419097222215,199-D5-43,573179.976,151269.43,2020,4
2020-05-01,118.19314784946228,199-D5-43,573179.976,151269.43,2020,5
2020-06-01,118.42777500000017,199-D5-43,573179.976,151269.43,2020,6
2020-07-01,118.69695295698907,199-D5-43,573179.976,151269.43,2020,7
2020-08-01,118.74145430107492,199-D5-43,573179.976,151269.43,2020,8
2020-09-01,118.6755249999999,199-D5-43,573179.976,151269.43,2020,9
