NAME,XCOORDS,YCOORDS,EVENT,VAL
199-D2-11,573328.16,151120.73,1,119.0034852150543
199-D2-11,573328.16,151120.73,2,118.87686924219872
199-D2-11,573328.16,151120.73,3,118.87667516778487
199-D2-11,573328.16,151120.73,4,118.56841652670383
199-D2-11,573328.16,151120.73,5,118.27320007744551
199-D2-11,573328.16,151120.73,6,118.33092270393544
199-D2-11,573328.16,151120.73,7,118.26830402734204
199-D2-11,573328.16,151120.73,8,118.20856813495449
199-D2-11,573328.16,151120.73,9,118.15221843719533
199-D2-11,573328.16,151120.73,10,118.042744154993
199-D2-11,573328.16,151120.73,11,117.95402188013193
199-D2-11,573328.16,151120.73,12,117.927826478494
199-D3-2,572453.955,151165.65300000002,1,117.79908333333312
199-D3-2,572453.955,151165.65300000002,2,117.83879791976206
199-D3-2,572453.955,151165.65300000002,3,117.63494630872478
199-D3-2,572453.955,151165.65300000002,4,117.38034305555539
199-D3-2,572453.955,151165.65300000002,5,118.4374879032258
199-D3-2,572453.955,151165.65300000002,6,118.31288349514546
199-D3-2,572453.955,151165.65300000002,7,118.06299999999999
199-D3-5,572787.66,150994.54,1,117.92668548387073
199-D3-5,572787.66,150994.54,2,117.93020356612178
199-D3-5,572787.66,150994.54,3,117.80095167785242
199-D3-5,572787.66,150994.54,4,117.57627916666655
199-D3-5,572787.66,150994.54,5,118.21967069892467
199-D3-5,572787.66,150994.54,6,118.41972954230222
199-D3-5,572787.66,150994.54,7,118.101
199-D4-15,572936.636,151424.862,1,117.7612123655915
199-D4-15,572936.636,151424.862,2,117.71006389301566
199-D4-15,572936.636,151424.862,3,117.6307020134228
199-D4-15,572936.636,151424.862,4,117.53585416666672
199-D4-15,572936.636,151424.862,5,117.58992876344087
199-D4-15,572936.636,151424.862,6,117.85186546463281
199-D4-15,572936.636,151424.862,7,117.704
199-D4-19,572559.3489999999,151282.03699999998,3,117.581
199-D4-19,572559.3489999999,151282.03699999998,4,117.27501459854011
199-D4-19,572559.3489999999,151282.03699999998,5,118.23954166666674
199-D4-19,572559.3489999999,151282.03699999998,6,118.23294861111093
199-D4-19,572559.3489999999,151282.03699999998,7,117.925
199-D4-20,572794.042,151257.47400000002,1,118.04426478494655
199-D4-20,572794.042,151257.47400000002,2,118.02728974740002
199-D4-20,572794.042,151257.47400000002,3,117.95591140939608
199-D4-20,572794.042,151257.47400000002,4,117.81020972222254
199-D4-20,572794.042,151257.47400000002,5,117.98111021505365
199-D4-20,572794.042,151257.47400000002,6,118.35648959778095
199-D4-20,572794.042,151257.47400000002,7,118.131
199-D4-21,572778.845,151569.801,1,117.13769999999987
199-D4-21,572778.845,151569.801,2,117.2190297176815
199-D4-21,572778.845,151569.801,3,117.07108870967771
199-D4-21,572778.845,151569.801,4,116.87546388888887
199-D4-21,572778.845,151569.801,5,117.4666411290321
199-D4-21,572778.845,151569.801,6,117.5175006934812
199-D4-21,572778.845,151569.801,7,117.669
199-D4-23,572672.455,151592.87,1,117.2879717741935
199-D4-23,572672.455,151592.87,2,117.3958751857355
199-D4-23,572672.455,151592.87,3,117.13898657718127
199-D4-23,572672.455,151592.87,4,116.9081208333333
199-D4-23,572672.455,151592.87,5,118.32655241935474
199-D4-23,572672.455,151592.87,6,117.77110402219144
199-D4-23,572672.455,151592.87,7,117.726
199-D4-86,572389.064,151202.144,1,117.794053763441
199-D4-86,572389.064,151202.144,2,117.83749034175338
199-D4-86,572389.064,151202.144,3,117.62371236559132
199-D4-86,572389.064,151202.144,4,117.36983194444446
199-D4-86,572389.064,151202.144,5,118.4891129032257
199-D4-86,572389.064,151202.144,6,118.29996809986139
199-D4-86,572389.064,151202.144,7,118.08200000000001
199-D5-106,573503.74,151597.97,1,118.6768346774194
199-D5-106,573503.74,151597.97,2,118.64171025260057
199-D5-106,573503.74,151597.97,3,118.60502550335569
199-D5-106,573503.74,151597.97,4,118.35678711770215
199-D5-106,573503.74,151597.97,5,118.03659255271432
