NAME,OU,VAL,UNITS,EVENT,TYPE
199-D4-84,DX,-2.9103046601483173,gpm,10,Extraction
199-D4-85,DX,-18.16189516180726,gpm,1,Extraction
199-D4-85,DX,-17.92943948497637,gpm,2,Extraction
199-D4-85,DX,-16.615188171354365,gpm,3,Extraction
199-D4-85,DX,-14.709675926310736,gpm,4,Extraction
199-D4-85,DX,-18.766308245581346,gpm,5,Extraction
199-D4-85,DX,-20.89069443832475,gpm,6,Extraction
199-D4-85,DX,-20.03326612634296,gpm,7,Extraction
199-D4-85,DX,-19.212365599506704,gpm,8,Extraction
199-D4-85,DX,-20.592106472926854,gpm,9,Extraction
199-D4-85,DX,-19.826254485266617,gpm,10,Extraction
199-D4-95,DX,-11.699305556464015,gpm,1,Extraction
199-D4-95,DX,-12.513343254782049,gpm,2,Extraction
199-D4-95,DX,-10.722177418466028,gpm,3,Extraction
199-D4-95,DX,-7.443032407312159,gpm,4,Extraction
199-D4-95,DX,-14.326232078207813,gpm,5,Extraction
199-D4-95,DX,-13.248333333252907,gpm,6,Extraction
199-D4-95,DX,-11.467853942568297,gpm,7,Extraction
199-D4-95,DX,-11.421706988897213,gpm,8,Extraction
199-D4-95,DX,-8.90828703623601,gpm,9,Extraction
199-D4-95,DX,-6.5981854837839045,gpm,10,Extraction
199-D4-96,DX,-5.523991935316137,gpm,1,Extraction
199-D4-96,DX,-0.9891121031896465,gpm,2,Extraction
199-D4-96,DX,-0.26756272394867264,gpm,3,Extraction
199-D4-96,DX,-4.629633562857965e-05,gpm,4,Extraction
199-D4-96,DX,-7.183915771491312,gpm,5,Extraction
199-D4-96,DX,-9.223379629416826,gpm,6,Extraction
199-D4-96,DX,-6.9779569899641745,gpm,7,Extraction
199-D4-96,DX,-7.7582213260620945,gpm,8,Extraction
199-D4-96,DX,-2.9726851845658486,gpm,9,Extraction
199-D4-96,DX,-0.12345430104790478,gpm,10,Extraction
199-D4-97,DX,-12.952464156905814,gpm,1,Extraction
199-D4-97,DX,-13.356894841838546,gpm,2,Extraction
199-D4-97,DX,-11.155913978660324,gpm,3,Extraction
199-D4-97,DX,-10.17504629630481,gpm,4,Extraction
199-D4-97,DX,-10.963306450824838,gpm,5,Extraction
199-D4-97,DX,-7.112777778430576,gpm,6,Extraction
199-D4-97,DX,-12.301052867216063,gpm,7,Extraction
199-D4-97,DX,-12.565636200603699,gpm,8,Extraction
199-D4-97,DX,-13.594513888015214,gpm,9,Extraction
199-D4-97,DX,-13.126366487251483,gpm,10,Extraction
199-D4-98,DX,-13.252038529740046,gpm,1,Extraction
199-D4-98,DX,-13.104216269724596,gpm,2,Extraction
199-D4-98,DX,-10.85152329801768,gpm,3,Extraction
199-D4-98,DX,-10.472523148546902,gpm,4,Extraction
199-D4-98,DX,-11.33935931893028,gpm,5,Extraction
199-D4-98,DX,-14.148750000078373,gpm,6,Extraction
199-D4-98,DX,-13.619399642000307,gpm,7,Extraction
199-D4-98,DX,-13.056518816897094,gpm,8,Extraction
199-D4-98,DX,-14.076851851936974,gpm,9,Extraction
199-D4-98,DX,-13.600425627432877,gpm,10,Extraction
199-D4-99,DX,-17.14684139793208,gpm,1,Extraction
199-D4-99,DX,-16.3349206350175,gpm,2,Extraction
199-D4-99,DX,-15.06796595000391,gpm,3,Extraction
199-D4-99,DX,-16.00590277713129,gpm,4,Extraction
199-D4-99,DX,-17.220519713476964,gpm,5,Extraction
199-D4-99,DX,-20.22331017994915,gpm,6,Extraction
199-D4-99,DX,-19.3876568180867,gpm,7,Extraction
199-D4-99,DX,-18.563082428503957,gpm,8,Extraction
199-D4-99,DX,-19.885069439133854,gpm,9,Extraction
199-D4-99,DX,-19.208131728699783,gpm,10,Extraction
199-D5-101,DX,-19.969892480116094,gpm,1,Extraction
199-D5-101,DX,-19.57728173704843,gpm,2,Extraction
199-D5-101,DX,-18.20154569910033,gpm,3,Extraction
199-D5-101,DX,-16.758356481136445,gpm,4,Extraction
199-D5-101,DX,-21.453315417192965,gpm,5,Extraction
199-D5-101,DX,-25.746111102905342,gpm,6,Extraction
199-D5-101,DX,-23.546953413973828,gpm,7,Extraction
199-D5-101,DX,-23.536312728812376,gpm,8,Extraction
199-D5-101,DX,-17.048657407776957,gpm,9,Extraction
199-D5-101,DX,-13.021438171757962,gpm,10,Extraction
199-D5-103,DX,-10.463328853069841,gpm,1,Extraction
199-D5-103,DX,-8.78752480195164,gpm,2,Extraction
199-D5-103,DX,-7.6722670251360015,gpm,3,Extraction
199-D5-103,DX,-2.5981712966146238,gpm,4,Extraction
199-D5-103,DX,-0.03662634406921486,gpm,5,Extraction
199-D5-103,DX,-0.026898148068603005,gpm,6,Extraction
199-D5-103,DX,-0.04545250900356061,gpm,7,Extraction
199-D5-103,DX,-0.023275089643750926,gpm,8,Extraction
199-D5-103,DX,-0.5401620370392386,gpm,9,Extraction
199-D5-103,DX,-0.2428763440970997,gpm,10,Extraction
199-D5-104,DX,-15.543458781265903,gpm,1,Extraction
199-D5-104,DX,-15.067633927928243,gpm,2,Extraction
199-D5-104,DX,-12.67609766944593,gpm,3,Extraction
199-D5-104,DX,-4.220555555842036,gpm,4,Extraction
199-D5-104,DX,-0.09439964166715402,gpm,5,Extraction
199-D5-104,DX,-0.07849537037315886,gpm,6,Extraction
199-D5-104,DX,-0.1169354837971132,gpm,7,Extraction
199-D5-104,DX,-0.03814964157616142,gpm,8,Extraction
199-D5-104,DX,-0.036759259302113836,gpm,9,Extraction
199-D5-104,DX,-0.07683691749099988,gpm,10,Extraction
199-D5-108,DX,10.594063620855822,gpm,1,Injection
199-D5-108,DX,13.11733630866195,gpm,2,Injection
199-D5-108,DX,13.608243727775818,gpm,3,Injection
199-D5-108,DX,12.921203703815832,gpm,4,Injection
199-D5-108,DX,14.659677419331926,gpm,5,Injection
199-D5-108,DX,20.223101850933418,gpm,6,Injection
199-D5-108,DX,18.33720878181039,gpm,7,Injection
199-D5-108,DX,18.49943996886854,gpm,8,Injection
199-D5-108,DX,15.540462963789528,gpm,9,Injection
199-D5-108,DX,16.09036738433621,gpm,10,Injection
199-D5-111,DX,17.414852150893793,gpm,1,Injection
199-D5-111,DX,21.74099702106397,gpm,2,Injection
199-D5-111,DX,20.957459668452987,gpm,3,Injection
199-D5-111,DX,23.951689819352268,gpm,4,Injection
199-D5-111,DX,28.97240143205162,gpm,5,Injection
199-D5-111,DX,24.011064817970503,gpm,6,Injection
199-D5-111,DX,25.387208787099706,gpm,7,Injection
199-D5-111,DX,26.01841398578416,gpm,8,Injection
199-D5-111,DX,24.415694435465827,gpm,9,Injection
199-D5-111,DX,22.17773297239546,gpm,10,Injection
199-D5-127,DX,-17.077441756040376,gpm,1,Extraction
199-D5-127,DX,-17.324429563154876,gpm,2,Extraction
199-D5-127,DX,-13.576366487979422,gpm,3,Extraction
199-D5-127,DX,-12.779953703240816,gpm,4,Extraction
199-D5-127,DX,-13.687499999515685,gpm,5,Extraction
199-D5-127,DX,-13.045023148060825,gpm,6,Extraction
199-D5-127,DX,-19.65539875213628,gpm,7,Extraction
199-D5-127,DX,-19.067921146086277,gpm,8,Extraction
199-D5-127,DX,-13.79016203617334,gpm,9,Extraction
199-D5-127,DX,-9.69446684501636,gpm,10,Extraction
199-D5-128,DX,50.86978047467644,gpm,1,Injection
199-D5-128,DX,56.38189484926765,gpm,2,Injection
199-D5-128,DX,61.637029567495944,gpm,3,Injection
199-D5-128,DX,17.849166666337332,gpm,4,Injection
199-D5-128,DX,0.0,gpm,5,Injection
199-D5-128,DX,0.0,gpm,6,Injection
199-D5-128,DX,0.020855734844525027,gpm,7,Injection
199-D5-128,DX,0.0,gpm,8,Injection
199-D5-128,DX,0.0,gpm,9,Injection
199-D5-128,DX,0.0,gpm,10,Injection
199-D5-129,DX,78.76590500939805,gpm,1,Injection
199-D5-129,DX,81.62048610840262,gpm,2,Injection
199-D5-129,DX,91.03745519867712,gpm,3,Injection
