Head,Time,Layer,Row,Column,NAME
115.98164176195476,31.0,1,186,567,199-H3-25
115.8710319486044,59.0,1,186,567,199-H3-25
115.9840357902768,90.0,1,186,567,199-H3-25
116.23464781122902,120.0,1,186,567,199-H3-25
116.6633401925554,151.0,1,186,567,199-H3-25
116.8792221009579,181.0,1,186,567,199-H3-25
116.86903775123493,212.0,1,186,567,199-H3-25
116.63501327900589,243.0,1,186,567,199-H3-25
116.22932787425162,273.0,1,186,567,199-H3-25
116.01097646661849,304.0,1,186,567,199-H3-25
115.86320961408565,334.0,1,186,567,199-H3-25
116.03695972429483,365.0,1,186,567,199-H3-25
115.7779812073595,396.0,1,186,567,199-H3-25
115.85301126093441,424.0,1,186,567,199-H3-25
115.83386403387075,455.0,1,186,567,199-H3-25
115.72116088096824,485.0,1,186,567,199-H3-25
115.78271746356774,516.0,1,186,567,199-H3-25
115.74844137769475,546.0,1,186,567,199-H3-25
115.11861137897195,577.0,1,186,567,199-H3-25
114.9397427782265,608.0,1,186,567,199-H3-25
114.76487948222801,638.0,1,186,567,199-H3-25
114.64482417524603,669.0,1,186,567,199-H3-25
114.67832571320868,699.0,1,186,567,199-H3-25
114.71712251226063,730.0,1,186,567,199-H3-25
114.7691292135963,761.0,1,186,567,199-H3-25
114.80431010313039,790.0,1,186,567,199-H3-25
114.92601927006581,821.0,1,186,567,199-H3-25
115.22149266874409,851.0,1,186,567,199-H3-25
115.21644996680853,882.0,1,186,567,199-H3-25
115.16914632545316,912.0,1,186,567,199-H3-25
115.03879154233002,943.0,1,186,567,199-H3-25
114.94037044360826,974.0,1,186,567,199-H3-25
114.76972729519218,1004.0,1,186,567,199-H3-25
114.66541502000976,1035.0,1,186,567,199-H3-25
114.72154199147818,1065.0,1,186,567,199-H3-25
114.8720455223408,1096.0,1,186,567,199-H3-25
114.98788439650286,1127.0,1,186,567,199-H3-25
115.01145386664327,1155.0,1,186,567,199-H3-25
115.13072692904969,1186.0,1,186,567,199-H3-25
115.52000458816526,1216.0,1,186,567,199-H3-25
115.87233656114134,1247.0,1,186,567,199-H3-25
115.94919535052604,1277.0,1,186,567,199-H3-25
115.49507294637489,1308.0,1,186,567,199-H3-25
115.49037906833486,1339.0,1,186,567,199-H3-25
114.97907538558884,1369.0,1,186,567,199-H3-25
114.70956158883924,1400.0,1,186,567,199-H3-25
114.62216200346388,1430.0,1,186,567,199-H3-25
114.6512053083693,1461.0,1,186,567,199-H3-25
114.82275187837827,1492.0,1,186,567,199-H3-25
115.07106516814795,1520.0,1,186,567,199-H3-25
115.07274237390196,1551.0,1,186,567,199-H3-25
115.12830374430357,1581.0,1,186,567,199-H3-25
116.15953120385727,1612.0,1,186,567,199-H3-25
116.0798258344483,1642.0,1,186,567,199-H3-25
