TITLE = ""
VARIABLES ="simulation time, " "Aqueous Volumetric Flux Rate (1)" "Aqueous Volumetric Flux Integral (1)" "Conservation Component Species Flux (total_cr6) Rate (2)" "Conservation Component Species Flux (total_cr6) Integral (2)"
ZONE T="Reference Node Variables" F=POINT
2.014052E+03 8.615678E+03 4.500294E+02 7.168804E-03 1.799672E-04
2.014055E+03 8.615677E+03 4.736178E+02 7.588638E-03 2.009090E-04
2.014058E+03 8.615676E+03 4.972062E+02 8.006881E-03 2.230041E-04
2.014060E+03 8.615676E+03 5.207947E+02 8.423499E-03 2.462482E-04
2.014063E+03 8.615675E+03 5.443831E+02 8.838473E-03 2.706366E-04
2.014066E+03 8.615674E+03 5.679715E+02 9.251790E-03 2.961649E-04
2.014069E+03 8.615674E+03 5.915600E+02 9.663444E-03 3.228284E-04
2.014071E+03 8.615673E+03 6.151484E+02 1.007344E-02 3.506226E-04
2.014074E+03 8.615673E+03 6.387368E+02 1.048176E-02 3.795430E-04
2.014077E+03 8.615673E+03 6.623252E+02 1.088844E-02 4.095848E-04
2.014080E+03 8.615672E+03 6.859137E+02 1.129345E-02 4.407436E-04
2.014082E+03 8.615672E+03 7.095021E+02 1.169682E-02 4.730149E-04
2.014085E+03 8.615671E+03 7.317441E+02 1.208632E-02 5.044573E-04
2.014088E+03 8.665546E+03 7.554691E+02 1.773909E-02 5.534588E-04
2.014090E+03 8.712360E+03 7.793222E+02 2.323755E-02 6.177832E-04
2.014093E+03 8.667513E+03 8.030526E+02 2.146865E-02 6.774944E-04
2.014096E+03 8.681324E+03 8.268208E+02 2.372864E-02 7.435940E-04
2.014099E+03 8.636260E+03 8.504655E+02 2.492913E-02 8.131550E-04
2.014101E+03 8.631828E+03 8.740982E+02 2.579975E-02 8.852560E-04
2.014104E+03 8.647216E+03 8.977730E+02 2.651613E-02 9.594626E-04
2.014107E+03 8.670396E+03 9.215112E+02 2.711308E-02 1.035439E-03
2.014110E+03 8.698070E+03 9.453253E+02 2.763212E-02 1.112966E-03
2.014112E+03 8.728743E+03 9.692233E+02 2.809878E-02 1.191897E-03
2.014115E+03 8.761578E+03 9.932112E+02 2.852837E-02 1.272141E-03
2.014118E+03 8.796049E+03 1.017293E+03 2.893040E-02 1.353660E-03
2.014121E+03 8.831804E+03 1.041474E+03 2.931106E-02 1.436392E-03
2.014123E+03 8.868589E+03 1.065754E+03 2.967467E-02 1.520283E-03
2.014126E+03 8.906217E+03 1.090138E+03 3.002444E-02 1.605296E-03
2.014129E+03 8.944546E+03 1.114627E+03 3.036289E-02 1.691394E-03
2.014131E+03 8.983464E+03 1.139223E+03 3.069209E-02 1.778551E-03
2.014134E+03 9.022882E+03 1.163926E+03 3.101380E-02 1.866744E-03
2.014137E+03 9.062730E+03 1.188738E+03 3.132949E-02 1.955954E-03
2.014140E+03 9.102948E+03 1.213661E+03 3.164047E-02 2.046165E-03
2.014142E+03 9.143488E+03 1.238694E+03 3.194783E-02 2.137367E-03
2.014145E+03 9.184309E+03 1.263840E+03 3.225251E-02 2.229550E-03
2.014148E+03 9.225377E+03 1.289097E+03 3.255532E-02 2.322706E-03
2.014151E+03 9.266662E+03 1.314468E+03 3.285691E-02 2.416833E-03
2.014153E+03 9.308140E+03 1.339952E+03 3.315785E-02 2.511925E-03
2.014156E+03 9.273168E+03 1.365341E+03 3.093309E-02 2.601079E-03
2.014159E+03 9.264613E+03 1.390706E+03 3.025263E-02 2.688526E-03
2.014162E+03 9.280209E+03 1.416114E+03 3.058876E-02 2.777050E-03
2.014162E+03 9.280735E+03 1.416601E+03 3.061622E-02 2.778750E-03
2.014164E+03 9.121129E+03 1.441573E+03 2.953858E-02 2.862747E-03
2.014167E+03 9.019563E+03 1.466268E+03 2.835947E-02 2.942673E-03
2.014170E+03 8.818837E+03 1.490412E+03 2.611663E-02 3.015826E-03
2.014173E+03 8.619020E+03 1.514010E+03 2.498156E-02 3.085325E-03
2.014175E+03 8.420023E+03 1.537063E+03 2.459750E-02 3.153418E-03
2.014178E+03 8.221633E+03 1.559572E+03 2.476397E-02 3.221764E-03
2.014181E+03 8.024429E+03 1.581542E+03 2.533201E-02 3.291480E-03
2.014184E+03 7.828551E+03 1.602975E+03 2.620999E-02 3.363431E-03
2.014186E+03 7.634342E+03 1.623877E+03 2.735003E-02 3.438346E-03
2.014189E+03 7.442290E+03 1.644253E+03 2.873843E-02 3.517027E-03
2.014192E+03 7.253506E+03 1.664112E+03 3.039915E-02 3.600256E-03
2.014194E+03 7.069950E+03 1.683468E+03 3.255197E-02 3.689378E-03
2.014197E+03 6.896309E+03 1.702349E+03 3.577788E-02 3.787332E-03
2.014200E+03 6.758460E+03 1.720853E+03 4.161636E-02 3.901272E-03
2.014203E+03 6.641409E+03 1.739036E+03 4.962108E-02 4.037127E-03
2.014205E+03 6.483229E+03 1.756786E+03 4.892693E-02 4.171082E-03
2.014208E+03 6.270154E+03 1.773953E+03 3.705909E-02 4.272544E-03
2.014211E+03 6.057041E+03 1.790536E+03 2.864058E-02 4.350957E-03
2.014214E+03 5.843973E+03 1.806536E+03 2.269045E-02 4.413081E-03
2.014216E+03 5.630946E+03 1.821953E+03 1.852565E-02 4.463801E-03
2.014219E+03 5.417965E+03 1.836787E+03 1.565870E-02 4.506672E-03
2.014222E+03 5.205039E+03 1.851037E+03 1.376005E-02 4.544345E-03
2.014225E+03 4.992152E+03 1.864705E+03 1.260348E-02 4.578852E-03
2.014227E+03 4.779351E+03 1.877790E+03 1.204988E-02 4.611842E-03
2.014230E+03 4.566685E+03 1.890293E+03 1.202917E-02 4.644776E-03
2.014233E+03 4.354222E+03 1.902214E+03 1.254861E-02 4.679133E-03
2.014236E+03 4.142097E+03 1.913555E+03 1.374935E-02 4.716776E-03
2.014238E+03 3.930745E+03 1.924317E+03 1.618742E-02 4.761095E-03
2.014239E+03 3.889052E+03 1.926446E+03 1.720435E-02 4.770516E-03
2.014240E+03 3.837444E+03 1.929073E+03 1.854788E-02 4.783211E-03
2.014240E+03 3.771702E+03 1.932300E+03 2.117430E-02 4.801327E-03
2.014241E+03 3.690951E+03 1.936247E+03 2.960111E-02 4.832985E-03
2.014243E+03 3.587674E+03 1.941043E+03 2.863683E-02 4.871268E-03
2.014244E+03 3.457421E+03 1.946821E+03 2.738646E-02 4.917032E-03
2.014247E+03 3.294550E+03 1.953702E+03 2.587672E-02 4.971084E-03
2.014247E+03 3.293144E+03 1.953761E+03 2.620249E-02 4.971552E-03
2.014249E+03 3.302075E+03 1.960659E+03 2.619244E-02 5.026264E-03
2.014251E+03 3.309984E+03 1.969301E+03 2.626697E-02 5.094847E-03
2.014254E+03 3.317893E+03 1.978385E+03 2.642268E-02 5.167188E-03
2.014257E+03 3.325684E+03 1.987490E+03 2.664680E-02 5.240143E-03
2.014259E+03 3.333427E+03 1.996617E+03 2.692126E-02 5.313850E-03
2.014262E+03 3.341152E+03 2.005764E+03 2.724736E-02 5.388449E-03
2.014265E+03 3.348874E+03 2.014933E+03 2.763465E-02 5.464109E-03
2.014268E+03 3.356605E+03 2.024123E+03 2.809456E-02 5.541027E-03
2.014270E+03 3.364353E+03 2.033334E+03 2.864157E-02 5.619444E-03
2.014273E+03 3.372128E+03 2.042566E+03 2.929463E-02 5.699648E-03
2.014276E+03 3.379941E+03 2.051820E+03 3.007922E-02 5.782000E-03
2.014279E+03 3.387806E+03 2.061095E+03 3.103076E-02 5.866958E-03
2.014281E+03 3.395739E+03 2.070392E+03 3.220064E-02 5.955119E-03
2.014284E+03 3.403768E+03 2.079711E+03 3.366823E-02 6.047297E-03
2.014287E+03 3.411939E+03 2.089053E+03 3.556757E-02 6.144676E-03
2.014290E+03 3.420346E+03 2.098417E+03 3.816038E-02 6.249153E-03
2.014292E+03 3.429308E+03 2.107806E+03 4.212488E-02 6.364485E-03
2.014295E+03 3.439530E+03 2.117223E+03 5.086525E-02 6.503746E-03
2.014298E+03 3.449547E+03 2.126667E+03 6.187530E-02 6.673152E-03
2.014301E+03 3.457384E+03 2.136133E+03 6.214391E-02 6.843292E-03
2.014303E+03 3.465026E+03 2.145620E+03 6.236837E-02 7.014048E-03
2.014306E+03 3.472657E+03 2.155128E+03 6.260739E-02 7.185457E-03
2.014309E+03 3.480286E+03 2.164656E+03 6.286844E-02 7.357582E-03
2.014312E+03 3.487921E+03 2.174206E+03 6.315860E-02 7.530501E-03
2.014314E+03 3.495566E+03 2.183776E+03 6.348540E-02 7.704314E-03
2.014317E+03 3.503222E+03 2.193367E+03 6.385734E-02 7.879146E-03
2.014320E+03 3.510894E+03 2.202979E+03 6.428459E-02 8.055148E-03
2.014322E+03 3.518584E+03 2.212613E+03 6.477959E-02 8.232505E-03
2.014325E+03 3.526297E+03 2.222267E+03 6.535788E-02 8.411445E-03
2.014328E+03 3.534038E+03 2.231943E+03 6.603924E-02 8.592250E-03
2.014329E+03 3.536389E+03 2.234886E+03 6.690465E-02 8.647923E-03
2.014332E+03 3.461906E+03 2.244364E+03 6.373506E-02 8.822421E-03
2.014334E+03 3.392205E+03 2.253651E+03 6.333749E-02 8.995829E-03
2.014337E+03 3.323438E+03 2.262750E+03 6.404985E-02 9.171188E-03
2.014340E+03 3.255529E+03 2.271663E+03 6.671588E-02 9.353846E-03
2.014342E+03 3.190116E+03 2.280397E+03 7.854184E-02 9.568882E-03
2.014345E+03 3.124409E+03 2.288952E+03 8.657509E-02 9.805912E-03
2.014348E+03 3.055221E+03 2.297316E+03 8.394786E-02 1.003575E-02
2.014351E+03 2.985851E+03 2.305491E+03 8.124767E-02 1.025819E-02
2.014353E+03 2.916496E+03 2.313476E+03 7.862471E-02 1.047346E-02
2.014356E+03 2.847181E+03 2.321271E+03 7.611519E-02 1.068185E-02
2.014359E+03 2.777920E+03 2.328877E+03 7.375447E-02 1.088378E-02
2.014362E+03 2.708732E+03 2.336293E+03 7.159251E-02 1.107979E-02
2.014364E+03 2.639656E+03 2.343520E+03 6.971604E-02 1.127066E-02
2.014367E+03 2.570756E+03 2.350558E+03 6.827837E-02 1.145759E-02
2.014370E+03 2.502153E+03 2.357409E+03 6.759439E-02 1.164266E-02
2.014373E+03 2.434173E+03 2.364073E+03 6.857699E-02 1.183041E-02
2.014375E+03 2.368649E+03 2.370558E+03 8.195520E-02 1.205479E-02
2.014378E+03 2.302031E+03 2.376861E+03 8.145116E-02 1.227779E-02
2.014381E+03 2.232681E+03 2.382974E+03 7.772321E-02 1.249059E-02
2.014384E+03 2.163201E+03 2.388896E+03 7.385615E-02 1.269280E-02
2.014386E+03 2.093701E+03 2.394628E+03 6.998216E-02 1.288440E-02
2.014389E+03 2.024204E+03 2.400170E+03 6.613125E-02 1.306545E-02
2.014392E+03 1.954730E+03 2.405522E+03 6.232750E-02 1.323610E-02
2.014394E+03 1.885300E+03 2.410684E+03 5.859793E-02 1.339653E-02
2.014397E+03 1.815940E+03 2.415655E+03 5.497660E-02 1.354705E-02
2.014400E+03 1.746689E+03 2.420438E+03 5.151136E-02 1.368808E-02
2.014403E+03 1.677611E+03 2.425031E+03 4.827939E-02 1.382026E-02
2.014405E+03 1.608840E+03 2.429435E+03 4.543960E-02 1.394467E-02
2.014408E+03 1.541123E+03 2.433655E+03 4.386129E-02 1.406475E-02
2.014411E+03 1.474070E+03 2.437691E+03 4.310888E-02 1.418278E-02
2.014414E+03 1.404747E+03 2.441537E+03 3.979272E-02 1.429172E-02
2.014414E+03 1.403255E+03 2.441618E+03 4.019109E-02 1.429406E-02
2.014416E+03 1.505837E+03 2.445741E+03 5.452059E-02 1.444333E-02
2.014419E+03 1.600939E+03 2.450124E+03 6.124350E-02 1.461101E-02
2.014422E+03 1.694802E+03 2.454764E+03 6.664416E-02 1.479347E-02
2.014425E+03 1.788259E+03 2.459660E+03 7.164508E-02 1.498962E-02
2.014427E+03 1.881521E+03 2.464812E+03 7.647575E-02 1.519900E-02
2.014430E+03 1.974666E+03 2.470218E+03 8.121901E-02 1.542137E-02
2.014433E+03 2.067735E+03 2.475879E+03 8.591536E-02 1.565659E-02
2.014436E+03 2.160752E+03 2.481795E+03 9.058776E-02 1.590460E-02
