SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H4-4,2018-07-10,10.0
199-H4-4,2018-08-13,5.0
199-H4-4,2018-09-05,0.0
199-H4-4,2019-05-20,3.0
199-H4-4,2019-05-22,3.44
199-H4-4,2019-06-12,3.0
199-H4-4,2019-08-26,2.0
199-H4-4,2019-12-10,3.36
199-H4-4,2020-02-19,7.0
199-H4-4,2020-02-24,2.51
199-H4-4,2020-07-23,11.0
199-H4-4,2021-01-20,0.0
199-H4-4,2021-02-08,2.13
199-H4-4,2021-02-09,7.0
199-H4-5,2014-03-19,7.5
199-H4-5,2014-06-20,8.0
199-H4-5,2014-09-05,8.0
199-H4-5,2019-12-03,3.69
199-H4-5,2020-12-07,1.33
199-H4-8,2019-05-01,2.18
199-H4-8,2020-06-16,2.25
199-H4-8,2021-06-08,4.6
199-H4-12A,2014-02-21,22.5
199-H4-12A,2014-05-05,8.0
199-H4-12A,2014-08-01,8.0
199-H4-12A,2014-11-05,14.4
199-H4-12A,2019-05-13,3.15
199-H4-12A,2019-11-12,3.31
199-H4-12A,2020-02-20,2.14
199-H4-12A,2020-11-11,5.96
199-H4-12A,2021-02-04,2.44
199-H4-12A,2021-05-13,2.18
199-H4-15A,2014-01-02,24.0
199-H4-15A,2014-01-29,19.4
199-H4-15A,2014-02-03,20.0
199-H4-15A,2014-03-03,24.0
199-H4-15A,2014-04-01,13.0
199-H4-15A,2014-05-12,6.0
199-H4-15A,2014-06-04,3.0
199-H4-15A,2014-06-05,8.0
199-H4-15A,2014-07-02,6.0
199-H4-15A,2014-08-05,13.0
199-H4-15A,2014-09-04,14.0
199-H4-15A,2014-10-02,14.0
199-H4-15A,2014-11-04,17.0
199-H4-15A,2014-12-02,18.0
199-H4-15A,2015-01-06,11.0
199-H4-15A,2015-02-04,18.0
199-H4-15A,2015-03-04,13.0
199-H4-15A,2015-04-02,11.0
199-H4-15A,2015-05-04,7.0
199-H4-15A,2015-06-04,0.0
199-H4-15A,2015-07-06,17.0
199-H4-15A,2015-08-03,4.0
199-H4-15A,2015-09-08,14.0
199-H4-15A,2015-10-05,14.0
199-H4-15A,2015-11-02,6.0
199-H4-15A,2015-12-01,6.0
199-H4-15A,2016-01-04,5.0
199-H4-15A,2016-02-01,6.0
199-H4-15A,2016-03-01,6.0
199-H4-15A,2016-04-05,11.0
199-H4-15A,2016-05-02,3.0
199-H4-15A,2016-06-13,4.0
199-H4-15A,2016-07-11,4.0
199-H4-15A,2016-08-01,1.0
199-H4-15A,2016-09-06,5.0
199-H4-15A,2016-10-03,2.0
199-H4-15A,2016-11-01,5.0
199-H4-15A,2016-12-07,3.0
199-H4-15A,2017-01-04,9.0
199-H4-15A,2017-02-01,0.0
199-H4-15A,2017-03-01,0.0
199-H4-15A,2017-04-04,8.0
199-H4-15A,2017-05-01,1.0
199-H4-15A,2017-06-07,0.0
199-H4-15A,2017-07-06,4.0
199-H4-15A,2017-08-01,3.0
199-H4-15A,2017-09-06,4.0
199-H4-15A,2017-10-03,4.0
199-H4-15A,2017-11-02,4.0
199-H4-15A,2017-12-04,2.0
199-H4-15A,2018-01-03,1.0
199-H4-15A,2018-02-01,11.0
199-H4-15A,2018-03-06,4.0
199-H4-15A,2018-04-04,3.0
199-H4-15A,2018-05-07,1.0
199-H4-15A,2018-06-06,3.0
199-H4-15A,2018-07-10,5.0
199-H4-15A,2018-08-13,3.0
199-H4-15A,2018-09-05,1.0
199-H4-15A,2018-10-01,2.0
199-H4-15A,2018-11-06,4.0
199-H4-15A,2018-12-12,7.0
199-H4-15A,2019-01-02,3.0
199-H4-15A,2019-02-27,-4.0
199-H4-15A,2019-03-11,2.0
199-H4-15A,2019-04-17,3.0
199-H4-15A,2019-05-20,2.0
199-H4-15A,2019-05-22,3.99
199-H4-15A,2019-06-12,2.0
199-H4-15A,2019-07-11,3.0
199-H4-15A,2019-08-20,3.45
199-H4-15A,2019-08-26,3.0
199-H4-15A,2019-10-10,3.0
199-H4-15A,2019-10-30,3.44
