,NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,tte
139,199-H4-4,2017-05-01,0.75,1247
140,199-H4-4,2017-06-01,0.0,1277
141,199-H4-4,2017-07-01,3.0,1308
142,199-H4-4,2017-08-01,2.0,1339
143,199-H4-4,2017-09-01,5.0,1369
144,199-H4-4,2018-02-01,3.375,1520
145,199-H4-4,2018-03-01,6.0,1551
146,199-H4-4,2018-04-01,3.0,1581
147,199-H4-4,2018-05-01,1.25,1612
148,199-H4-4,2018-06-01,0.0,1642
149,199-H4-4,2018-07-01,10.0,1673
150,199-H4-4,2018-08-01,3.25,1704
151,199-H4-4,2018-09-01,0.0,1734
152,199-H4-4,2019-05-01,3.22,1977
153,199-H4-4,2019-06-01,3.0,2007
154,199-H4-4,2019-08-01,2.0,2069
155,199-H4-4,2019-12-01,3.36,2191
156,199-H4-4,2020-02-01,4.755,2251
157,199-H4-4,2020-07-01,11.0,2404
158,199-H4-4,2020-08-01,1.9,2435
159,199-H4-5,2014-03-01,7.5,90
160,199-H4-5,2014-06-01,8.0,181
161,199-H4-5,2014-09-01,8.0,273
162,199-H4-5,2014-12-01,2.3,365
163,199-H4-5,2015-02-01,3.3,424
164,199-H4-5,2015-06-01,1.6,546
165,199-H4-5,2015-08-01,2.1500000000000004,608
166,199-H4-5,2015-12-01,4.35,730
167,199-H4-5,2016-03-01,3.2,821
168,199-H4-5,2016-06-01,3.25,912
169,199-H4-5,2016-12-01,3.85,1096
170,199-H4-5,2017-12-01,2.2,1461
171,199-H4-5,2018-12-01,1.7999999999999998,1826
172,199-H4-5,2019-12-01,3.69,2191
173,199-H4-5,2020-12-01,1.33,2557
174,199-H4-8,2014-03-01,8.0,90
175,199-H4-8,2014-11-01,3.1,334
176,199-H4-8,2015-12-01,3.45,730
177,199-H4-8,2016-11-01,3.75,1065
178,199-H4-8,2017-05-01,1.85,1247
179,199-H4-8,2017-11-01,1.5,1430
180,199-H4-8,2018-11-01,1.5,1795
181,199-H4-8,2019-05-01,2.18,1977
182,199-H4-8,2020-06-01,2.25,2373
183,199-H4-12A,2014-02-01,22.5,59
184,199-H4-12A,2014-05-01,8.0,151
185,199-H4-12A,2014-08-01,8.0,243
186,199-H4-12A,2014-11-01,14.4,334
