D5-41-L3,573358.16,151792.191,3
D5-41-L4,573358.16,151792.191,4
D5-41-L5,573358.16,151792.191,5
D5-41-L6,573358.16,151792.191,6
D5-43-L1,573179.976,151269.43,1
D5-43-L2,573179.976,151269.43,2
D5-43-L3,573179.976,151269.43,3
D5-43-L4,573179.976,151269.43,4
D5-43-L5,573179.976,151269.43,5
D5-43-L6,573179.976,151269.43,6
D5-44-L1,572993.581,151835.736,1
D5-44-L2,572993.581,151835.736,2
D5-44-L3,572993.581,151835.736,3
D5-44-L4,572993.581,151835.736,4
D5-44-L5,572993.581,151835.736,5
D5-44-L6,572993.581,151835.736,6
C6272-L1,572920.42,151926.86,1
C6272-L2,572920.42,151926.86,2
C6272-L3,572920.42,151926.86,3
C6272-L4,572920.42,151926.86,4
C6272-L5,572920.42,151926.86,5
C6272-L6,572920.42,151926.86,6
