sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08493,0.08492999999998574,0.0,0.0
2,2014.084932,2014.161642,0.07671000000004824,0.0,0.0
3,2014.161644,2014.246459,0.08481499999993503,0.0,0.0
4,2014.246461,2014.328651,0.08219000000008236,0.0,0.0
5,2014.328653,2014.413583,0.08492999999998574,0.0,0.0
6,2014.413584,2014.495774,0.08219000000008236,0.0,0.0
7,2014.495776,2014.580706,0.08492999999998574,0.0,0.0
8,2014.580708,2014.665637,0.08492900000010195,0.0,0.0
9,2014.665639,2014.747829,0.08218999999985499,0.0,0.0
10,2014.747831,2014.832761,0.08492999999998574,0.0,0.0
11,2014.832763,2014.915067,0.08230399999979454,0.0,0.0
12,2014.915068,2014.999998,0.08492999999998574,0.0,0.0
13,2015.0,2015.08493,0.08492999999998574,0.0,0.0
14,2015.084932,2015.161642,0.07671000000004824,0.0,0.0
15,2015.161644,2015.246459,0.08481499999993503,0.0,0.0
16,2015.246461,2015.328651,0.08219000000008236,0.0,0.0
17,2015.328653,2015.413583,0.08492999999998574,0.0,0.0
18,2015.413584,2015.495774,0.08219000000008236,0.0,0.0
19,2015.495776,2015.580706,0.08492999999998574,0.0,0.0
20,2015.580708,2015.665637,0.08492900000010195,0.0,0.0
21,2015.665639,2015.747829,0.08218999999985499,0.0,0.0
22,2015.747831,2015.832761,0.08492999999998574,0.0,0.0
23,2015.832763,2015.915067,0.08230399999979454,0.0,0.0
24,2015.915068,2015.999998,0.08492999999998574,0.0,0.0
25,2016.0,2016.084698,0.08469799999988936,0.0,0.0
26,2016.084699,2016.163933,0.07923400000004222,0.0,0.0
27,2016.163934,2016.248518,0.08458400000017718,0.0,0.0
28,2016.24852,2016.330485,0.08196499999985463,0.0,0.0
29,2016.330487,2016.415185,0.08469800000011674,0.0,0.0
30,2016.415187,2016.497152,0.08196499999985463,0.0,0.0
31,2016.497154,2016.581851,0.08469700000000557,0.0,0.0
32,2016.581853,2016.666551,0.08469800000011674,0.0,0.0
33,2016.666553,2016.748518,0.081965000000082,0.0,0.0
34,2016.74852,2016.833218,0.08469799999988936,0.0,0.0
35,2016.833219,2016.915299,0.08207999999990534,0.0,0.0
36,2016.915301,2016.999998,0.08469700000000557,0.0,0.0
37,2017.0,2017.08493,0.08492999999998574,0.0,0.0
38,2017.084932,2017.161642,0.07671000000004824,0.0,0.0
39,2017.161644,2017.246459,0.08481499999993503,0.0,0.0
40,2017.246461,2017.328651,0.08219000000008236,0.0,0.0
41,2017.328653,2017.413583,0.08492999999998574,0.0,0.0
42,2017.413584,2017.495774,0.08219000000008236,0.0,0.0
43,2017.495776,2017.580706,0.08492999999998574,0.0,0.0
44,2017.580708,2017.665637,0.08492900000010195,0.0,0.0
45,2017.665639,2017.747829,0.08218999999985499,0.0,0.0
46,2017.747831,2017.832761,0.08492999999998574,0.0,0.0
47,2017.832763,2017.915067,0.08230399999979454,0.0,0.0
48,2017.915068,2017.999998,0.08492999999998574,0.0,0.0
49,2018.0,2018.08493,0.08492999999998574,0.0,0.0
50,2018.084932,2018.161642,0.07671000000004824,0.0,0.0
51,2018.161644,2018.246459,0.08481499999993503,0.0,0.0
52,2018.246461,2018.328651,0.08219000000008236,0.0,0.0
53,2018.328653,2018.413583,0.08492999999998574,0.0,0.0
54,2018.413584,2018.495774,0.08219000000008236,0.0,0.0
55,2018.495776,2018.580706,0.08492999999998574,0.0,0.0
56,2018.580708,2018.665637,0.08492900000010195,0.0,0.0
57,2018.665639,2018.747829,0.08218999999985499,0.0,0.0
58,2018.747831,2018.832761,0.08492999999998574,0.0,0.0
59,2018.832763,2018.915067,0.08230399999979454,0.0,0.0
60,2018.915068,2018.999998,0.08492999999998574,0.0,0.0
61,2019.0,2019.08493,0.08492999999998574,0.0,0.0
62,2019.084932,2019.161642,0.07671000000004824,0.0,0.0
63,2019.161644,2019.246459,0.08481499999993503,0.0,0.0
64,2019.246461,2019.328651,0.08219000000008236,0.0,0.0
65,2019.328653,2019.413583,0.08492999999998574,0.0,0.0
66,2019.413584,2019.495774,0.08219000000008236,0.0,0.0
67,2019.495776,2019.580706,0.08492999999998574,0.0,0.0
68,2019.580708,2019.665637,0.08492900000010195,0.0,0.0
69,2019.665639,2019.747829,0.08218999999985499,0.0,0.0
70,2019.747831,2019.832761,0.08492999999998574,0.0,0.0
71,2019.832763,2019.915067,0.08230399999979454,0.0,0.0
72,2019.915068,2019.999998,0.08492999999998574,0.0,0.0
73,2020.0,2020.084698,0.08469799999988936,0.0,0.0
74,2020.084699,2020.163933,0.07923400000004222,0.0,0.0
75,2020.163934,2020.248518,0.08458400000017718,0.0,0.0
76,2020.24852,2020.330485,0.08196499999985463,0.0,0.0
77,2020.330487,2020.415185,0.08469800000011674,0.0,0.0
78,2020.415187,2020.497152,0.08196499999985463,0.0,0.0
79,2020.497154,2020.581851,0.08469700000000557,0.0,0.0
80,2020.581853,2020.666551,0.08469800000011674,0.0,0.0
81,2020.666553,2020.748518,0.081965000000082,0.0,0.0
82,2020.74852,2020.833218,0.08469799999988936,0.0,0.0
83,2020.833219,2020.915299,0.08207999999990534,0.0,0.0
84,2020.915301,2020.999998,0.08469700000000557,0.0,0.0
85,2021.0,2021.08493,0.08492999999998574,0.0,0.0
86,2021.084932,2021.161642,0.07671000000004824,0.0,0.0
87,2021.161644,2021.246459,0.08481499999993503,0.0,0.0
88,2021.246461,2021.328651,0.08219000000008236,0.0,0.0
89,2021.328653,2021.413583,0.08492999999998574,0.0,0.0
90,2021.413584,2021.495774,0.08219000000008236,0.0,0.0
91,2021.495776,2021.580706,0.08492999999998574,0.0,0.0
92,2021.580708,2021.665637,0.08492900000010195,0.0,0.0
93,2021.665639,2021.747829,0.08218999999985499,0.0,0.0
94,2021.747831,2021.832761,0.08492999999998574,0.0,0.0
95,2021.832763,2021.915067,0.08230399999979454,0.0,0.0
96,2021.915068,2021.999998,0.08492999999998574,0.0,0.0
97,2022.0,2022.08493,0.08492999999998574,0.0,0.0
98,2022.084932,2022.161642,0.07671000000004824,0.0,0.0
99,2022.161644,2022.246459,0.08481499999993503,0.0,0.0
100,2022.246461,2022.328651,0.08219000000008236,0.0,0.0
101,2022.328653,2022.413583,0.08492999999998574,0.0,0.0
102,2022.413584,2022.495774,0.08219000000008236,0.0,0.0
103,2022.495776,2022.580706,0.08492999999998574,0.0,0.0
104,2022.580708,2022.665637,0.08492900000010195,0.0,0.0
105,2022.665639,2022.747829,0.08218999999985499,0.0,0.0
106,2022.747831,2022.832761,0.08492999999998574,0.0,0.0
107,2022.832763,2022.915067,0.08230399999979454,0.0,0.0
108,2022.915068,2022.999998,0.08492999999998574,0.0,0.0
109,2023.0,2023.08493,0.08492999999998574,0.0,0.0
110,2023.084932,2023.161642,0.07671000000004824,0.0,0.0
111,2023.161644,2023.246459,0.08481499999993503,0.0,0.0
112,2023.246461,2023.328651,0.08219000000008236,0.0,0.0
113,2023.328653,2023.413583,0.08492999999998574,0.0,0.0
114,2023.413584,2023.495774,0.08219000000008236,0.0,0.0
115,2023.495776,2023.580706,0.08492999999998574,0.0,0.0
