"NAME"|"EVENT"|"VAL"|"TYPE"|"EASTING"|"NORTHING"
"199-D5-148"|2/11/2014 10:04:00|118.365|"MAN"|573361.480|151083.480
"199-D5-143"|2/11/2014 11:39:00|118.260|"MAN"|573701.530|151784.260
"199-D8-71"|2/11/2014 13:07:00|117.256|"MAN"|573837.097|152429.388
"199-D5-34"|2/14/2014 7:38:00|117.900|"MAN"|573240.420|151554.120
"199-D5-97"|2/14/2014 8:32:00|118.031|"MAN"|573250.110|151302.470
"199-D5-145"|2/14/2014 8:41:00|117.784|"MAN"|573215.620|151396.280
"199-D5-146"|2/14/2014 10:01:00|117.899|"MAN"|573219.790|151345.590
"199-D8-70"|2/14/2014 10:25:00|117.165|"MAN"|573942.097|152508.741
"199-D5-103"|2/14/2014 11:25:00|118.513|"MAN"|573505.870|151460.870
"199-D5-106"|2/14/2014 12:15:00|118.484|"MAN"|573503.740|151597.970
"699-95-51"|2/14/2014 12:27:00|117.867|"MAN"|574439.500|152528.590
"199-H3-6"|2/21/2014 7:43:00|114.889|"MAN"|578266.470|152425.330
"199-H4-46"|2/21/2014 7:55:00|115.613|"MAN"|577883.861|152439.868
"199-H4-11"|2/21/2014 8:13:00|114.253|"MAN"|578141.906|152728.433
"199-H4-49"|2/21/2014 8:48:00|115.649|"MAN"|577713.830|152445.154
"199-H3-9"|2/21/2014 9:16:00|113.482|"MAN"|578039.120|152913.600
"199-H4-12A"|2/21/2014 9:20:00|114.479|"MAN"|578009.151|152912.729
"199-H4-16"|2/21/2014 9:29:00|115.485|"MAN"|577981.910|152591.573
"199-H3-10"|2/21/2014 10:08:00|114.994|"MAN"|577545.140|152723.520
"199-H4-85"|2/21/2014 10:23:00|114.601|"MAN"|577980.020|152880.810
"199-H3-7"|2/21/2014 10:46:00|115.676|"MAN"|577931.740|152279.970
"199-H3-5"|2/21/2014 10:46:00|115.787|"MAN"|577454.697|152287.496
"199-H4-86"|2/21/2014 11:16:00|115.596|"MAN"|577704.550|152745.650
"199-H3-3"|2/21/2014 11:35:00|115.505|"MAN"|577562.091|152363.166
"199-H4-65"|2/21/2014 12:13:00|115.016|"MAN"|577998.259|152787.285
"699-95-45"|2/24/2014 11:42:00|117.465|"MAN"|576257.000|152556.280
"699-94-43"|2/24/2014 12:24:00|117.433|"MAN"|576625.600|152087.900
"699-97-41"|2/24/2014 13:25:00|115.543|"MAN"|577217.500|153090.380
"199-H5-1A"|2/25/2014 10:20:00|115.620|"MAN"|577650.080|152257.724
"699-96-52B"|2/25/2014 10:37:00|116.975|"MAN"|573910.160|152656.220
"699-99-41"|2/25/2014 10:55:00|114.778|"MAN"|577283.990|153590.740
"199-H2-1"|2/25/2014 11:33:00|114.609|"MAN"|577752.310|153239.890
"699-98-51"|2/25/2014 11:37:00|117.176|"MAN"|574339.320|153302.710
"699-98-46"|2/25/2014 12:27:00|116.918|"MAN"|575726.860|153365.630
"199-H1-7"|2/25/2014 12:53:00|115.252|"MAN"|577629.600|153172.100
"699-94-41"|2/27/2014 8:21:00|116.296|"MAN"|577223.050|152111.680
"699-95-48"|2/27/2014 9:29:00|117.848|"MAN"|575253.420|152323.050
"699-93-48A"|2/27/2014 10:22:00|118.008|"MAN"|575094.127|151795.301
"699-98-49A"|2/27/2014 11:29:00|117.311|"MAN"|574823.368|153310.153
"199-N-14"|2/28/2014 10:51:00|117.865|"MAN"|571713.100|150243.370
"199-N-51"|2/28/2014 10:57:00|117.748|"MAN"|571796.100|150496.966
"199-N-50"|2/28/2014 11:02:00|117.824|"MAN"|572090.901|150298.790
"199-N-92A"|2/28/2014 11:39:00|117.568|"MAN"|571647.420|150383.528
"199-D5-134"|3/3/2014 8:43:00|117.695|"MAN"|573675.320|151862.460
"199-D5-14"|3/3/2014 8:48:00|118.214|"MAN"|573789.632|151787.990
"199-D5-15"|3/3/2014 8:54:00|118.443|"MAN"|573738.610|151673.750
"199-D5-16"|3/3/2014 8:59:00|118.431|"MAN"|573917.450|151652.510
"199-D6-3"|3/3/2014 9:03:00|118.400|"MAN"|574159.090|151643.850
"199-D5-142"|3/3/2014 9:13:00|118.562|"MAN"|573791.870|151563.260
"199-D5-133"|3/3/2014 9:19:00|119.003|"MAN"|573731.550|151497.370
"199-D5-17"|3/3/2014 9:24:00|118.717|"MAN"|573730.520|151322.830
"199-D5-18"|3/3/2014 9:28:00|118.612|"MAN"|573861.700|151325.180
