NAME,DATE,VAL,TYPE,FLAG
199-D5-43,2023-08-01,2.5,Mon,U
199-D5-146,2023-08-01,34.2,Ext,
199-D5-145,2023-08-01,4.6,Mon,
199-D5-104,2023-08-01,13.8,Ext,
199-D5-34,2023-08-01,9.81,Ext,
199-D5-41,2023-08-01,31.9,Mon,
199-D5-33,2023-08-01,2.50,Mon,U
199-D5-44,2023-08-01,26.2,Mon,
199-D5-37,2023-08-01,10.2,Mon,
C6272,2023-08-01,2.50,AT,U
AT-D-1-M,2023-08-01,2.50,AT,U
199-D5-15,2023-09-01,3.55,Mon,
199-D5-133,2023-09-01,32.2,Mon,
199-D5-106,2023-09-01,5.31,Mon,
199-D1-1,2023-09-01,6.34,Mon,
199-D2-14,2023-09-01,46.5,Mon,
199-D5-103,2023-09-01,34.8,Ext,
199-D5-160,2023-09-01,5.91,Ext,
199-D5-150,2023-09-01,1.67,Mon,
199-D5-151,2023-09-01,107,Ext,
199-D5-149,2023-09-01,29.9,Mon,
199-D5-152,2023-09-01,4.82,Mon,
199-D5-43,2023-09-01,1.52,Mon,
199-D5-146,2023-09-01,43.6,Ext,
199-D5-145,2023-09-01,5.5,Mon,
199-D5-39,2023-09-01,5.4,Ext,
199-D5-104,2023-09-01,15.2,Ext,
199-D5-34,2023-09-01,12,Ext,
199-D5-41,2023-09-01,28.1,Mon,
199-D5-33,2023-09-01,1.3,Mon,U
199-D5-44,2023-09-01,19.3,Mon,
199-D5-37,2023-09-01,2.28,Mon,
C6272,2023-09-01,2.50,AT,U
AT-D-1-M,2023-09-01,2.50,AT,U
199-D5-15,2023-10-01,4.48,Mon,
199-D5-123,2023-10-01,4.45,Mon,
199-D5-142,2023-10-01,2.5,Mon,U
199-D5-133,2023-10-01,35.2,Mon,
199-D5-17,2023-10-01,2.96,Mon,
199-D5-128,2023-10-01,10.2,Inj,
199-D2-11,2023-10-01,2.61,Mon,
199-D5-106,2023-10-01,4.63,Mon,
199-D1-1,2023-10-01,7.2,Mon,
199-D2-14,2023-10-01,49.6,Mon,
199-D5-160,2023-10-01,10.1,Ext,
199-D5-150,2023-10-01,2.56,Mon,
199-D5-151,2023-10-01,33.5,Ext,
199-D5-149,2023-10-01,50.4,Mon,
199-D5-152,2023-10-01,5.47,Mon,
199-D5-43,2023-10-01,2.50,Mon,U
199-D5-146,2023-10-01,37,Ext,
199-D5-145,2023-10-01,4.82,Mon,
199-D5-39,2023-10-01,4.33,Ext,
199-D5-104,2023-10-01,15.9,Ext,
199-D5-34,2023-10-01,12.4,Ext,
199-D5-41,2023-10-01,26.1,Mon,
199-D5-33,2023-10-01,2.5,Mon,U
199-D5-44,2023-10-01,16.4,Mon,
199-D5-37,2023-10-01,12.3,Mon,
C6272,2023-10-01,2.50,AT,U
AT-D-1-M,2023-10-01,2.50,AT,U
199-D5-15,2023-11-01,4.96,Mon,
199-D5-133,2023-11-01,32.3,Mon,
199-D5-36,2023-11-01,2.67,Mon,
199-D5-38,2023-11-01,3.69,Mon,
199-D5-106,2023-11-01,6.68,Mon,
199-D1-1,2023-11-01,7.02,Mon,
199-D2-14,2023-11-01,70.2,Mon,
199-D5-160,2023-11-01,8.49,Ext,
199-D5-150,2023-11-01,2.92,Mon,
199-D5-151,2023-11-01,37.3,Ext,
199-D5-149,2023-11-01,43.8,Mon,
199-D5-152,2023-11-01,6.12,Mon,
199-D5-43,2023-11-01,2.5,Mon,U
199-D5-146,2023-11-01,39.2,Ext,
199-D5-145,2023-11-01,7.81,Mon,
199-D5-39,2023-11-01,7.17,Ext,
199-D5-104,2023-11-01,17.3,Ext,
199-D5-34,2023-11-01,11.8,Ext,
199-D5-41,2023-11-01,24.5,Mon,
199-D5-33,2023-11-01,2.5,Mon,U
199-D5-44,2023-11-01,19.1,Mon,
199-D5-37,2023-11-01,4.57,Mon,
C6272,2023-11-01,2.50,AT,U
AT-D-1-M,2023-11-01,2.50,AT,U
199-D5-15,2023-12-01,5.38,Mon,
199-D5-123,2023-12-01,5.44,Mon,
199-D5-142,2023-12-01,3.13,Mon,
199-D5-133,2023-12-01,32.6,Mon,
199-D5-17,2023-12-01,4.13,Mon,
199-D5-128,2023-12-01,10.3,Inj,
199-D2-11,2023-12-01,3.19,Mon,
199-D5-106,2023-12-01,6.62,Mon,
199-D1-1,2023-12-01,6.34,Mon,
199-D2-14,2023-12-01,63.1,Mon,
199-D5-103,2023-12-01,33.9,Ext,
199-D5-160,2023-12-01,13.1,Ext,
199-D5-150,2023-12-01,2.88,Mon,
199-D5-151,2023-12-01,40.4,Ext,
199-D5-149,2023-12-01,59.4,Mon,
199-D5-152,2023-12-01,6.61,Mon,
199-D5-43,2023-12-01,2.5,Mon,U
199-D5-146,2023-12-01,36,Ext,
199-D5-145,2023-12-01,8.49,Mon,
199-D5-39,2023-12-01,6.82,Ext,
199-D5-104,2023-12-01,19,Ext,
199-D5-34,2023-12-01,7.62,Ext,
199-D5-41,2023-12-01,24,Mon,
199-D5-33,2023-12-01,2.5,Mon,U
199-D5-44,2023-12-01,21.2,Mon,
199-D5-37,2023-12-01,3.37,Mon,
C6272,2023-12-01,2.50,AT,U
AT-D-1-M,2023-12-01,2.50,AT,U
199-D5-15,2024-01-01,4.82,Mon,
199-D5-133,2024-01-01,33.2,Mon,
199-D5-106,2024-01-01,6.24,Mon,
199-D1-1,2024-01-01,5.96,Mon,
199-D2-14,2024-01-01,71.2,Mon,
199-D5-103,2024-01-01,9.8,Ext,
199-D5-160,2024-01-01,7.23,Ext,
199-D5-150,2024-01-01,2.5,Mon,U
199-D5-151,2024-01-01,45.8,Ext,
199-D5-149,2024-01-01,54,Mon,
199-D5-152,2024-01-01,6.46,Mon,
199-D5-43,2024-01-01,2.5,Mon,U
199-D5-146,2024-01-01,44.4,Ext,
199-D5-145,2024-01-01,7.64,Mon,
199-D5-39,2024-01-01,8.05,Ext,
199-D5-104,2024-01-01,17.3,Ext,
199-D5-34,2024-01-01,8.25,Ext,
199-D5-41,2024-01-01,25.7,Mon,
199-D5-33,2024-01-01,2.5,Mon,U
199-D5-44,2024-01-01,22,Mon,
199-D5-37,2024-01-01,4.83,Mon,
