NAME,DATE,VAL,XCOORDS,YCOORDS
199-D5-151,2023-03-31,35.0,573312.03,151391.88
199-D5-151,2023-04-30,35.3,573312.03,151391.88
199-D5-151,2023-05-31,37.5,573312.03,151391.88
199-D5-151,2023-06-30,45.5,573312.03,151391.88
199-D5-151,2023-07-31,40.0,573312.03,151391.88
199-D5-151,2023-08-31,37.3,573312.03,151391.88
199-D5-151,2023-09-30,107.0,573312.03,151391.88
199-D5-151,2023-10-31,33.5,573312.03,151391.88
199-D5-152,2023-04-30,4.51,573300.18,151349.1
199-D5-152,2023-05-31,3.5225,573300.18,151349.1
199-D5-152,2023-06-30,4.09,573300.18,151349.1
199-D5-152,2023-07-31,5.734999999999999,573300.18,151349.1
199-D5-152,2023-08-31,5.39,573300.18,151349.1
199-D5-152,2023-09-30,4.82,573300.18,151349.1
199-D5-152,2023-10-31,5.47,573300.18,151349.1
199-D5-160,2023-03-31,1.0,573517.16,151429.17
199-D5-160,2023-04-30,16.2,573517.16,151429.17
199-D5-160,2023-05-31,11.373333333333333,573517.16,151429.17
199-D5-160,2023-06-30,7.21,573517.16,151429.17
199-D5-160,2023-07-31,6.77,573517.16,151429.17
199-D5-160,2023-08-31,10.3,573517.16,151429.17
199-D5-160,2023-09-30,5.91,573517.16,151429.17
199-D5-160,2023-10-31,10.1,573517.16,151429.17
199-D5-17,2023-04-30,6.18,573730.52,151322.83
199-D5-17,2023-05-31,,573730.52,151322.83
199-D5-17,2023-06-30,3.5,573730.52,151322.83
199-D5-17,2023-07-31,,573730.52,151322.83
199-D5-17,2023-08-31,4.98,573730.52,151322.83
199-D5-17,2023-09-30,,573730.52,151322.83
199-D5-17,2023-10-31,2.96,573730.52,151322.83
199-D5-33,2023-04-30,2.5,573095.03,151714.54
199-D5-33,2023-05-31,2.5,573095.03,151714.54
199-D5-33,2023-06-30,2.5,573095.03,151714.54
199-D5-33,2023-07-31,2.5,573095.03,151714.54
199-D5-33,2023-08-31,2.5,573095.03,151714.54
199-D5-33,2023-09-30,1.3,573095.03,151714.54
199-D5-33,2023-10-31,2.5,573095.03,151714.54
199-D5-34,2023-02-28,9.0,573240.42,151554.12
199-D5-34,2023-03-31,13.0,573240.42,151554.12
199-D5-34,2023-04-30,7.27,573240.42,151554.12
199-D5-34,2023-05-31,8.14,573240.42,151554.12
199-D5-34,2023-06-30,8.3,573240.42,151554.12
199-D5-34,2023-07-31,10.0,573240.42,151554.12
199-D5-34,2023-08-31,9.81,573240.42,151554.12
199-D5-34,2023-09-30,12.0,573240.42,151554.12
199-D5-34,2023-10-31,12.4,573240.42,151554.12
199-D5-36,2023-05-31,2.5,572909.823,151746.32
199-D5-36,2023-06-30,,572909.823,151746.32
199-D5-36,2023-07-31,,572909.823,151746.32
199-D5-36,2023-08-31,2.5,572909.823,151746.32
199-D5-37,2023-04-30,4.8,573092.236,151916.365
199-D5-37,2023-05-31,3.43,573092.236,151916.365
199-D5-37,2023-06-30,4.15,573092.236,151916.365
199-D5-37,2023-07-31,3.66,573092.236,151916.365
199-D5-37,2023-08-31,10.2,573092.236,151916.365
199-D5-37,2023-09-30,2.28,573092.236,151916.365
199-D5-37,2023-10-31,12.3,573092.236,151916.365
199-D5-38,2023-05-31,2.5,572996.824,151545.593
199-D5-38,2023-06-30,,572996.824,151545.593
199-D5-38,2023-07-31,,572996.824,151545.593
199-D5-38,2023-08-31,3.83,572996.824,151545.593
199-D5-39,2023-02-28,5.0,573142.858,151428.428
199-D5-39,2023-03-31,10.0,573142.858,151428.428
199-D5-39,2023-04-30,5.74,573142.858,151428.428
199-D5-39,2023-05-31,5.07,573142.858,151428.428
199-D5-39,2023-06-30,4.75,573142.858,151428.428
199-D5-39,2023-07-31,5.29,573142.858,151428.428
199-D5-39,2023-08-31,,573142.858,151428.428
199-D5-39,2023-09-30,5.4,573142.858,151428.428
199-D5-39,2023-10-31,4.33,573142.858,151428.428
199-D5-41,2023-04-30,23.4,573358.16,151792.191
199-D5-41,2023-05-31,24.1,573358.16,151792.191
199-D5-41,2023-06-30,32.5,573358.16,151792.191
199-D5-41,2023-07-31,30.8,573358.16,151792.191
199-D5-41,2023-08-31,31.9,573358.16,151792.191
199-D5-41,2023-09-30,28.1,573358.16,151792.191
199-D5-41,2023-10-31,26.1,573358.16,151792.191
199-D5-43,2023-04-30,2.5,573179.976,151269.43
199-D5-43,2023-05-31,2.5,573179.976,151269.43
199-D5-43,2023-06-30,2.5,573179.976,151269.43
199-D5-43,2023-07-31,2.5,573179.976,151269.43
199-D5-43,2023-08-31,2.5,573179.976,151269.43
199-D5-43,2023-09-30,1.52,573179.976,151269.43
199-D5-43,2023-10-31,2.5,573179.976,151269.43
199-D5-44,2023-04-30,20.2,572993.581,151835.736
199-D5-44,2023-05-31,24.9,572993.581,151835.736
199-D5-44,2023-06-30,25.5,572993.581,151835.736
199-D5-44,2023-07-31,26.9,572993.581,151835.736
199-D5-44,2023-08-31,26.2,572993.581,151835.736
199-D5-44,2023-09-30,19.3,572993.581,151835.736
199-D5-44,2023-10-31,16.4,572993.581,151835.736
35-S,2023-04-30,2.5,572918.04,151930.04
AT-D-1-M,2023-04-30,2.5,572861.512,151850.404
AT-D-1-M,2023-05-31,,572861.512,151850.404
AT-D-1-M,2023-06-30,2.5,572861.512,151850.404
