I,J,X,Y,dely
266,1,571755,152175,10
267,1,571755,152165,10
268,1,571755,152155,10
269,1,571755,152145,10
270,1,571755,152135,10
271,1,571755,152125,10
272,1,571755,152115,10
273,1,571755,152105,10
274,1,571755,152095,10
275,1,571755,152085,10
276,1,571755,152075,10
277,1,571755,152065,10
278,1,571755,152055,10
279,1,571755,152045,10
280,1,571755,152035,10
281,1,571755,152025,10
282,1,571755,152015,10
283,1,571755,152005,10
284,1,571755,151995,10
285,1,571755,151985,10
286,1,571755,151975,10
287,1,571755,151965,10
288,1,571755,151955,10
289,1,571755,151945,10
290,1,571755,151935,10
291,1,571755,151925,10
292,1,571755,151915,10
293,1,571755,151905,10
294,1,571755,151895,10
295,1,571755,151885,10
296,1,571755,151875,10
297,1,571755,151865,10
298,1,571755,151855,10
299,1,571755,151845,10
300,1,571755,151835,10
301,1,571755,151825,10
302,1,571755,151815,10
303,1,571755,151805,10
304,1,571755,151795,10
305,1,571755,151785,10
306,1,571755,151775,10
307,1,571755,151765,10
308,1,571755,151755,10
309,1,571755,151745,10
310,1,571755,151735,10
311,1,571755,151725,10
312,1,571755,151715,10
313,1,571755,151705,10
314,1,571755,151695,10
315,1,571755,151685,10
316,1,571755,151675,10
317,1,571755,151665,10
318,1,571755,151655,10
319,1,571755,151645,10
320,1,571755,151635,10
321,1,571755,151625,10
322,1,571755,151615,10
323,1,571755,151605,10
324,1,571755,151595,10
325,1,571755,151585,10
326,1,571755,151575,10
327,1,571755,151565,10
328,1,571755,151555,10
329,1,571755,151545,10
330,1,571755,151535,10
331,1,571755,151525,10
332,1,571755,151515,10
333,1,571755,151505,10
334,1,571755,151495,10
335,1,571755,151485,10
336,1,571755,151475,10
337,1,571755,151465,10
338,1,571755,151455,10
339,1,571755,151445,10
340,1,571755,151435,10
341,1,571755,151425,10
342,1,571755,151415,10
343,1,571755,151405,10
344,1,571755,151395,10
345,1,571755,151385,10
346,1,571755,151375,10
347,1,571755,151365,10
348,1,571755,151355,10
349,1,571755,151345,10
350,1,571755,151335,10
351,1,571755,151325,10
352,1,571755,151315,10
353,1,571755,151305,10
354,1,571755,151295,10
355,1,571755,151285,10
356,1,571755,151275,10
357,1,571755,151265,10
358,1,571755,151255,10
359,1,571755,151245,10
360,1,571755,151235,10
361,1,571755,151225,10
362,1,571755,151215,10
363,1,571755,151205,10
364,1,571755,151195,10
365,1,571755,151185,10
366,1,571755,151175,10
367,1,571755,151165,10
368,1,571755,151155,10
369,1,571755,151145,10
370,1,571755,151135,10
371,1,571755,151125,10
372,1,571755,151115,10
373,1,571755,151105,10
374,1,571755,151095,10
375,1,571755,151085,10
376,1,571755,151075,10
377,1,571755,151065,10
378,1,571755,151055,10
379,1,571755,151045,10
380,1,571755,151035,10
381,1,571755,151025,10
382,1,571755,151015,10
383,1,571755,151005,10
384,1,571755,150995,10
385,1,571755,150985,10
386,1,571755,150975,10
387,1,571755,150965,10
388,1,571755,150955,10
389,1,571755,150945,10
390,1,571755,150935,10
391,1,571755,150925,10
392,1,571755,150915,10
393,1,571755,150905,10
394,1,571755,150895,10
395,1,571755,150885,10
396,1,571755,150875,10
397,1,571755,150865,10
398,1,571755,150855,10
399,1,571755,150845,10
400,1,571755,150835,10
401,1,571755,150825,10
402,1,571755,150815,10
403,1,571755,150805,10
404,1,571755,150795,10
405,1,571755,150785,10
406,1,571755,150775,10
407,1,571755,150765,10
408,1,571755,150755,10
409,1,571755,150745,10
410,1,571755,150735,10
411,1,571755,150725,10
412,1,571755,150715,10
413,1,571755,150705,10
414,1,571755,150695,10
415,1,571755,150685,10
416,1,571755,150675,10
417,1,571755,150665,10
418,1,571755,150655,10
419,1,571755,150645,10
420,1,571755,150635,10
421,1,571755,150625,10
422,1,571755,150615,10
423,1,571755,150605,10
424,1,571755,150595,10
425,1,571755,150585,10
426,1,571755,150575,10
427,1,571755,150565,10
428,1,571755,150555,10
429,1,571755,150545,10
430,1,571755,150535,10
431,1,571755,150525,10
432,1,571755,150515,10
433,1,571755,150505,10
