SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD,tte
199-H4-4,2019-05-01,3.2199999999999998,1977
199-H4-4,2019-06-01,3.0,2007
199-H4-4,2019-08-01,2.0,2069
199-H4-4,2019-12-01,3.36,2191
199-H4-4,2020-02-01,4.755,2251
199-H4-4,2020-07-01,11.0,2404
199-H4-4,2020-08-01,1.9,2435
199-H4-5,2014-03-01,7.5,90
199-H4-5,2014-06-01,8.0,181
199-H4-5,2014-09-01,8.0,273
199-H4-5,2014-12-01,2.3,365
199-H4-5,2015-02-01,3.3,424
199-H4-5,2015-06-01,1.6,546
199-H4-5,2015-08-01,2.1500000000000004,608
199-H4-5,2015-12-01,4.35,730
199-H4-5,2016-03-01,3.2,821
199-H4-5,2016-06-01,3.25,912
199-H4-5,2016-12-01,3.85,1096
199-H4-5,2017-12-01,2.2,1461
199-H4-5,2018-12-01,1.7999999999999998,1826
199-H4-5,2019-12-01,3.69,2191
199-H4-5,2020-12-01,1.33,2557
199-H4-8,2014-03-01,8.0,90
199-H4-8,2014-11-01,3.1,334
199-H4-8,2015-12-01,3.45,730
199-H4-8,2016-11-01,3.75,1065
199-H4-8,2017-05-01,1.85,1247
199-H4-8,2017-11-01,1.5,1430
199-H4-8,2018-11-01,1.5,1795
199-H4-8,2019-05-01,2.18,1977
199-H4-8,2020-06-01,2.25,2373
199-H4-12A,2014-02-01,22.5,59
199-H4-12A,2014-05-01,8.0,151
199-H4-12A,2014-08-01,8.0,243
199-H4-12A,2014-11-01,14.4,334
199-H4-12A,2015-02-01,3.65,424
199-H4-12A,2015-05-01,14.1,516
199-H4-12A,2015-08-01,3.75,608
199-H4-12A,2015-12-01,3.35,730
199-H4-12A,2016-02-01,1.55,790
199-H4-12A,2016-05-01,1.85,882
199-H4-12A,2016-08-01,1.5,974
199-H4-12A,2016-11-01,2.3,1065
199-H4-12A,2017-02-01,1.5,1155
199-H4-12A,2017-05-01,1.5,1247
199-H4-12A,2017-11-01,1.55,1430
199-H4-12A,2018-02-01,2.1,1520
199-H4-12A,2018-05-01,1.65,1612
199-H4-12A,2018-10-01,1.5,1765
199-H4-12A,2019-02-01,2.5,1885
199-H4-12A,2019-05-01,3.15,1977
199-H4-12A,2019-11-01,3.31,2160
199-H4-12A,2020-02-01,2.14,2251
199-H4-12A,2020-11-01,5.96,2526
199-H4-15A,2014-01-01,21.7,31
199-H4-15A,2014-02-01,20.0,59
199-H4-15A,2014-03-01,24.0,90
199-H4-15A,2014-04-01,13.0,120
199-H4-15A,2014-05-01,6.0,151
199-H4-15A,2014-06-01,5.5,181
199-H4-15A,2014-07-01,6.0,212
199-H4-15A,2014-08-01,13.0,243
199-H4-15A,2014-09-01,14.0,273
199-H4-15A,2014-10-01,14.0,304
199-H4-15A,2014-11-01,17.0,334
199-H4-15A,2014-12-01,18.0,365
199-H4-15A,2015-01-01,11.0,396
199-H4-15A,2015-02-01,12.425,424
199-H4-15A,2015-03-01,13.0,455
199-H4-15A,2015-04-01,11.0,485
199-H4-15A,2015-05-01,7.0,516
199-H4-15A,2015-06-01,7.95,546
199-H4-15A,2015-07-01,17.0,577
199-H4-15A,2015-08-01,8.25,608
199-H4-15A,2015-09-01,14.0,638
199-H4-15A,2015-10-01,14.0,669
199-H4-15A,2015-11-01,6.175,699
199-H4-15A,2015-12-01,6.0,730
199-H4-15A,2016-01-01,5.0,761
199-H4-15A,2016-02-01,5.425,790
199-H4-15A,2016-03-01,6.0,821
199-H4-15A,2016-04-01,11.0,851
199-H4-15A,2016-05-01,2.75,882
199-H4-15A,2016-06-01,4.0,912
199-H4-15A,2016-07-01,4.0,943
199-H4-15A,2016-08-01,2.275,974
199-H4-15A,2016-09-01,5.0,1004
199-H4-15A,2016-10-01,2.0,1035
199-H4-15A,2016-11-01,3.775,1065
199-H4-15A,2016-12-01,3.0,1096
199-H4-15A,2017-01-01,9.0,1127
199-H4-15A,2017-02-01,1.45,1155
199-H4-15A,2017-03-01,0.0,1186
199-H4-15A,2017-04-01,8.0,1216
199-H4-15A,2017-05-01,1.25,1247
199-H4-15A,2017-06-01,0.0,1277
199-H4-15A,2017-07-01,4.0,1308
199-H4-15A,2017-08-01,3.0,1339
199-H4-15A,2017-09-01,2.95,1369
199-H4-15A,2017-10-01,4.0,1400
199-H4-15A,2017-11-01,3.45,1430
199-H4-15A,2017-12-01,2.0,1461
199-H4-15A,2018-01-01,1.0,1492
199-H4-15A,2018-02-01,6.25,1520
199-H4-15A,2018-03-01,4.0,1551
199-H4-15A,2018-04-01,3.0,1581
199-H4-15A,2018-05-01,1.25,1612
199-H4-15A,2018-06-01,3.0,1642
199-H4-15A,2018-07-01,5.0,1673
199-H4-15A,2018-08-01,2.45,1704
199-H4-15A,2018-09-01,1.0,1734
199-H4-15A,2018-10-01,2.425,1765
199-H4-15A,2018-11-01,4.0,1795
199-H4-15A,2018-12-01,7.0,1826
199-H4-15A,2019-01-01,2.3,1857
199-H4-15A,2019-02-01,-4.0,1885
199-H4-15A,2019-03-01,2.0,1916
199-H4-15A,2019-04-01,3.0,1946
199-H4-15A,2019-05-01,2.995,1977
199-H4-15A,2019-06-01,2.0,2007
199-H4-15A,2019-07-01,3.0,2038
199-H4-15A,2019-08-01,3.225,2069
199-H4-15A,2019-10-01,3.2199999999999998,2130
199-H4-15A,2019-11-01,3.0,2160
199-H4-15A,2019-12-01,2.0,2191
199-H4-15A,2020-01-01,1.0,2222
199-H4-15A,2020-02-01,1.11,2251
199-H4-15A,2020-07-01,2.0,2404
199-H4-15A,2020-08-01,2.29,2435
199-H4-15A,2020-09-01,5.0,2465
199-H4-15A,2020-10-01,1.575,2496
199-H4-15A,2020-11-01,2.0,2526
199-H4-64,2014-01-01,13.0,31
199-H4-64,2014-02-01,3.0,59
199-H4-64,2014-03-01,7.8,90
199-H4-64,2014-04-01,4.0,120
199-H4-64,2014-05-01,1.0,151
199-H4-64,2014-06-01,4.5,181
199-H4-64,2014-07-01,4.0,212
199-H4-64,2014-08-01,7.0,243
199-H4-64,2014-09-01,8.0,273
199-H4-64,2014-10-01,7.0,304
199-H4-64,2014-11-01,7.0,334
199-H4-64,2014-12-01,8.15,365
199-H4-64,2015-01-01,3.0,396
199-H4-64,2015-02-01,7.0,424
199-H4-64,2015-03-01,3.9,455
199-H4-64,2015-04-01,4.0,485
199-H4-64,2015-05-01,0.0,516
199-H4-64,2015-06-01,4.925,546
199-H4-64,2015-07-01,4.0,577
199-H4-64,2015-08-01,4.0,608
199-H4-64,2015-09-01,7.075,638
199-H4-64,2015-10-01,9.0,669
199-H4-64,2015-11-01,1.0,699
199-H4-64,2015-12-01,2.425,730
199-H4-64,2016-01-01,3.0,761
199-H4-64,2016-02-01,1.0,790
199-H4-64,2016-03-01,1.75,821
199-H4-64,2016-04-01,10.0,851
199-H4-64,2016-05-01,0.0,882
199-H4-64,2016-06-01,1.425,912
199-H4-64,2016-07-01,6.0,943
199-H4-64,2016-08-01,2.0,974
199-H4-64,2016-09-01,4.0,1004
199-H4-64,2016-11-01,4.75,1065
199-H4-64,2016-12-01,2.0,1096
199-H4-64,2017-01-01,3.5,1127
199-H4-64,2017-02-01,0.0,1155
199-H4-64,2017-03-01,0.75,1186
199-H4-64,2017-04-01,5.0,1216
199-H4-64,2017-05-01,2.0,1247
199-H4-64,2017-06-01,0.75,1277
199-H4-64,2017-07-01,3.0,1308
199-H4-64,2017-08-01,3.0,1339
199-H4-64,2017-09-01,3.0,1369
199-H4-64,2017-12-01,1.3,1461
199-H4-64,2018-01-01,3.0,1492
199-H4-64,2018-02-01,3.75,1520
199-H4-64,2018-03-01,2.0,1551
199-H4-64,2018-04-01,3.0,1581
199-H4-64,2018-05-01,1.25,1612
199-H4-64,2018-06-01,2.0,1642
199-H4-64,2018-07-01,5.0,1673
199-H4-64,2018-08-01,2.25,1704
199-H4-64,2018-09-01,0.0,1734
199-H4-64,2019-05-01,3.045,1977
199-H4-64,2019-06-01,1.0,2007
199-H4-64,2019-07-01,3.0,2038
199-H4-64,2019-08-01,1.78,2069
199-H4-64,2019-12-01,1.785,2191
199-H4-64,2020-02-01,1.3,2251
199-H4-64,2020-08-01,0.0,2435
199-H4-64,2020-09-01,3.0,2465
