SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-D5-103,2018-11-20,162.0
199-D5-103,2018-11-29,156.0
199-D5-103,2018-12-03,153.0
199-D5-103,2018-12-11,141.0
199-D5-103,2018-12-19,140.0
199-D5-103,2018-12-27,131.0
199-D5-103,2019-01-03,122.0
199-D5-103,2019-01-16,122.0
199-D5-103,2019-01-24,129.0
199-D5-103,2019-01-28,116.0
199-D5-103,2019-02-07,125.0
199-D5-103,2019-02-21,125.0
199-D5-103,2019-02-26,122.0
199-D5-103,2019-03-06,116.0
199-D5-103,2019-03-11,118.0
199-D5-103,2019-03-18,107.0
199-D5-103,2019-03-28,101.0
199-D5-103,2019-04-01,104.0
199-D5-103,2019-04-11,86.0
199-D5-103,2019-04-15,84.0
199-D5-103,2019-04-16,78.1
199-D5-103,2019-04-22,75.0
199-D5-103,2019-04-29,88.0
199-D5-103,2019-05-09,68.0
199-D5-103,2019-05-15,61.0
199-D5-103,2019-05-21,55.0
199-D5-103,2019-05-30,53.0
199-D5-103,2019-06-06,51.0
199-D5-103,2019-06-12,52.0
199-D5-103,2019-06-17,50.0
199-D5-103,2019-06-25,48.0
199-D5-103,2019-07-01,42.0
199-D5-103,2019-07-11,44.0
199-D5-103,2019-07-17,39.0
199-D5-103,2019-07-22,39.0
199-D5-103,2019-07-29,35.2
199-D5-103,2019-08-01,36.0
199-D5-103,2019-08-05,38.0
199-D5-103,2019-08-15,31.0
199-D5-103,2019-08-19,33.0
199-D5-103,2019-08-26,31.0
199-D5-103,2019-09-09,30.0
199-D5-103,2019-09-17,35.0
199-D5-103,2019-10-07,30.0
199-D5-103,2019-10-30,22.2
199-D5-103,2019-11-07,34.0
199-D5-103,2019-12-16,16.0
199-D5-103,2020-01-07,15.0
199-D5-103,2020-01-14,21.3
199-D5-103,2020-02-13,25.0
199-D5-103,2020-03-03,18.0
199-D5-103,2020-09-23,37.0
199-D5-103,2020-10-06,23.9
199-D5-103,2020-10-15,42.0
199-D5-103,2020-11-12,31.0
199-D5-103,2021-01-13,22.8
199-D5-103,2021-01-21,32.0
199-D5-103,2021-02-10,27.0
199-D5-103,2021-03-10,28.0
199-D5-103,2021-04-07,51.0
199-D5-103,2021-04-13,72.9
199-D5-103,2021-05-12,103.0
199-D5-103,2021-06-02,92.0
199-D5-103,2021-07-13,89.98
199-D5-103,2021-07-15,93.0
199-D5-104,2014-01-02,3376.0
199-D5-104,2014-01-15,3290.0
199-D5-104,2014-01-30,3440.0
199-D5-104,2014-02-20,3616.0
199-D5-104,2014-02-26,3370.0
199-D5-104,2014-03-04,3408.0
199-D5-104,2014-03-06,3250.0
199-D5-104,2014-03-20,3210.0
199-D5-104,2014-04-01,2608.0
199-D5-104,2014-04-03,2560.0
199-D5-104,2014-04-30,1790.0
199-D5-104,2014-05-06,1936.0
199-D5-104,2014-06-12,1424.0
199-D5-104,2014-07-02,1808.0
199-D5-104,2014-08-06,2288.0
199-D5-104,2014-09-10,1696.0
199-D5-104,2014-10-02,1280.0
199-D5-104,2014-11-20,528.0
199-D5-104,2014-11-25,540.0
199-D5-104,2014-12-02,515.0
199-D5-104,2014-12-10,483.0
199-D5-104,2014-12-15,469.0
199-D5-104,2014-12-16,472.0
199-D5-104,2014-12-29,465.0
199-D5-104,2015-01-08,440.0
199-D5-104,2015-01-15,430.0
199-D5-104,2015-01-19,432.0
199-D5-104,2015-01-27,408.0
199-D5-104,2015-02-03,393.0
199-D5-104,2015-02-10,376.0
199-D5-104,2015-02-19,312.0
199-D5-104,2015-02-25,318.0
199-D5-104,2015-03-05,330.0
199-D5-104,2015-03-10,328.0
199-D5-104,2015-03-26,312.0
199-D5-104,2015-03-30,320.0
199-D5-104,2015-04-06,304.0
199-D5-104,2015-04-15,303.0
199-D5-104,2015-04-23,315.0
199-D5-104,2015-04-30,293.0
199-D5-104,2015-05-06,289.0
199-D5-104,2015-05-13,280.0
199-D5-104,2015-05-20,272.0
199-D5-104,2015-05-27,264.0
199-D5-104,2015-06-03,260.0
199-D5-104,2015-06-09,259.0
199-D5-104,2015-06-16,267.0
199-D5-104,2015-06-24,257.0
199-D5-104,2015-06-29,257.0
199-D5-104,2015-07-09,262.0
199-D5-104,2015-07-14,251.0
199-D5-104,2015-07-23,263.0
199-D5-104,2015-07-28,257.0
199-D5-104,2015-08-03,256.0
199-D5-104,2015-08-10,262.0
199-D5-104,2015-08-18,242.0
199-D5-104,2015-08-24,251.0
199-D5-104,2015-09-01,253.0
199-D5-104,2015-09-10,222.0
199-D5-104,2015-09-16,201.0
199-D5-104,2015-09-21,222.0
199-D5-104,2015-10-01,227.0
199-D5-104,2015-10-06,225.0
199-D5-104,2015-10-14,217.0
199-D5-104,2015-10-20,217.0
199-D5-104,2015-10-29,195.0
199-D5-104,2015-11-05,200.0
199-D5-104,2015-11-09,199.0
199-D5-104,2015-11-18,175.0
199-D5-104,2015-11-24,186.0
199-D5-104,2015-12-03,184.0
199-D5-104,2015-12-07,177.0
199-D5-104,2015-12-15,173.0
199-D5-104,2015-12-21,166.0
199-D5-104,2015-12-28,156.0
199-D5-104,2016-01-04,147.0
199-D5-104,2016-01-14,158.0
199-D5-104,2016-01-18,161.0
199-D5-104,2016-02-03,152.0
199-D5-104,2016-02-08,139.0
199-D5-104,2016-02-18,148.0
199-D5-104,2016-02-22,142.0
199-D5-104,2016-03-01,136.0
199-D5-104,2016-03-07,135.0
199-D5-104,2016-03-15,128.0
199-D5-104,2016-03-22,130.0
199-D5-104,2016-03-28,126.0
199-D5-104,2016-04-04,123.0
199-D5-104,2016-04-18,121.0
199-D5-104,2016-04-25,117.0
199-D5-104,2016-05-02,102.0
199-D5-104,2016-05-11,115.0
199-D5-104,2016-05-17,115.0
199-D5-104,2016-05-23,112.0
199-D5-104,2016-06-02,112.0
199-D5-104,2016-06-08,107.0
199-D5-104,2016-06-13,110.0
199-D5-104,2016-06-20,98.0
199-D5-104,2016-06-27,87.0
199-D5-104,2016-07-13,108.0
199-D5-104,2016-07-19,103.0
199-D5-104,2016-07-25,100.0
199-D5-104,2016-08-01,93.0
199-D5-104,2016-08-10,101.0
199-D5-104,2016-08-15,98.0
199-D5-104,2016-08-25,101.0
199-D5-104,2016-08-30,98.0
199-D5-104,2016-09-06,97.0
199-D5-104,2016-09-14,97.0
199-D5-104,2016-09-21,101.0
199-D5-104,2016-09-28,81.0
199-D5-104,2016-10-05,91.0
199-D5-104,2016-10-12,92.0
199-D5-104,2016-10-19,88.0
199-D5-104,2016-10-26,84.0
199-D5-104,2016-11-02,88.0
199-D5-104,2016-11-09,74.0
199-D5-104,2016-11-16,76.0
199-D5-104,2016-11-21,92.0
199-D5-104,2016-11-30,84.0
199-D5-104,2016-12-19,81.0
199-D5-104,2017-01-17,84.0
199-D5-104,2017-02-21,73.0
199-D5-104,2017-03-28,80.0
199-D5-104,2017-04-25,68.0
