NAME,DATE,STD_VALUE_RPTD,REVIEW_QUALIFIER
199-D5-151,2023-08-24,37.3,
199-D5-152,2022-11-14,4.86,
199-D5-152,2023-04-20,4.51,
199-D5-152,2023-05-02,3.04,
199-D5-152,2023-05-16,3.59,
199-D5-152,2023-05-16,3.74,
199-D5-152,2023-05-31,3.72,
199-D5-152,2023-06-13,4.09,
199-D5-152,2023-07-11,5.79,
199-D5-152,2023-07-11,5.68,
199-D5-152,2023-08-10,5.39,
199-D5-152,2023-09-13,4.82,
199-D5-160,2023-03-30,1.0,
199-D5-160,2023-04-20,16.2,
199-D5-160,2023-05-02,14.5,
199-D5-160,2023-05-16,14.7,
199-D5-160,2023-05-30,4.92,
199-D5-160,2023-06-21,7.21,
199-D5-160,2023-07-24,6.77,
199-D5-160,2023-08-24,10.3,
199-D5-17,2022-10-04,5.98,
199-D5-17,2023-04-19,6.18,
199-D5-17,2023-06-15,3.5,
199-D5-17,2023-08-17,4.98,
199-D5-33,2022-11-15,2.5,
199-D5-33,2023-04-19,2.5,
199-D5-33,2023-05-09,2.5,
199-D5-33,2023-06-19,2.5,
199-D5-33,2023-07-12,2.5,
199-D5-33,2023-08-22,2.5,
199-D5-33,2023-09-13,1.3,
199-D5-34,2022-01-19,8.0,
199-D5-34,2022-02-03,9.0,
199-D5-34,2022-02-15,12.0,
199-D5-34,2022-03-16,10.0,
199-D5-34,2022-04-19,7.0,
199-D5-34,2022-05-19,4.0,
199-D5-34,2022-06-23,12.0,
199-D5-34,2022-07-28,14.0,
199-D5-34,2022-08-16,11.0,
199-D5-34,2022-09-28,26.0,
199-D5-34,2022-10-24,11.5,
199-D5-34,2022-10-26,10.0,
199-D5-34,2022-11-09,14.0,
199-D5-34,2022-12-14,14.0,
199-D5-34,2023-02-13,9.0,
199-D5-34,2023-03-30,13.0,
199-D5-34,2023-04-12,7.27,
199-D5-34,2023-05-16,8.14,
199-D5-34,2023-06-21,8.68,
199-D5-34,2023-06-21,7.92,
199-D5-34,2023-07-24,10.0,
199-D5-34,2023-08-24,9.81,
199-D5-36,2022-10-04,2.5,
199-D5-36,2023-05-11,2.5,
199-D5-36,2023-08-22,2.5,
199-D5-37,2022-11-15,8.53,
199-D5-37,2023-04-19,4.8,
199-D5-37,2023-05-11,3.43,
199-D5-37,2023-06-19,4.15,
199-D5-37,2023-07-12,3.66,
199-D5-37,2023-08-22,10.2,
199-D5-38,2022-11-15,4.06,
199-D5-38,2023-05-11,2.5,
199-D5-38,2023-08-22,3.83,
199-D5-39,2022-01-11,3.86,
199-D5-39,2022-01-19,6.0,
199-D5-39,2022-02-03,6.0,
199-D5-39,2022-03-16,7.0,
199-D5-39,2022-04-19,5.0,
199-D5-39,2022-05-19,3.0,
199-D5-39,2022-06-23,2.0,
199-D5-39,2022-07-28,8.0,
199-D5-39,2022-08-16,9.0,
199-D5-39,2022-09-28,10.0,
199-D5-39,2022-10-24,4.32,
199-D5-39,2022-10-26,0.0,
199-D5-39,2022-11-09,4.0,
199-D5-39,2022-12-14,5.0,
199-D5-39,2023-02-13,5.0,
199-D5-39,2023-03-30,10.0,
199-D5-39,2023-04-12,5.74,
199-D5-39,2023-05-16,5.07,
199-D5-39,2023-06-21,4.75,
199-D5-39,2023-07-24,5.29,
199-D5-41,2022-10-31,21.1,
199-D5-41,2023-04-20,23.4,
199-D5-41,2023-05-09,24.1,
199-D5-41,2023-06-19,32.5,
199-D5-41,2023-07-12,30.8,
199-D5-41,2023-08-22,31.9,
199-D5-41,2023-09-13,28.1,
199-D5-43,2022-11-11,2.59,
199-D5-43,2023-04-19,2.5,
199-D5-43,2023-05-11,2.5,
199-D5-43,2023-06-15,2.5,
199-D5-43,2023-07-13,2.5,
199-D5-43,2023-08-22,2.5,
199-D5-44,2022-11-11,22.2,
199-D5-44,2023-04-19,20.2,
199-D5-44,2023-05-09,24.9,
199-D5-44,2023-06-19,25.5,
199-D5-44,2023-07-13,26.9,
199-D5-44,2023-08-22,26.2,
199-D5-44,2023-09-13,19.3,
35-S,2023-04-19,2.5,
AT-D-1-M,2022-11-14,2.5,
AT-D-1-M,2023-04-19,2.5,
AT-D-1-M,2023-06-26,2.5,
AT-D-1-M,2023-07-19,2.5,
AT-D-1-M,2023-07-25,2.5,
AT-D-1-M,2023-08-22,2.5,
C6272,2023-04-19,2.5,
C6272,2023-06-26,2.5,
C6272,2023-07-19,2.5,
C6272,2023-07-25,2.5,
C6272,2023-08-22,2.5,
199-D1-1,2021-05-20,3.51,
199-D1-1,2021-05-20,3.34,
199-D1-1,2021-12-10,2.84,
199-D1-1,2023-10-12,7.21,
199-D1-1,2023-11-05,7.02,
199-D2-11,2007-03-01,5.0,
199-D2-11,2007-03-02,5.0,
199-D2-11,2007-03-08,16.0,
199-D2-11,2007-04-05,11.0,
199-D2-11,2007-04-05,8.0,
199-D2-11,2007-04-05,7.0,
199-D2-11,2007-04-05,9.0,
199-D2-11,2007-04-05,10.0,
199-D2-11,2007-04-05,13.0,
199-D2-11,2007-04-05,14.0,
199-D2-11,2007-04-05,15.0,
199-D2-11,2007-04-05,16.0,
199-D2-11,2007-04-05,24.0,
199-D2-11,2007-04-05,5.0,
199-D2-11,2007-04-26,7.0,
199-D2-11,2007-05-11,5.0,
199-D2-11,2007-05-11,5.5,
199-D2-11,2007-05-29,5.0,
199-D2-11,2007-06-11,6.0,
199-D2-11,2007-06-25,9.0,
199-D2-11,2007-07-09,5.0,
199-D2-11,2007-07-24,5.0,
199-D2-11,2007-08-09,5.0,
199-D2-11,2007-08-22,5.0,
199-D2-11,2007-09-05,5.0,
199-D2-11,2007-09-19,5.0,
199-D2-11,2007-10-04,6.0,
199-D2-11,2007-10-18,5.2,
199-D2-11,2007-11-01,12.0,
199-D2-11,2007-11-01,5.0,
199-D2-11,2007-11-15,4.2,
199-D2-11,2007-11-29,5.0,
199-D2-11,2007-12-13,7.2,
199-D2-11,2007-12-27,4.0,
199-D2-11,2007-12-27,6.7,
199-D2-11,2008-01-07,8.7,
199-D2-11,2008-02-12,8.5,
199-D2-11,2008-03-10,8.7,
199-D2-11,2008-04-21,6.0,
199-D2-11,2008-05-15,5.0,
199-D2-11,2008-05-15,9.5,
199-D2-11,2008-06-24,6.0,
199-D2-11,2008-06-24,4.7,
199-D2-11,2008-07-09,7.9,
199-D2-11,2008-08-14,7.5,
199-D2-11,2008-09-05,2.0,
199-D2-11,2008-10-06,5.0,
199-D2-11,2008-11-14,2.0,H
199-D2-11,2008-12-03,4.0,
199-D2-11,2008-12-03,7.6,
199-D2-11,2009-01-20,7.5,
199-D2-11,2009-02-09,3.7,
199-D2-11,2009-03-23,7.3,
199-D2-11,2009-04-13,7.8,
199-D2-11,2009-05-04,7.8,
199-D2-11,2009-06-15,7.5,
199-D2-11,2009-06-15,7.3,
199-D2-11,2009-08-11,8.1,
199-D2-11,2009-08-11,7.4,
199-D2-11,2009-08-12,7.0,
199-D2-11,2009-08-12,6.8,
199-D2-11,2009-10-08,6.0,
199-D2-11,2009-10-08,6.1,
