sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08493,0.08492999999998574,277154.2801014839,8934.499751948735
2,2014.084932,2014.161642,0.07671000000004824,1018559.4327537037,36353.32739804198
3,2014.161644,2014.246459,0.08481499999993503,1190905.4774987947,38442.74596442261
4,2014.246461,2014.328651,0.08219000000008236,1168980.7433785147,38940.19769312481
5,2014.328653,2014.413583,0.08492999999998574,1138980.152991783,36716.79863884279
6,2014.413584,2014.495774,0.08219000000008236,1181707.4830634838,39364.141168779795
7,2014.495776,2014.580706,0.08492999999998574,2091484.9872261104,67422.27503300295
8,2014.580708,2014.665637,0.08492900000010195,4725910.715837868,152348.88404734788
9,2014.665639,2014.747829,0.08218999999985499,8199070.354419419,273121.1975135453
10,2014.747831,2014.832761,0.08492999999998574,8596089.23673834,277108.3207708207
11,2014.832763,2014.915067,0.08230399999979454,6169809.04650045,205239.31466828083
12,2014.915068,2014.999998,0.08492999999998574,3712005.137818737,119662.26525864995
13,2015.0,2015.08493,0.08492999999998574,2629407.803868973,84763.05458042113
14,2015.084932,2015.161642,0.07671000000004824,1151346.0407789075,41092.604145560916
15,2015.161644,2015.246459,0.08481499999993503,924016.7661629017,29827.50728720506
16,2015.246461,2015.328651,0.08219000000008236,2192827.4924908825,73045.80212136584
17,2015.328653,2015.413583,0.08492999999998574,2993884.2288049664,96512.51963284396
18,2015.413584,2015.495774,0.08219000000008236,3473896.975594808,115719.81468595377
19,2015.495776,2015.580706,0.08492999999998574,3809957.636158628,122819.91655597092
20,2015.580708,2015.665637,0.08492900000010195,7685548.937196348,247758.5537003856
21,2015.665639,2015.747829,0.08218999999985499,5740659.716808044,191228.49159688747
22,2015.747831,2015.832761,0.08492999999998574,3523268.6398912636,113578.05038273595
23,2015.832763,2015.915067,0.08230399999979454,2655425.5139155774,88332.99515773932
24,2015.915068,2015.999998,0.08492999999998574,2247962.6887915875,72466.57738081568
25,2016.0,2016.084698,0.08469799999988936,2329869.582894613,75312.702442224
26,2016.084699,2016.163933,0.07923400000004222,1971579.633526133,68125.94153444565
27,2016.163934,2016.248518,0.08458400000017718,2330403.32060427,75431.48308945306
28,2016.24852,2016.330485,0.08196499999985463,2523997.389113878,84308.28083349059
29,2016.330487,2016.415185,0.08469800000011674,2346581.3659876473,75852.90845037601
30,2016.415187,2016.497152,0.08196499999985463,784998.6962033863,26221.061407941514
31,2016.497154,2016.581851,0.08469700000000557,2030808.3632534998,65646.36617409924
32,2016.581853,2016.666551,0.08469800000011674,2739501.463571095,88553.99464423397
33,2016.666553,2016.748518,0.081965000000082,3432213.27493424,114645.12677819259
34,2016.74852,2016.833218,0.08469799999988936,3548033.822511827,114689.68799438019
35,2016.833219,2016.915299,0.08207999999990534,2467131.435310534,82293.34481153858
36,2016.915301,2016.999998,0.08469700000000557,1657729.0610188113,53586.48847729923
37,2017.0,2017.08493,0.08492999999998574,1733623.557446025,55886.05464906571
38,2017.084932,2017.161642,0.07671000000004824,2276272.589508476,81242.2722058283
39,2017.161644,2017.246459,0.08481499999993503,2855525.2478684564,92177.11545785806
40,2017.246461,2017.328651,0.08219000000008236,381290.2081045331,12701.249499740996
41,2017.328653,2017.413583,0.08492999999998574,1523177.308210016,49101.99213735132
42,2017.413584,2017.495774,0.08219000000008236,2701228.342444959,89981.26467427985
43,2017.495776,2017.580706,0.08492999999998574,4241805.851527714,136741.2161717727
44,2017.580708,2017.665637,0.08492900000010195,6277318.136178562,202361.50667256722
45,2017.665639,2017.747829,0.08218999999985499,4258799.651301689,141865.89582156978
46,2017.747831,2017.832761,0.08492999999998574,7703729.61756578,248341.7190310714
47,2017.832763,2017.915067,0.08230399999979454,4173033.6479068487,138816.3814356414
48,2017.915068,2017.999998,0.08492999999998574,2746378.795099171,88533.79660810596
49,2018.0,2018.08493,0.08492999999998574,2871740.898230208,92575.0391929865
50,2018.084932,2018.161642,0.07671000000004824,2030275.6334670912,72462.41352078615
51,2018.161644,2018.246459,0.08481499999993503,2798699.503073654,90342.7652825832
52,2018.246461,2018.328651,0.08219000000008236,2964366.2942936467,98746.71605026886
53,2018.328653,2018.413583,0.08492999999998574,1065118.2148774115,34335.74405971211
54,2018.413584,2018.495774,0.08219000000008236,1550127.3645978717,51636.66413572259
55,2018.495776,2018.580706,0.08492999999998574,4134687.850565386,133288.10062660874
56,2018.580708,2018.665637,0.08492900000010195,7927629.228599478,255562.4807025454
57,2018.665639,2018.747829,0.08218999999985499,9572842.772061257,318883.2597472442
58,2018.747831,2018.832761,0.08492999999998574,4513326.275465094,145494.09979828302
59,2018.832763,2018.915067,0.08230399999979454,2835823.124886567,94333.93971930264
60,2018.915068,2018.999998,0.08492999999998574,1894704.4505856095,61078.74804449992
61,2019.0,2019.08493,0.08492999999998574,2018092.2407236798,65056.34557602073
62,2019.084932,2019.161642,0.07671000000004824,2087388.0325051888,74500.80781959151
63,2019.161644,2019.246459,0.08481499999993503,2321170.839522415,74928.01285220058
64,2019.246461,2019.328651,0.08219000000008236,2232384.4906421104,74363.49476675839
65,2019.328653,2019.413583,0.08492999999998574,2589288.5226184744,83469.74708306012
66,2019.413584,2019.495774,0.08219000000008236,3286642.5750531093,109482.13847331809
67,2019.495776,2019.580706,0.08492999999998574,2944663.4402675424,94925.81087692177
68,2019.580708,2019.665637,0.08492900000010195,2820262.137621061,90916.61168029078
69,2019.665639,2019.747829,0.08218999999985499,2718909.303909607,90570.23941918537
70,2019.747831,2019.832761,0.08492999999998574,2870639.359971401,92539.52939210422
71,2019.832763,2019.915067,0.08230399999979454,2237945.5149889565,74445.48126198685
72,2019.915068,2019.999998,0.08492999999998574,2094256.4125402968,67511.6162431516
73,2020.0,2020.084698,0.08469799999988936,1899009.919740437,61385.22519468955
74,2020.084699,2020.163933,0.07923400000004222,2725639.919397308,94181.7325738524
75,2020.163934,2020.248518,0.08458400000017718,3288131.9334983425,106431.64903886996
76,2020.24852,2020.330485,0.08196499999985463,2856270.6284963037,95407.09801140458
77,2020.330487,2020.415185,0.08469800000011674,3414360.0051749614,110368.70088677123
78,2020.415187,2020.497152,0.08196499999985463,742667.1916329695,24807.07564439845
79,2020.497154,2020.581851,0.08469700000000557,1371639.8816876595,44338.58731407362
80,2020.581853,2020.666551,0.08469800000011674,4597647.453491205,148618.2991272456
81,2020.666553,2020.748518,0.081965000000082,6576349.108851513,219667.69455385342
82,2020.74852,2020.833218,0.08469799999988936,5631291.016281347,182030.68008118204
83,2020.833219,2020.915299,0.08207999999990534,2939013.078325837,98033.37317123797
84,2020.915301,2020.999998,0.08469700000000557,2576199.8607525523,83276.27680520587
85,2021.0,2021.08493,0.08492999999998574,2715239.067016267,87529.95898838535
86,2021.084932,2021.161642,0.07671000000004824,1908053.737981577,68100.20112657963
87,2021.161644,2021.246459,0.08481499999993503,3261021.40537857,105266.63941021268
88,2021.246461,2021.328651,0.08219000000008236,2790348.580092526,92949.97026854371
89,2021.328653,2021.413583,0.08492999999998574,3264617.3732344247,105240.02407861184
90,2021.413584,2021.495774,0.08219000000008236,1166385.7708837674,38853.755942457785
91,2021.495776,2021.580706,0.08492999999998574,1906212.7363437887,61449.73555446786
92,2021.580708,2021.665637,0.08492900000010195,3059346.4136010176,98623.95632324957
93,2021.665639,2021.747829,0.08218999999985499,5511418.981465477,183592.19852350262
94,2021.747831,2021.832761,0.08492999999998574,4523300.942259703,145815.6487130953
