sp,start,end,dt,sum for sp,sum/dt
1,2014.0,2014.08492960426,0.08492960425996898,387971.2457532423,12506.915460464483
2,2014.08493150685,2014.16164193303,0.07671042618017054,1242821.7901288262,44357.21173517236
3,2014.16164383562,2014.24645928463,0.08481544900996596,2349261.305009042,75834.37909221268
4,2014.24646118721,2014.32865106545,0.08218987824011492,1983046.316708599,66057.82896111102
5,2014.32865296804,2014.4135825723,0.08492960425996898,2252006.706402905,72597.28085955662
6,2014.41358447489,2014.49577435312,0.0821898782298831,3682409.29287251,122665.80019543003
7,2014.49577625571,2014.58070585997,0.08492960425996898,5690111.40135596,183430.45531432753
8,2014.58070776256,2014.66563736682,0.08492960425996898,12139580.821750088,391340.11276616744
9,2014.66563926941,2014.74782914764,0.08218987823011048,23305104.39944829,776323.0679766337
10,2014.74783105023,2014.83276065449,0.08492960425996898,31888441.476357725,1027978.3516854672
11,2014.83276255708,2014.91506659056,0.08230403347988613,29206773.87044486,971565.8571013862
12,2014.91506849315,2014.99999809741,0.08492960425996898,19675456.59286673,634271.9336719459
13,2015.0,2015.08492960426,0.08492960425996898,14799196.108006902,477077.3520762409
14,2015.08493150685,2015.16164193303,0.07671042618017054,9145393.292241467,326405.72436642763
15,2015.16164383562,2015.24645928463,0.08481544900996596,8554329.855567036,276134.58399188454
16,2015.24646118721,2015.32865106545,0.08218987824011492,11561064.087387385,385113.9469907306
17,2015.32865296804,2015.4135825723,0.08492960425996898,16688686.545234704,537988.3021026623
18,2015.41358447489,2015.49577435312,0.0821898782298831,19424649.531486616,647060.1143950797
19,2015.49577625571,2015.58070585997,0.08492960425996898,24806434.118264567,799677.7539282986
20,2015.58070776256,2015.66563736682,0.08492960425996898,29963607.91931044,965928.0558530617
21,2015.66563926941,2015.74782914764,0.08218987823011048,34337888.14107103,1143839.3157400228
22,2015.74783105023,2015.83276065449,0.08492960425996898,36846864.70950576,1187821.5897424133
23,2015.83276255708,2015.91506659056,0.08230403347988613,26281944.477905635,874271.1545696129
24,2015.91506849315,2015.99999809741,0.08492960425996898,20014740.692303468,645209.33585106
25,2016.0,2016.08469755616,0.08469755616010843,18452685.617355406,596483.560241994
26,2016.08469945355,2016.16393252884,0.07923307528994883,14587385.949398551,504058.26048792724
27,2016.16393442623,2016.24851813904,0.0845837128099447,13810987.27374407,447041.4116657923
28,2016.24852003643,2016.33048535216,0.08196531573003085,10137523.377787372,338619.15997324965
29,2016.33048724954,2016.41518480571,0.0846975561698855,7056126.834818945,228089.49020989335
30,2016.4151867031,2016.49715201882,0.08196531572002641,7048967.0881053675,235453.4954340726
31,2016.49715391621,2016.58185147237,0.08469755616010843,7803578.222063513,252250.87648734538
32,2016.58185336976,2016.66655092593,0.08469755617011288,13229150.74764983,427632.6546517646
33,2016.66655282332,2016.74851813904,0.08196531572002641,22023432.297608964,735638.860433585
34,2016.74852003643,2016.83321759259,0.08469755616010843,29184010.360182766,943373.9219730928
35,2016.83321948998,2016.91529864906,0.08207915908019459,23954856.71632418,799043.5580894036
36,2016.91530054645,2016.99999810261,0.08469755616010843,15169014.921798974,490338.81644894846
37,2017.0,2017.08492960426,0.08492960425996898,8415942.487511668,271302.2739793081
38,2017.08493150685,2017.16164193303,0.07671042618017054,6616268.193779794,236139.41395230588
39,2017.16164383562,2017.24645928463,0.08481544900996596,6614783.344832771,213525.83755384857
40,2017.24646118721,2017.32865106545,0.08218987824011492,6448171.55136132,214796.90608473064
41,2017.32865296804,2017.4135825723,0.08492960425996898,6333751.259130987,204179.28496676413
42,2017.41358447489,2017.49577435312,0.0821898782298831,6804064.257759384,226652.15090963422
43,2017.49577625571,2017.58070585997,0.08492960425996898,14467983.873311091,466400.16023752734
44,2017.58070776256,2017.66563736682,0.08492960425996898,23420998.781971894,755015.8806152096
45,2017.66563926941,2017.74782914764,0.08218987823011048,28584670.39438087,952192.2166627129
46,2017.74783105023,2017.83276065449,0.08492960425996898,36979557.51518452,1192099.1688697378
47,2017.83276255708,2017.91506659056,0.08230403347988613,37009226.18311238,1231115.1076374245
48,2017.91506849315,2017.99999809741,0.08492960425996898,23452029.627815187,756016.2129075559
49,2018.0,2018.08492960426,0.08492960425996898,12787071.859274048,412213.09177263535
50,2018.08493150685,2018.16164193303,0.07671042618017054,6313805.7945171995,225344.31139409562
51,2018.16164383562,2018.24645928463,0.08481544900996596,7675562.042740929,247767.87514183045
52,2018.24646118721,2018.32865106545,0.08218987824011492,8214358.815785108,273630.8804823864
53,2018.32865296804,2018.4135825723,0.08492960425996898,5479131.185376784,176629.14786186654
54,2018.41358447489,2018.49577435312,0.0821898782298831,6325004.471965351,210694.05193361396
55,2018.49577625571,2018.58070585997,0.08492960425996898,11824452.864740523,381181.42507812614
56,2018.58070776256,2018.66563736682,0.08492960425996898,19441847.194451664,626741.1358905932
57,2018.66563926941,2018.74782914764,0.08218987823011048,26067227.040880196,868332.9335567639
58,2018.74783105023,2018.83276065449,0.08492960425996898,28915081.57265296,932127.0189997908
59,2018.83276255708,2018.91506659056,0.08230403347988613,23378786.61818032,777697.357449935
60,2018.91506849315,2018.99999809741,0.08492960425996898,14275677.519415254,460200.83660977805
61,2019.0,2019.08492960426,0.08492960425996898,12230833.874475176,394281.81071011216
62,2019.08493150685,2019.16164193303,0.07671042618017054,9362558.272707378,334156.50013854576
63,2019.16164383562,2019.24645928463,0.08481544900996596,9888223.444855703,319192.796334253
64,2019.24646118721,2019.32865106545,0.08218987824011492,9106124.135891855,303336.73278281867
