"EVENT","T_GAUGE","F_GAUGE","H_GAUGE","D_GAUGE","N_GAUGE","K_GAUGE","B_GAUGE","PRD"
2021-05-24,105.673461763142,114.337436530666,115.758145877998,118.226325931312,118.483769812083,119.249704678641,120.072140812976,125.01787925
2021-05-25,105.606673681359,114.164845964091,115.596060986513,118.075351925337,118.325409763181,119.052655483694,119.880944306804,124.7929305
2021-05-26,105.589998234134,114.182841434413,115.608480764051,118.080783732727,118.330219694727,119.059109354723,119.883873117065,124.7926765
2021-05-27,105.701154328214,114.410697326665,115.819459850013,118.281796024343,118.542022290093,119.321567297577,120.141836639435,125.1023025
2021-05-28,105.590119144964,114.136895803747,115.582299960769,118.068183162404,118.317455337865,119.04510081949,119.876596078021,124.79689925
2021-05-29,105.709712871378,114.486087773485,115.90517556182,118.370612180907,118.634171320251,119.440717858618,120.263281188922,125.2620685
2021-05-30,105.892014607459,114.686102636972,116.055680639658,118.496330448798,118.770656758233,119.596447873667,120.403575729263,125.3869095
2021-05-31,105.810408763395,114.502899690598,115.89937362387,118.361725652444,118.629042912167,119.424488848552,120.246238292764,125.233049
2021-06-01,105.852869873838,114.659455757208,116.043689475976,118.490348387071,118.763075316041,119.591283404407,120.402126335292,125.3993555
2021-06-02,105.969887662869,114.882368174299,116.268111751869,118.719078213712,119.004157148009,119.893842524154,120.709986333714,125.79530975
2021-06-03,106.159032065099,115.096644522317,116.421040510504,118.841913425154,119.137981240556,120.044589886697,120.845042743593,125.92554825
2021-06-04,106.354104459366,115.462888092905,116.756792827927,119.16046280056,119.474296545528,120.459378885644,121.250772894979,126.4017665
2021-06-05,106.365711311799,115.400263319177,116.697560835958,119.103982332288,119.416536277192,120.384058889309,121.175391300105,126.297944
2021-06-06,106.448701372279,115.603161551119,116.872399400845,119.258057350065,119.578404950516,120.582327308184,121.361451532649,126.500636
2021-06-07,106.329087956021,115.304020526885,116.60369357599,119.018725999741,119.32736345383,120.273490616364,121.07252967202,126.197233
