sp,SPstart,SPend,spLen
177,9/1/2020,9/30/2020,30
178,10/1/2020,10/31/2020,31
179,11/1/2020,11/30/2020,30
180,12/1/2020,12/31/2020,31
181,1/1/2021,1/31/2021,31
182,2/1/2021,2/28/2021,28
183,3/1/2021,3/31/2021,31
184,4/1/2021,4/30/2021,30
185,5/1/2021,5/31/2021,31
186,6/1/2021,6/30/2021,30
187,7/1/2021,7/31/2021,31
188,8/1/2021,8/31/2021,31
189,9/1/2021,9/30/2021,30
190,10/1/2021,10/31/2021,31
191,11/1/2021,11/30/2021,30
192,12/1/2021,12/31/2021,31
193,1/1/2022,1/31/2022,31
194,2/1/2022,2/28/2022,28
195,3/1/2022,3/31/2022,31
196,4/1/2022,4/30/2022,30
197,5/1/2022,5/31/2022,31
198,6/1/2022,6/30/2022,30
199,7/1/2022,7/31/2022,31
200,8/1/2022,8/31/2022,31
201,9/1/2022,9/30/2022,30
202,10/1/2022,10/31/2022,31
203,11/1/2022,11/30/2022,30
204,12/1/2022,12/31/2022,31
