SAMP_SITE_NAME,SAMP_DATE,WeightedConc
199-H3-25,2014-02-01,0.116014695421677
199-H3-25,2014-03-01,0.11590223806821501
199-H3-25,2014-04-01,0.11601539568433702
199-H3-25,2014-05-01,0.11626560098080799
199-H3-25,2014-06-01,0.116692539382041
199-H3-25,2014-07-01,0.11690873367683702
199-H3-25,2014-08-01,0.116896182258487
199-H3-25,2014-09-01,0.116658593784323
199-H3-25,2014-10-01,0.116247256203611
199-H3-25,2014-11-01,0.116033634625633
199-H3-25,2014-12-01,0.115857738695064
199-H3-25,2015-01-01,0.11606533339564203
199-H3-25,2015-02-01,0.11575147017479301
199-H3-25,2015-03-01,0.11582697097825302
199-H3-25,2015-04-01,0.11580843516906898
199-H3-25,2015-05-01,0.11569608578395903
199-H3-25,2015-06-01,0.1157784
199-H3-25,2015-07-01,0.115740162961036
199-H3-25,2015-08-01,0.11505459547190101
199-H3-25,2015-09-01,0.11487283000190703
199-H3-25,2015-10-01,0.11468942129517701
199-H3-25,2015-11-01,0.11456644146147402
199-H3-25,2015-12-01,0.11459910570168802
199-H3-25,2016-01-01,0.114638499602712
199-H3-25,2016-02-01,0.114691792913545
199-H3-25,2016-03-01,0.114728828722729
199-H3-25,2016-04-01,0.11485293678987002
199-H3-25,2016-05-01,0.11515248130578401
199-H3-25,2016-06-01,0.11515393870863702
199-H3-25,2016-07-01,0.115104180666195
199-H3-25,2016-08-01,0.114968321984164
199-H3-25,2016-09-01,0.114862485535391
199-H3-25,2016-10-01,0.11468601258844702
199-H3-25,2016-11-01,0.11458121794903799
199-H3-25,2016-12-01,0.11464254156026998
199-H3-25,2017-01-01,0.114794784895802
199-H3-25,2017-02-01,0.11491105715375902
199-H3-25,2017-03-01,0.11493409296294298
199-H3-25,2017-04-01,0.115058251644974
199-H3-25,2017-05-01,0.11545514677577799
199-H3-25,2017-06-01,0.115823100539215
199-H3-25,2017-07-01,0.11589682090310399
199-H3-25,2017-08-01,0.11543867515741
199-H3-25,2017-09-01,0.11546629626073598
199-H3-25,2017-10-01,0.114917471959465
199-H3-25,2017-11-01,0.11464145508679802
199-H3-25,2017-12-01,0.11453469630597099
199-H3-25,2018-01-01,0.114564375351891
199-H3-25,2018-02-01,0.114739313277434
199-H3-25,2018-03-01,0.114992793602532
199-H3-25,2018-04-01,0.115010406638191
199-H3-25,2018-05-01,0.11506218253556402
199-H3-25,2018-06-01,0.11613042088678699
199-H3-25,2018-07-01,0.11604752132995699
199-H3-25,2018-08-01,0.11555413015062702
199-H3-25,2018-09-01,0.11548341293581099
199-H3-25,2018-10-01,0.115074329560962
199-H3-25,2018-11-01,0.114876724002779
199-H3-25,2018-12-01,0.11486033266011102
199-H3-25,2019-01-01,0.11482103266011101
199-H3-25,2019-02-01,0.11483623266011099
199-H3-25,2019-03-01,0.114946359861887
199-H3-25,2019-04-01,0.11498130000000001
199-H3-25,2019-05-01,0.11497480000000002
199-H3-25,2019-06-01,0.11528050678796299
199-H3-25,2019-07-01,0.11531579999999998
199-H3-25,2019-08-01,0.11516843949799802
199-H3-25,2019-09-01,0.114842749825529
199-H3-25,2019-10-01,0.11462837676411199
199-H3-25,2019-11-01,0.114415492076364
199-H3-25,2019-12-01,0.114469579140027
199-H3-25,2020-01-01,0.11449985011880598
199-H3-25,2020-02-01,0.11461172183597
199-H3-25,2020-03-01,0.11479424544720201
199-H3-25,2020-04-01,0.115008877126627
199-H3-25,2020-05-01,0.11491469001304
199-H3-25,2020-06-01,0.11534702149329502
199-H3-25,2020-07-01,0.11571444436614199
199-H3-25,2020-08-01,0.11567770363836398
199-H3-25,2020-09-01,0.11539346718959101
199-H3-25,2020-10-01,0.11500012636249099
199-H3-25,2020-11-01,0.11473202193476599
199-H3-25,2020-12-01,0.114771664368042
199-H3-25,2021-01-01,0.11476488676517099
199-H3-25,2021-02-01,0.11503984431674401
199-H3-25,2021-03-01,0.11499988173210399
199-H3-25,2021-04-01,0.11479407382883401
199-H3-25,2021-05-01,0.114717944168024
199-H3-25,2021-06-01,0.114955910917196
199-H3-25,2021-07-01,0.11520954800555801
199-H3-25,2021-08-01,0.11526954190710799
199-H3-25,2021-09-01,0.11552083580918401
199-H3-25,2021-10-01,0.115369664190816
199-H3-25,2021-11-01,0.11515208022577601
199-H3-25,2021-12-01,0.11486224544720201
199-H3-25,2022-01-01,0.11499334672638001
199-H3-25,2022-02-01,0.11515278996311601
199-H3-25,2022-03-01,0.11550436542007
199-H3-25,2022-04-01,0.115456772208033
199-H3-25,2022-05-01,0.115342606147848
199-H3-25,2022-06-01,0.11562600678796299
199-H3-25,2022-07-01,0.11633426579773602
199-H3-25,2022-08-01,0.116408864994276
199-H3-25,2022-09-01,0.116206434202264
199-H3-25,2022-10-01,0.11586043420226401
199-H3-25,2022-11-01,0.115614693212037
199-H3-25,2022-12-01,0.11554606419081599
199-H3-25,2023-01-01,0.11550316419081601
199-H3-25,2023-02-01,0.115447464190816
199-H3-25,2023-03-01,0.11544410000000001
199-H3-25,2023-04-01,0.11533639999999998
199-H3-25,2023-05-01,0.11520396419081601
199-H3-25,2023-06-01,0.11566663580918402
199-H3-25,2023-07-01,0.1155497
199-H3-25,2023-08-01,0.115461893212037
199-H3-25,2023-09-01,0.1154332
199-H3-25,2023-10-01,0.11527279321203701
199-H3-26,2014-02-01,0.116157182132803
199-H3-26,2014-03-01,0.11604159086669899
199-H3-26,2014-04-01,0.116129875839927
199-H3-26,2014-05-01,0.116361019132414
199-H3-26,2014-06-01,0.11676918587759899
199-H3-26,2014-07-01,0.117007340133435
199-H3-26,2014-08-01,0.117022711430992
199-H3-26,2014-09-01,0.116814286095643
199-H3-26,2014-10-01,0.116412276096671
199-H3-26,2014-11-01,0.11620088094945498
