sp,SPstart,SPend,spLen,nsp,mutl,ss
100,4/1/2022 0:00,4/30/2022 23:59,30,1,1,0
101,5/1/2022 0:00,5/31/2022 23:59,31,1,1,0
102,6/1/2022 0:00,6/30/2022 23:59,30,1,1,0
103,7/1/2022 0:00,7/31/2022 23:59,31,1,1,0
104,8/1/2022 0:00,8/31/2022 23:59,31,1,1,0
105,9/1/2022 0:00,9/30/2022 23:59,30,1,1,0
106,10/1/2022 0:00,10/31/2022 23:59,31,1,1,0
107,11/1/2022 0:00,11/30/2022 23:59,30,1,1,0
108,12/1/2022 0:00,12/31/2022 23:59,31,1,1,0
109,1/1/2023 0:00,1/31/2023 23:59,31,1,1,0
110,2/1/2023 0:00,2/28/2023 23:59,28,1,1,0
111,3/1/2023 0:00,3/31/2023 23:59,31,1,1,0
112,4/1/2023 0:00,4/30/2023 23:59,30,1,1,0
113,5/1/2023 0:00,5/31/2023 23:59,31,1,1,0
114,6/1/2023 0:00,6/30/2023 23:59,30,1,1,0
115,7/1/2023 0:00,7/31/2023 23:59,31,1,1,0
116,8/1/2023 0:00,8/31/2023 23:59,31,1,1,0
117,9/1/2023 0:00,9/30/2023 23:59,30,1,1,0
118,10/1/2023 0:00,10/31/2023 23:59,31,1,1,0
